
[00:00:00.000 --> 00:00:07.800]  六教福音第十章也是講到主差派門徒七十二人出去收他們的莊家的事情
[00:00:07.800 --> 00:00:13.640]  也是我們在今個季度講到跟隨基督的使命教會有的特徵
[00:00:13.640 --> 00:00:17.760]  其中一個特徵就是當中的所有的弟兄姊妹
[00:00:17.760 --> 00:00:23.720]  是真的會承受承擔贈給我們福音的使命
[00:00:23.720 --> 00:00:26.480]  這是使命教會的特徵之一
[00:00:26.480 --> 00:00:31.200]  我想開始的時候提一提就是大家可能在早期看報紙會看到
[00:00:31.200 --> 00:00:35.200]  中國一個人口調查的報告,大家有沒有留意到?
[00:00:35.200 --> 00:00:38.200]  記不記得全中國有多少人口?
[00:00:38.200 --> 00:00:43.200]  13億4千萬
[00:00:43.200 --> 00:00:47.200]  我還記得以前經常都講中國11億人口
[00:00:47.200 --> 00:00:49.720]  後來有人更正,不是呀,12億了
[00:00:49.720 --> 00:00:53.200]  現在說不是啦,13億4千萬
[00:00:53.200 --> 00:00:56.200]  一個很龐大的數字
[00:00:56.200 --> 00:00:59.200]  但其中一些數字是令我們很驚訝的
[00:00:59.200 --> 00:01:07.200]  有沒有留意到男女出生的比率有什麼分別?
[00:01:07.200 --> 00:01:09.200]  很大的分別
[00:01:09.200 --> 00:01:17.200]  100個女生出生就有118個男生出生
[00:01:17.200 --> 00:01:20.200]  100對118
[00:01:20.200 --> 00:01:25.200]  你說中國人這麼厲害,怎麼會生的全都是男生?
[00:01:25.200 --> 00:01:27.200]  絕對不是
[00:01:27.200 --> 00:01:30.200]  很明顯基本上是同比例的
[00:01:30.200 --> 00:01:34.200]  但為什麼會有這麼大的差距呢?
[00:01:34.200 --> 00:01:36.200]  一個我們都不想講的事實
[00:01:36.200 --> 00:01:41.200]  就是因為中國有殺嬰的事實
[00:01:41.200 --> 00:01:45.200]  很多小孩子在他出生之後父母覺得他是女
[00:01:45.200 --> 00:01:48.200]  因為有重男輕女的情況
[00:01:48.200 --> 00:01:51.200]  所以就拋棄這些女嬰
[00:01:51.200 --> 00:01:55.200]  甚至有些人說現在好了,不用辛苦這麼久
[00:01:55.200 --> 00:01:58.200]  因為有超聲波
[00:01:58.200 --> 00:01:59.200]  大家明白嗎?
[00:01:59.200 --> 00:02:04.200]  因為超聲波在懷孕期間已經知道孩子是男還是女
[00:02:04.200 --> 00:02:08.200]  他們很快就墮胎
[00:02:08.200 --> 00:02:16.200]  118個男生是因為有很多女生被拋棄了
[00:02:16.200 --> 00:02:18.200]  被消滅了
[00:02:18.200 --> 00:02:23.200]  當然當中有些情況我們都明白可能是牽涉到貧窮的問題
[00:02:23.200 --> 00:02:27.200]  因為經濟不足夠,有很多家庭在山區
[00:02:27.200 --> 00:02:32.200]  他們就選擇照顧男生,不照顧女生
[00:02:32.200 --> 00:02:34.200]  如果家庭有兩個孩子的話
[00:02:34.200 --> 00:02:37.200]  兩個同事患病,家裡只能照顧一個
[00:02:37.200 --> 00:02:40.200]  就只會照顧男生
[00:02:40.200 --> 00:02:43.200]  就會讓女生自生自滅
