
[00:00:00.000 --> 00:00:02.480]  請大家低頭禱告
[00:00:02.480 --> 00:00:04.480]  請大家低頭 低頭
[00:00:04.480 --> 00:00:08.640]  天父我們感謝祢
[00:00:08.640 --> 00:00:13.680]  在基督裡我們得到道路真理生命
[00:00:13.680 --> 00:00:18.240]  在基督裡我們找到了真正真理的途徑
[00:00:18.240 --> 00:00:19.840]  喜樂的途徑
[00:00:19.840 --> 00:00:21.840]  力量的途徑
[00:00:21.840 --> 00:00:25.280]  我們願意常常地和主耶穌
[00:00:25.280 --> 00:00:29.520]  有密切的心靈深處的聯繫
[00:00:29.520 --> 00:00:32.080]  主的生命 豐富的生命
[00:00:32.080 --> 00:00:35.040]  常常流通在我們的裡面
[00:00:35.040 --> 00:00:40.640]  使我們有活潑的長進 追求和表現
[00:00:40.640 --> 00:00:44.240]  求主祢成為我們一切的一切
[00:00:44.240 --> 00:00:47.120]  成為我們豐富的資源
[00:00:47.120 --> 00:00:50.480]  成為我們隨時的幫助者
[00:00:50.480 --> 00:00:51.840]  在這個時候
[00:00:51.840 --> 00:00:55.840]  我們願意用預備好的心來領受祢的話語
[00:00:55.840 --> 00:00:59.920]  幫助我們走上真的贖靈人的道路
[00:00:59.920 --> 00:01:01.920]  奉主的名禱告
[00:01:01.920 --> 00:01:03.920]  阿們
[00:01:03.920 --> 00:01:07.920]  請大家再返回迦勒泰書
[00:01:07.920 --> 00:01:11.920]  請大家再返回迦勒泰書
[00:01:11.920 --> 00:01:15.120]  今天我們要領受的信息
[00:01:15.120 --> 00:01:17.920]  是贖靈人的真義
[00:01:17.920 --> 00:01:21.920]  今天我們要領受的信息是贖靈人的真義
[00:01:21.920 --> 00:01:25.920]  贖靈人是一個很高的名稱
[00:01:25.920 --> 00:01:27.920]  我們都羨慕和睦這個名稱
[00:01:27.920 --> 00:01:31.360]  我們都羨慕和睦這個名稱
[00:01:31.360 --> 00:01:34.960]  在我們自己的身上可以使用
[00:01:34.960 --> 00:01:39.760]  在我們身上可以使用
[00:01:39.760 --> 00:01:43.680]  但是真正的贖靈人是怎樣的一個人呢?
[00:01:43.680 --> 00:01:46.880]  但是真正的贖靈人是怎樣的一個人呢?
[00:01:46.880 --> 00:01:51.760]  有的人以為口邊常常畫著贖靈的畫
[00:01:51.760 --> 00:01:53.360]  就是贖靈人
[00:01:53.360 --> 00:01:56.720]  有的人以為口邊常常說贖靈的話
[00:01:56.720 --> 00:01:58.400]  就是一個贖靈的人
[00:01:58.400 --> 00:02:03.440]  我不反對贖靈的話
[00:02:03.440 --> 00:02:07.520]  當這些話從心裏講出來的時候很寶貴
[00:02:07.520 --> 00:02:11.360]  當這些話從心裏講出來的時候非常寶貴
[00:02:11.360 --> 00:02:13.360]  比方說感謝主
[00:02:13.360 --> 00:02:15.200]  比方說感謝主
[00:02:15.200 --> 00:02:20.560]  如果一個人真是隨時隨地感受到主的恩、主的愛
[00:02:20.560 --> 00:02:24.880]  如果一個人真是隨時隨地感受到主的恩、主的愛
[00:02:24.880 --> 00:02:27.120]  也這樣的表達見證出來
[00:02:27.120 --> 00:02:29.280]  也這樣的表達見證出來
[00:02:29.280 --> 00:02:30.720]  我覺得很寶貴
[00:02:30.720 --> 00:02:31.840]  我覺得是很寶貴
[00:02:31.840 --> 00:02:32.880]  也很有意義
[00:02:32.880 --> 00:02:34.240]  也都很有意義
[00:02:34.240 --> 00:02:38.240]  但是贖靈人不是單單講贖靈的話
[00:02:38.240 --> 00:02:41.600]  但是贖靈人不是單單講贖靈的話
[00:02:41.600 --> 00:02:47.280]  我們要從迦太書裏面看贖靈人真正的表現是如何的
[00:02:47.280 --> 00:02:49.280]  我們要從迦太書裏面去看
[00:02:49.280 --> 00:02:51.760]  贖靈人真正的表現是如何的
[00:02:51.760 --> 00:03:02.000]  在迦太書裏面保羅十二次提到贖靈的工作
[00:03:02.000 --> 00:03:05.920]  然後在第六章第一節
[00:03:05.920 --> 00:03:11.520]  他提到贖靈的人
[00:03:11.520 --> 00:03:16.560]  一個贖靈的人是和贖靈的工作有密切的關聯
