
[00:00:00.000 --> 00:00:03.600]  我在一月尾開始預備這篇講章
[00:00:03.600 --> 00:00:06.000]  通常我都是幾個星期前預備的
[00:00:06.000 --> 00:00:07.200]  預備的時候
[00:00:07.200 --> 00:00:10.000]  差不多預備好這篇講章
[00:00:10.000 --> 00:00:12.000]  預備好的時候
[00:00:12.000 --> 00:00:13.400]  給他一個題目
[00:00:13.400 --> 00:00:15.600]  因為每一次我都會給題目回應師
[00:00:15.600 --> 00:00:19.200]  給Fiona和相關的服務弟兄姊妹
[00:00:19.200 --> 00:00:24.000]  不如說「與苦難共舞」這個題目
[00:00:24.000 --> 00:00:26.600]  定了這個題目沒多久
[00:00:26.600 --> 00:00:32.000]  我收到區議員會的一個典遊
[00:00:32.000 --> 00:00:38.000]  當中提到的朱敏華牧師
[00:00:38.000 --> 00:00:39.400]  我不知道大家是否記得他
[00:00:39.400 --> 00:00:42.400]  他曾經來過我呼音主日
[00:00:42.400 --> 00:00:45.000]  玩過岩正末期的面型
[00:00:45.000 --> 00:00:48.400]  也有些腫瘤
[00:00:48.400 --> 00:00:50.000]  我不知道大家是否記得他
[00:00:50.000 --> 00:00:56.000]  他來分享好幾年前的生命故事
[00:00:56.000 --> 00:01:00.000]  在1月26日去安息主懷
[00:01:00.000 --> 00:01:03.000]  他寫了一本見證集
[00:01:03.000 --> 00:01:06.000]  不知道大家有沒有見過他
[00:01:06.000 --> 00:01:07.000]  派給大家
[00:01:07.000 --> 00:01:09.000]  或者不知道為什麼我有
[00:01:09.000 --> 00:01:10.000]  這本書
[00:01:10.000 --> 00:01:14.400]  「與苦難共舞與受苦者同行」
[00:01:14.400 --> 00:01:16.600]  朱敏華牧師的見證錄
[00:01:16.600 --> 00:01:19.600]  這本書
[00:01:19.600 --> 00:01:25.200]  我也很想把今天的訊息獻給朱牧師
[00:01:25.200 --> 00:01:28.200]  他的生命
[00:01:28.200 --> 00:01:29.200]  在聚平堂當中
[00:01:29.200 --> 00:01:34.200]  他在宣道會服侍了多年
[00:01:34.200 --> 00:01:35.800]  一歲多就安息主懷
[00:01:35.800 --> 00:01:40.800]  不過他的生命是有兩例的
[00:01:40.800 --> 00:01:41.800]  有不同的場合
[00:01:41.800 --> 00:01:44.200]  我也跟他有些約會見面
[00:01:44.200 --> 00:01:49.000]  所以我也紀念朱師母和他的家人
[00:01:49.000 --> 00:01:51.000]  其實「與苦難共舞」
[00:01:51.000 --> 00:01:54.600]  是我們人生一個很大的寫照
[00:01:54.600 --> 00:01:58.600]  我們每個人都經歷過
[00:01:58.600 --> 00:02:02.600]  大家都知道我喜歡跑步
[00:02:02.600 --> 00:02:03.600]  在1月中
[00:02:03.600 --> 00:02:08.600]  我再次參加香港100公里的賽事
[00:02:08.600 --> 00:02:10.600]  這個100公里的賽事
[00:02:10.600 --> 00:02:11.600]  是很不同的
[00:02:11.600 --> 00:02:13.600]  因為這是麥理浩徑1-8段
[00:02:13.600 --> 00:02:15.600]  很美的風景
[00:02:15.600 --> 00:02:16.600]  你看到左邊的圖
