
[00:00:00.000 --> 00:00:04.380]  今天特別和大家思想的就是智慧的人生
[00:00:04.380 --> 00:00:09.380]  我們怎樣能夠在我們所說的虛空的時代、世代
[00:00:09.380 --> 00:00:12.500]  來活出智慧的人生
[00:00:12.500 --> 00:00:14.380]  在我們過去讀傳道書的時候
[00:00:14.380 --> 00:00:17.380]  有很多地方提及到智慧
[00:00:17.380 --> 00:00:20.720]  同樣在《聖經》裏面的《詩歌智慧書記》
[00:00:20.720 --> 00:00:23.180]  其中一本《針研書》
[00:00:23.180 --> 00:00:26.180]  也有很多關於智慧的教導
[00:00:26.180 --> 00:00:30.180]  今天想開始的時候會先和大家讀幾節
[00:00:30.180 --> 00:00:34.680]  是針研的關於智慧的經文
[00:00:34.680 --> 00:00:37.840]  第一節就是在第二章第一段
[00:00:37.840 --> 00:00:40.380]  第二章裏面所提及的幾方面
[00:00:40.380 --> 00:00:43.180]  大家可以看到
[00:00:43.180 --> 00:00:46.680]  《詩經》說:我而你若領受我的言語
[00:00:46.680 --> 00:00:48.880]  傳記我的命令
[00:00:48.880 --> 00:00:52.180]  則以聽智慧專心求中明
[00:00:52.180 --> 00:00:55.180]  尋找他如尋找銀紙
[00:00:55.180 --> 00:00:58.680]  搜求他如搜求隱藏的珍寶
[00:00:58.680 --> 00:01:03.680]  你就明白敬畏也或說得以認識神
[00:01:03.680 --> 00:01:06.180]  當針研說到智慧的時候
[00:01:06.180 --> 00:01:11.680]  很清楚地說到智慧是來自神的說話
[00:01:11.680 --> 00:01:14.680]  因此它提醒我們要去領受
[00:01:14.680 --> 00:01:18.180]  要去傳記神的說話
[00:01:18.180 --> 00:01:19.680]  不單止領受
[00:01:19.680 --> 00:01:26.180]  還要很專心、付代價地去聽、去尋求
[00:01:26.180 --> 00:01:31.180]  針研一句說話說:尋找他如尋找銀紙
[00:01:31.180 --> 00:01:36.180]  搜求他如搜求隱藏的珍寶
[00:01:36.180 --> 00:01:40.680]  如果弟兄姊妹你有機會去過長洲建築神學院
[00:01:40.680 --> 00:01:44.180]  你會留意到在圖書館的門口
[00:01:44.180 --> 00:01:47.680]  有一個牌匾寫了四個字
[00:01:47.680 --> 00:01:51.680]  這四個字是我們敬愛的藤鎮輝牧師以前所寫的
[00:01:51.680 --> 00:01:56.180]  就是「如搜隱真」
[00:01:56.180 --> 00:02:00.680]  好像搜尋一些隱藏了的珍寶
[00:02:00.680 --> 00:02:02.680]  針研講述到神的說話
[00:02:02.680 --> 00:02:07.180]  講述到這種智慧是一種珍寶
[00:02:07.180 --> 00:02:11.680]  珍寶是前兩天聽到新聞說
[00:02:11.680 --> 00:02:15.180]  非洲南部的國家Boswana
[00:02:15.180 --> 00:02:21.680]  他們發掘到全世界第三最大的珍珠
[00:02:21.680 --> 00:02:24.180]  舉國很高興
[00:02:24.180 --> 00:02:28.680]  你會發覺英國國家裏面有很多地方是藏了珍珠
[00:02:28.680 --> 00:02:32.180]  因此很多人用很大的代價、很多的努力
[00:02:32.180 --> 00:02:35.680]  去尋得這些珍珠
[00:02:35.680 --> 00:02:41.680]  但針研講到智慧比一切的珍珠更加好
[00:02:41.680 --> 00:02:48.180]  比你心中所喜愛的更值得你去追尋
