
[00:00:00.000 --> 00:00:04.000]  請靜聽神的話語
[00:00:04.000 --> 00:00:08.000]  路德紀一章一到十八節
[00:00:08.000 --> 00:00:12.000]  世世統治的時候國中有飢荒
[00:00:12.000 --> 00:00:20.000]  在猶大的伯利恆有一個人帶著妻子和兩個兒子往摩亞地區寄居
[00:00:20.000 --> 00:00:22.000]  這人名叫以利米勒
[00:00:22.000 --> 00:00:24.000]  他妻子名叫拉爾米
[00:00:24.000 --> 00:00:26.000]  他有兩個兒子
[00:00:26.000 --> 00:00:28.000]  一個名叫馬倫
[00:00:28.000 --> 00:00:30.000]  一個名叫基連
[00:00:30.000 --> 00:00:32.000]  都是猶大伯利恆的以法他人
[00:00:32.000 --> 00:00:36.000]  他們到摩亞地就住在那裡
[00:00:36.000 --> 00:00:40.000]  後來拉爾米的丈夫以利米勒死了
[00:00:40.000 --> 00:00:42.000]  生下他和兩個兒子
[00:00:42.000 --> 00:00:44.000]  兩個兒子娶了摩亞女子
[00:00:44.000 --> 00:00:46.000]  一個名叫額爾巴
[00:00:46.000 --> 00:00:48.000]  第二個名叫路德
[00:00:48.000 --> 00:00:50.000]  在那裡住了約有十年
[00:00:50.000 --> 00:00:54.000]  馬倫和基連兩人也死了
[00:00:54.000 --> 00:00:56.000]  生下拉爾米
[00:00:56.000 --> 00:00:58.000]  沒有丈夫也沒有兒子
[00:00:58.000 --> 00:01:02.000]  拉爾米與兩個師父起身
[00:01:02.000 --> 00:01:04.000]  要從摩亞地回去
[00:01:04.000 --> 00:01:07.000]  因為他在摩亞地聽見耶和華
[00:01:07.000 --> 00:01:09.000]  眷顧自己的百姓
[00:01:09.000 --> 00:01:11.000]  賜糧食給他們
[00:01:11.000 --> 00:01:13.000]  他和兩個師父就起行
[00:01:13.000 --> 00:01:15.000]  離開所住的地方
[00:01:15.000 --> 00:01:17.000]  上路去猶大地區
[00:01:17.000 --> 00:01:20.000]  拉爾米對兩個師父說
[00:01:20.000 --> 00:01:22.000]  你們各自回良家吧
[00:01:22.000 --> 00:01:24.000]  願耶和華恩待你們
[00:01:24.000 --> 00:01:27.000]  像你們待已故的人和我一樣
[00:01:27.000 --> 00:01:29.000]  願耶和華使你們
[00:01:29.000 --> 00:01:32.000]  各自在新的丈夫家中得歸宿
[00:01:32.000 --> 00:01:35.000]  於是拉爾米與他們親吻
[00:01:35.000 --> 00:01:37.000]  他們就放聲大哭
[00:01:37.000 --> 00:01:38.000]  對他說
[00:01:38.000 --> 00:01:39.000]  不
[00:01:39.000 --> 00:01:43.000]  我要與你一同回你的百姓那裡去
[00:01:43.000 --> 00:01:44.000]  拉爾米說
[00:01:44.000 --> 00:01:45.000]  我的女兒啊
[00:01:45.000 --> 00:01:46.000]  回去吧
[00:01:46.000 --> 00:01:48.000]  為何要跟我去呢
[00:01:48.000 --> 00:01:51.000]  我還能生兒子做你們的丈夫嗎
[00:01:51.000 --> 00:01:52.000]  我的女兒啊
[00:01:52.000 --> 00:01:53.000]  回去吧
[00:01:53.000 --> 00:01:55.000]  我年紀老了
[00:01:55.000 --> 00:01:57.000]  不能再有丈夫
[00:01:57.000 --> 00:02:00.000]  就算我還有希望今夜有丈夫
[00:02:00.000 --> 00:02:02.000]  而且也生了兒子
[00:02:02.000 --> 00:02:05.000]  你們豈能等著他們長大呢
[00:02:05.000 --> 00:02:08.000]  你們能守住自己不嫁人嗎
[00:02:08.000 --> 00:02:09.000]  我的女兒啊
[00:02:09.000 --> 00:02:10.000]  不要這樣
[00:02:10.000 --> 00:02:12.000]  我比你們更苦
[00:02:12.000 --> 00:02:15.000]  因為耶和華伸手擊打我
[00:02:15.000 --> 00:02:18.000]  兩個師父又放聲大哭
[00:02:18.000 --> 00:02:21.000]  爾爾巴和婆婆吻別
[00:02:21.000 --> 00:02:25.000]  路德卻緊跟著拉爾米
[00:02:25.000 --> 00:02:26.000]  拉爾米說
[00:02:26.000 --> 00:02:27.000]  看啊
[00:02:27.000 --> 00:02:32.000]  你嫂嫂已經回她的百姓和她的神明那裡去了
[00:02:32.000 --> 00:02:34.000]  你也跟你嫂嫂回去吧
[00:02:34.000 --> 00:02:35.000]  路德說
[00:02:35.000 --> 00:02:37.000]  不要勸我離開你
[00:02:37.000 --> 00:02:38.000]  轉去不跟隨你
[00:02:38.000 --> 00:02:39.000]  你住在
[00:02:39.000 --> 00:02:41.000]  你往哪裡去
[00:02:41.000 --> 00:02:43.000]  我也往哪裡去
[00:02:43.000 --> 00:02:45.000]  你在哪裡住
[00:02:45.000 --> 00:02:46.000]  我也在哪裡住
[00:02:46.000 --> 00:02:49.000]  你的百姓就是我的百姓
[00:02:49.000 --> 00:02:51.000]  你的神就是我的神
[00:02:51.000 --> 00:02:52.000]  你死在哪裡
[00:02:52.000 --> 00:02:53.000]  我也死在哪裡
[00:02:53.000 --> 00:02:55.000]  撞在哪裡
[00:02:55.000 --> 00:02:58.000]  只有死能使你我分離
[00:02:58.000 --> 00:03:02.000]  不然願耶和華重重懲罰我
[00:03:02.000 --> 00:03:05.000]  拉爾米見路德決意要跟自己去
[00:03:05.000 --> 00:03:08.000]  就不再對他說什麼了
[00:03:08.000 --> 00:03:11.000]  有請林牧師正道
[00:03:11.000 --> 00:03:14.000]  各位弟兄姐妹平安
[00:03:14.000 --> 00:03:19.000]  我先都代表順道會國語堂的弟兄姐妹
[00:03:19.000 --> 00:03:22.000]  向大家問安
[00:03:22.000 --> 00:03:25.000]  你聽見我們教會的名稱
[00:03:25.000 --> 00:03:26.000]  國語堂
[00:03:26.000 --> 00:03:29.000]  其實我們已經很老的教會
[00:03:29.000 --> 00:03:31.000]  有71年
[00:03:31.000 --> 00:03:35.000]  最初的時候我們都是雙語的
[00:03:35.000 --> 00:03:39.000]  就是聚會的時候有兩個人
[00:03:39.000 --> 00:03:42.000]  一個人就講普通話
[00:03:42.000 --> 00:03:44.000]  另外一個就是廣東話
[00:03:44.000 --> 00:03:48.000]  但是後來我們就單單只用廣東話
[00:03:48.000 --> 00:03:52.000]  其實這樣的話我們都除名的
[00:03:52.000 --> 00:03:53.000]  因為叫國語堂
[00:03:53.000 --> 00:03:55.000]  不講國語
[00:03:55.000 --> 00:03:58.000]  這幾年我們就悔改了
[00:03:58.000 --> 00:04:03.000]  所以我們就覺得都應該重新有普通話
[00:04:03.000 --> 00:04:05.000]  但是我們都要做一些預備
[00:04:05.000 --> 00:04:08.000]  我們都盼望在下一年開始
[00:04:08.000 --> 00:04:11.000]  我們就不是兩個人站出來
[00:04:11.000 --> 00:04:13.000]  而是有這個即時傳譯
[00:04:13.000 --> 00:04:16.000]  用這個耳機
