
[00:00:00.000 --> 00:00:03.600]  各位主內的弟兄姊妹,你們好
[00:00:03.600 --> 00:00:11.000]  今天我們繼續地領受關於侍奉的信息
[00:00:11.000 --> 00:00:19.600]  每一個人在侍奉中應該有五個方向感
[00:00:19.600 --> 00:00:22.600]  我們有了正確的方向感
[00:00:22.600 --> 00:00:26.000]  我們就能夠走在正確的路上
[00:00:26.000 --> 00:00:28.600]  也能夠有正確的侍奉
[00:00:28.600 --> 00:00:30.600]  蒙神悅納
[00:00:30.600 --> 00:00:32.600]  大有果孝
[00:00:32.600 --> 00:00:37.600]  我們應該有的第一個方向感
[00:00:37.600 --> 00:00:40.600]  就是向上看
[00:00:40.600 --> 00:00:42.600]  看神的寶座
[00:00:42.600 --> 00:00:46.600]  我們看見神坐在寶座上
[00:00:46.600 --> 00:00:50.600]  我們看見祂是宇宙的主
[00:00:50.600 --> 00:00:52.600]  是歷史的主
[00:00:52.600 --> 00:00:54.600]  也是教會的主
[00:00:54.600 --> 00:00:57.600]  當我們這樣看見的時候
[00:00:57.600 --> 00:01:03.600]  我們的心裏就有熟悉的把握和保證感
[00:01:03.600 --> 00:01:04.600]  我們知道
[00:01:04.600 --> 00:01:10.600]  我們所參與的是必然勝利的大軍
[00:01:10.600 --> 00:01:13.600]  基督的大軍
[00:01:13.600 --> 00:01:16.600]  有了這樣的一個認識和感受
[00:01:16.600 --> 00:01:18.600]  就不會消沉
[00:01:18.600 --> 00:01:20.600]  不會悲觀
[00:01:20.600 --> 00:01:22.600]  不會失望
[00:01:22.600 --> 00:01:30.600]  這就成爲我們心靈裏面的一個很基本性的鼓勵的源頭
[00:01:30.600 --> 00:01:34.600]  主耶穌基督坐在寶座上
[00:01:34.600 --> 00:01:38.600]  祂執掌一切的權柄
[00:01:38.600 --> 00:01:40.600]  每一個基督徒
[00:01:40.600 --> 00:01:42.600]  特別是侍奉祂的人
[00:01:42.600 --> 00:01:46.600]  應該把人生的主權
[00:01:46.600 --> 00:01:51.600]  交給這位坐在寶座上的主
[00:01:51.600 --> 00:01:55.600]  有許多基督徒一聽到交出主權
[00:01:55.600 --> 00:01:57.600]  就害怕了
[00:01:57.600 --> 00:02:01.600]  因爲他們不瞭解寶座的意義
[00:02:01.600 --> 00:02:05.600]  以爲把主權交給主耶穌基督
[00:02:05.600 --> 00:02:07.600]  祂來管理一切
[00:02:07.600 --> 00:02:11.600]  自己就失去自由了
[00:02:11.600 --> 00:02:13.600]  就被捆綁了
[00:02:13.600 --> 00:02:15.600]  就受限制了
[00:02:15.600 --> 00:02:17.600]  他們這樣的想
[00:02:17.600 --> 00:02:22.600]  是因爲沒有了解七十路四章三節
[00:02:22.600 --> 00:02:24.600]  所講的話
[00:02:24.600 --> 00:02:26.600]  我讀給大家聽
[00:02:26.600 --> 00:02:30.600]  看那坐在寶座上的
[00:02:30.600 --> 00:02:34.600]  有紅圍着寶座
[00:02:34.600 --> 00:02:38.600]  寶座的周圍有紅
[00:02:38.600 --> 00:02:42.600]  紅是代表神的愛
[00:02:42.600 --> 00:02:49.600]  那個七彩的顏色就是神的愛的豐富的內容
[00:02:49.600 --> 00:02:53.600]  這個紅圍繞神的寶座
