
[00:00:00.000 --> 00:00:02.400]  我們思想到傾權生命的一部分
[00:00:02.400 --> 00:00:05.400]  就是愛不接待我們的人
[00:00:05.400 --> 00:00:08.000]  或者說愛不接納我們的人
[00:00:08.000 --> 00:00:11.600]  我相信大家都會常常有一種感受
[00:00:11.600 --> 00:00:15.000]  我們都很怕沒有人能夠歡迎我們
[00:00:15.000 --> 00:00:17.800]  很怕沒有人能夠接納我們
[00:00:17.800 --> 00:00:21.200]  相反來說我們很怕被人排斥
[00:00:21.200 --> 00:00:23.400]  很怕別人不接納自己
[00:00:23.400 --> 00:00:27.200]  我相信大家在兒童少年期
[00:00:27.600 --> 00:00:30.400]  多多少少都經歷過被排斥的感受
[00:00:30.400 --> 00:00:34.200]  我很深刻記得自己在小學生的時候
[00:00:34.200 --> 00:00:36.800]  帶同學去打乒乓球
[00:00:36.800 --> 00:00:40.200]  打的時候其中有人說不如比賽吧
[00:00:40.200 --> 00:00:43.600]  兩個打得最好的就站出來猜
[00:00:43.600 --> 00:00:45.200]  猜選人
[00:00:45.200 --> 00:00:49.800]  猜贏了之後就選一個好的進入自己的隊伍
[00:00:49.800 --> 00:00:52.600]  接著另一個就選第二個
[00:00:52.600 --> 00:00:53.800]  再猜再選
[00:00:54.600 --> 00:00:58.000]  我在旁邊很渴望他猜贏之後
[00:00:58.000 --> 00:01:00.400]  就立刻說「蕭秀華你過來」
[00:01:00.400 --> 00:01:03.800]  我就會很高興飛過去
[00:01:03.800 --> 00:01:05.800]  但怎知道一直猜
[00:01:05.800 --> 00:01:08.000]  猜到最後剩下一個
[00:01:08.000 --> 00:01:09.200]  就是我
[00:01:09.200 --> 00:01:12.600]  那個人無可奈何地要我進去他的隊伍
[00:01:12.600 --> 00:01:17.000]  有時候你會發覺在成長過程當中
[00:01:17.000 --> 00:01:19.000]  因為你某些特別的因素
[00:01:19.000 --> 00:01:20.600]  可能被拒絕
[00:01:20.600 --> 00:01:23.000]  「你這麼胖不理你」
[00:01:24.400 --> 00:01:27.000]  「你跑得這麼慢不要進我們的隊伍」
[00:01:27.000 --> 00:01:29.800]  或者更深刻的經歷
[00:01:29.800 --> 00:01:33.800]  可能你會經歷過父母對你的責打
[00:01:33.800 --> 00:01:38.000]  或者很多時候你很希望他愛護你
[00:01:38.000 --> 00:01:41.800]  突然間你感覺到他遺棄了你
[00:01:41.800 --> 00:01:46.800]  在生活上會經歷被人拒絕
[00:01:46.800 --> 00:01:48.800]  被人不接納
[00:01:48.800 --> 00:01:51.200]  是一種很傷害的感受
[00:01:51.200 --> 00:01:53.600]  因為鄧興說在公司裡面
[00:01:54.600 --> 00:01:57.000]  突然間其中一位上司走過來跟他說
[00:01:57.000 --> 00:01:59.000]  「我欣賞你」
[00:01:59.000 --> 00:02:03.000]  「你不如做了我的心腹」
[00:02:03.000 --> 00:02:06.000]  大家明白嗎?
[00:02:06.000 --> 00:02:10.000]  做了心腹意味著無論老闆是對還是錯
[00:02:10.000 --> 00:02:12.000]  你要跟著他
[00:02:12.000 --> 00:02:13.000]  你要支持他
[00:02:13.000 --> 00:02:14.000]  他會保住你
[00:02:14.000 --> 00:02:17.000]  因為鄧興掙扎了一段時間
[00:02:17.000 --> 00:02:18.000]  跟他說
[00:02:18.000 --> 00:02:19.000]  「多謝你」
[00:02:19.000 --> 00:02:23.000]  「我都不是這種的人」
[00:02:23.400 --> 00:02:25.400]  拒絕了這個意思
[00:02:25.400 --> 00:02:27.400]  但他發覺從此之後
[00:02:27.400 --> 00:02:30.400]  在公司裡面有一組人
[00:02:30.400 --> 00:02:32.400]  就永遠不會接納他
[00:02:32.400 --> 00:02:35.400]  覺得他好像敵人般排斥他
[00:02:35.400 --> 00:02:38.400]  因為他不願意加入那個黨人當中
[00:02:38.400 --> 00:02:41.400]  在社會上生活
[00:02:41.400 --> 00:02:45.400]  你會多多少少經歷那種不被接納的感覺
[00:02:45.400 --> 00:02:47.400]  但大家都會很清楚
[00:02:47.400 --> 00:02:50.400]  記得《聖經》《約翰福音》第一章第十一節
[00:02:50.400 --> 00:02:55.400]  我們的主比我們更深刻經歷那種不被接納
[00:02:55.400 --> 00:02:56.400]  《聖經》就說
[00:02:56.400 --> 00:03:00.400]  「他到自己的地方來
[00:03:00.400 --> 00:03:04.400]  自己的人卻不接受他」
[00:03:04.400 --> 00:03:07.400]  主耶穌來到自己所創造的天地
[00:03:07.400 --> 00:03:09.400]  來到自己的地方
[00:03:09.400 --> 00:03:12.400]  自己所創造的人不接受自己
[00:03:12.400 --> 00:03:16.400]  因此主很明白那種被排斥
[00:03:16.400 --> 00:03:18.400]  被拒絕的感受
[00:03:19.400 --> 00:03:21.400]  但他教導我們
[00:03:21.400 --> 00:03:23.400]  如何跟隨他的腳踏中行
[00:03:23.400 --> 00:03:25.400]  如何回應
[00:03:25.400 --> 00:03:27.400]  如何去愛那些不接待
[00:03:27.400 --> 00:03:29.400]  不接納自己的人
[00:03:29.400 --> 00:03:32.400]  我們今天思想回主耶穌對我們的教訓
[00:03:32.400 --> 00:03:34.400]  一起去領受
[00:03:34.400 --> 00:03:37.400]  在剛才《聖經》《約翰福音》第九章
[00:03:37.400 --> 00:03:44.400]  在五十一節提到當時耶穌去一個地方
[00:03:44.400 --> 00:03:46.400]  我們看回和合本
[00:03:46.400 --> 00:03:48.400]  耶穌被接上星期日子將到
[00:03:48.400 --> 00:03:50.400]  他就定義向耶路撒冷去
[00:03:50.400 --> 00:03:53.400]  便打發使者在他前頭走
[00:03:53.400 --> 00:03:55.400]  他們到了耶路撒冷的
[00:03:55.400 --> 00:03:57.400]  撒瑪利亞的一個村莊
[00:03:57.400 --> 00:03:59.400]  要為他預備
[00:03:59.400 --> 00:04:01.400]  那裡的人不接待他
[00:04:01.400 --> 00:04:04.400]  因他面向耶路撒冷去
[00:04:04.400 --> 00:04:07.400]  在當時的情況就是
[00:04:07.400 --> 00:04:10.400]  主知道自己將要被接上星了
[00:04:10.400 --> 00:04:13.400]  被接到天上
[00:04:13.400 --> 00:04:16.400]  回復他原來的榮耀
[00:04:17.400 --> 00:04:20.400]  也意味著耶穌知道他將要被釘十字架
[00:04:20.400 --> 00:04:24.400]  面對著死亡的結果
[00:04:24.400 --> 00:04:27.400]  但是大家都會記得《聖經》所提及的
[00:04:27.400 --> 00:04:31.400]  主耶穌看見將來的榮耀
[00:04:31.400 --> 00:04:34.400]  就興翰了眼前的羞辱
[00:04:34.400 --> 00:04:39.400]  何時我們用一個長遠的眼光看人生
[00:04:39.400 --> 00:04:43.400]  眼前一些羞辱或被排斥
[00:04:43.400 --> 00:04:45.400]  顯得不重要
[00:04:46.400 --> 00:04:48.400]  主耶穌清楚知道
[00:04:48.400 --> 00:04:52.400]  他將要被提升到天上
[00:04:52.400 --> 00:04:54.400]  他要經歷復活
[00:04:54.400 --> 00:04:56.400]  在那時候他仍然決心
[00:04:56.400 --> 00:04:58.400]  走向耶路撒冷
[00:04:58.400 --> 00:05:02.400]  接受十字架的神對他的安排
[00:05:02.400 --> 00:05:04.400]  因此他打發使者安排
[00:05:04.400 --> 00:05:07.400]  可能是安排一些住居的環境
[00:05:07.400 --> 00:05:10.400]  但是發覺當地的撒瑪利亞人
[00:05:10.400 --> 00:05:12.400]  不接受他們
[00:05:12.400 --> 00:05:14.400]  大家知道撒瑪利亞人
[00:05:14.400 --> 00:05:17.400]  是很仇恨、很仇視猶太人的
[00:05:17.400 --> 00:05:20.400]  任何人似乎和猶太人相關的
[00:05:20.400 --> 00:05:23.400]  他們都不想去接受他們
[00:05:23.400 --> 00:05:27.400]  因此不會樂意為他們預備居住的地方
[00:05:27.400 --> 00:05:29.400]  在那時候兩位門徒
[00:05:29.400 --> 00:05:31.400]  他們有些反應了
[00:05:31.400 --> 00:05:33.400]  大家看看五十四節
[00:05:33.400 --> 00:05:38.400]  他們門徒雅各若看見了就說
[00:05:38.400 --> 00:05:42.400]  主啊,要我們吩咐火從天上降下來
[00:05:42.400 --> 00:05:46.400]  消滅他們,像伊利亞所做的嗎?
[00:05:46.400 --> 00:05:48.400]  在那時候兩位門徒
[00:05:48.400 --> 00:05:51.400]  突然間有一種很強烈的情緒
[00:05:51.400 --> 00:05:55.400]  表面上看是一種公義的審判
[00:05:55.400 --> 00:05:58.400]  他們做得非常之不對
[00:05:58.400 --> 00:06:01.400]  主耶穌說你讓我們呼求上帝
[00:06:01.400 --> 00:06:04.400]  讓火從天降下來消滅他們
[00:06:04.400 --> 00:06:09.400]  但其實是混淆了他們內心的那種憤怒
[00:06:09.400 --> 00:06:14.400]  以洩憤當作是神公義的審判
[00:06:14.400 --> 00:06:18.400]  大家會記得當時聖經提及的伊利亞
[00:06:18.400 --> 00:06:20.400]  在舊約聖經提及
[00:06:20.400 --> 00:06:25.400]  當兩個白夫長被差派來捉拿伊利亞先知的時候
[00:06:25.400 --> 00:06:29.400]  當時他們帶著一種極其輕描的態度
[00:06:29.400 --> 00:06:33.400]  完全不會敬畏神,也不尊重神的先知
[00:06:33.400 --> 00:06:38.400]  神容許伊利亞讓火從天上降下來
[00:06:38.400 --> 00:06:41.400]  消滅五十人和五十夫長
[00:06:41.400 --> 00:06:44.400]  這個歷史的例子
[00:06:44.400 --> 00:06:47.400]  在當時的處境,是神要選擇這樣做
[00:06:47.400 --> 00:06:52.400]  讓人真的知道去敬畏這位極其尊榮的上帝
[00:06:52.400 --> 00:06:54.400]  不會輕描他
[00:06:54.400 --> 00:06:56.400]  但在這個時候
[00:06:56.400 --> 00:07:00.400]  亞各約翰的心境似乎和伊利亞不同
[00:07:00.400 --> 00:07:03.400]  為什麼他們會這樣做呢?
[00:07:03.400 --> 00:07:06.400]  很明顯,兩位的門徒
[00:07:06.400 --> 00:07:08.400]  他們感覺自己被人輕視
[00:07:08.400 --> 00:07:10.400]  被人拒絕
[00:07:10.400 --> 00:07:12.400]  或者他們心想
[00:07:12.400 --> 00:07:15.400]  連我們的師父你都不尊重
[00:07:15.400 --> 00:07:17.400]  也意味著我們這班徒弟
[00:07:17.400 --> 00:07:19.400]  你更加不會尊重
[00:07:19.400 --> 00:07:21.400]  應該懲戒他們
[00:07:21.400 --> 00:07:23.400]  警戒他們
