
[00:00:00.000 --> 00:00:02.000]  當我們看以色列記的時候
[00:00:02.000 --> 00:00:06.000]  就會發現是一本有關以色列人歷史的書
[00:00:06.000 --> 00:00:12.000]  在一個很特殊的政治歷史的時代當中發生的事情
[00:00:12.000 --> 00:00:16.000]  當時猶太人可以回到自己的國家重建家園
[00:00:16.000 --> 00:00:21.000]  表面上是因為某一些的君王給他們的方便
[00:00:21.000 --> 00:00:24.000]  但是你看回整卷聖經的時候就發現
[00:00:24.000 --> 00:00:29.000]  一切的事情背後很清楚有神的手在當中掌管著
[00:00:29.000 --> 00:00:33.000]  是神掌權以至於這些事情才會成全
[00:00:33.000 --> 00:00:40.000]  所以今天我們講到的題目就是成全一切的事耶和華
[00:00:40.000 --> 00:00:45.000]  是他成就一切掌管歷史作成奇妙的事情
[00:00:45.000 --> 00:00:47.000]  他怎樣來成就一切呢
[00:00:47.000 --> 00:00:49.000]  我們首先看第一章第一節
[00:00:49.000 --> 00:00:54.000]  提到神激動君王去行他自己神自己的事情
[00:00:54.000 --> 00:00:56.000]  第一章第一節
[00:00:56.000 --> 00:00:59.000]  波斯王塞魯士元年
[00:00:59.000 --> 00:01:03.000]  耶和華為要應驗植言的美口所說的話
[00:01:03.000 --> 00:01:06.000]  就激動波斯王塞魯士的心
[00:01:06.000 --> 00:01:09.000]  時他下詔通告全國說
[00:01:09.000 --> 00:01:14.000]  曾經提到在當時一位塞魯士王興起了
[00:01:14.000 --> 00:01:18.000]  塞魯士王在以前的聖經我們的翻譯叫做古列王
[00:01:18.000 --> 00:01:22.000]  因為這個王他是一個新的帝國的創始者
[00:01:22.000 --> 00:01:24.000]  這個帝國叫做波斯帝國
[00:01:24.000 --> 00:01:27.000]  以前是巴比倫大帝國
[00:01:27.000 --> 00:01:29.000]  一個很大的帝國
[00:01:29.000 --> 00:01:35.000]  沒有人會想到這個帝國竟然有一天會全盤的敗退倒臨
[00:01:35.000 --> 00:01:39.000]  就因為這個塞魯士王南征北討
[00:01:39.000 --> 00:01:42.000]  將這大片的土地征服過來
[00:01:42.000 --> 00:01:45.000]  設立了新的一個波斯帝國
[00:01:45.000 --> 00:01:51.000]  沒有人會想像到當他開始擔任這個新的帝國的王的時候
[00:01:51.000 --> 00:01:54.000]  他就下了一個詔令
[00:01:54.000 --> 00:01:56.000]  但當我們看詔令之前我們要問一個問題
[00:01:56.000 --> 00:01:59.000]  為什麼猶太人會被擄呢?
[00:01:59.000 --> 00:02:01.000]  什麼原因他們會離開自己的家園
[00:02:01.000 --> 00:02:04.000]  去到一個完全陌生的異邦呢?
[00:02:04.000 --> 00:02:07.000]  大家一起看看前面一卷的聖經
[00:02:07.000 --> 00:02:09.000]  前一頁歷代至下
[00:02:09.000 --> 00:02:13.000]  最後一章三十六章
[00:02:13.000 --> 00:02:17.000]  歷代至上下都是和以色列同期的作品
[00:02:17.000 --> 00:02:21.000]  在三十六章的第十五節
[00:02:21.000 --> 00:02:29.000]  耶和華他們列祖的臣因為愛惜自己的民和他的居所
[00:02:29.000 --> 00:02:33.000]  從早起來差遣使者去警戒他們
[00:02:33.000 --> 00:02:35.000]  他們卻欺笑臣的使者
[00:02:35.000 --> 00:02:37.000]  藐視他的言語
[00:02:37.000 --> 00:02:39.000]  記憶他的先知
[00:02:39.000 --> 00:02:42.000]  以至耶和華的憤怒向他的百姓發作
[00:02:42.000 --> 00:02:45.000]  無法可救
[00:02:45.000 --> 00:02:48.000]  有人以為這個民族被擄掠
[00:02:48.000 --> 00:02:51.000]  他們的臣一定是撇棄他們
[00:02:51.000 --> 00:02:53.000]  不要他們
[00:02:53.000 --> 00:02:54.000]  但剛剛相反
[00:02:54.000 --> 00:02:55.000]  聖經就提到
[00:02:55.000 --> 00:02:57.000]  臣愛他的子民
[00:02:57.000 --> 00:03:00.000]  也就是從早起來
[00:03:00.000 --> 00:03:04.000]  意味著迫切多次地
