
[00:00:00.000 --> 00:00:07.000]  大家想一想,假如你有朋友問你,現在流行的歌到底流行什麼歌呢?
[00:00:07.000 --> 00:00:10.000]  那你怎樣回答他呢?
[00:00:10.000 --> 00:00:18.000]  想五秒鐘吧,你要想起什麼歌?
[00:00:18.000 --> 00:00:25.000]  我提供一個答案給大家,這個答案我相信今年十年後,二十年後,五十年後
[00:00:25.000 --> 00:00:33.000]  都是會適用的答案,最流行的歌是聖詩,有人問你流行歌是什麼?
[00:00:33.000 --> 00:00:40.000]  聖詩,為什麼呢?有原因的,不是胡亂說的,什麼叫流行歌?
[00:00:40.000 --> 00:00:49.000]  流行歌就是那個時間,那個地區,那個世代,最多人唱,經常唱的歌,那些就是流行歌,是吧?
[00:00:49.000 --> 00:00:59.000]  大家知不知道,現在每個星期定期在香港聚會的基督徒人數有多少?
[00:00:59.000 --> 00:01:08.000]  單是基督徒人數有三十萬,每星期就是基督教的人數有三十萬,定期在教會裡面去唱聖詩,
[00:01:08.000 --> 00:01:19.000]  在地上,每個星期定期,現在地球上有十億以上的人,定期去唱教會的詩歌,
[00:01:19.000 --> 00:01:24.000]  所以聖詩不是最流行的詩歌,什麼詩歌是最流行的呢?
[00:01:24.000 --> 00:01:31.000]  所以提供一個答案給大家,不是嘩眾取寵的,是有理性根據去回答這個問題,
[00:01:31.000 --> 00:01:40.000]  接著我們問,為什麼現在地上有這麼多的人,一起每個星期聚集去唱詩,
[00:01:40.000 --> 00:01:43.000]  唱詩歌,去敬拜上帝呢?
[00:01:43.000 --> 00:01:52.000]  其實源於在二千年前有一個人,叫耶穌,來到地上,為世人的罪釘在十字架上,
[00:01:52.000 --> 00:02:05.000]  然後復活,在眾人面前升天到升到負的上面,地上教會被建立,福音傳愛,
[00:02:05.000 --> 00:02:08.000]  有很多人相信,有很多人得到一個救恩,
[00:02:08.000 --> 00:02:13.000]  今天我們嘗試去看看初期教會這個情況,怎樣會發生,
[00:02:13.000 --> 00:02:20.000]  和當時的門徒怎樣去看耶穌的復活,和當時聖靈降臨這件事,
[00:02:20.000 --> 00:02:29.000]  當耶穌被釘十字架之後,門徒四散,耶穌復活之後,他們顯然聚集在一起祈禱,
[00:02:29.000 --> 00:02:36.000]  他們等候著上帝所差派降臨的聖靈,
[00:02:36.000 --> 00:02:44.000]  然後在聚集的時候,當時聖靈降臨在每一個人的身上,他們有什麼表現呢?
[00:02:44.000 --> 00:02:50.000]  他們的表現就是說起別國的方言,他們會說不同地方的語言,
[00:02:50.000 --> 00:02:56.000]  就好像我們今天說的,未學過德文就馬上會說德文,未學過法文就馬上會說法文,
[00:02:56.000 --> 00:02:59.000]  未學過西班牙文就馬上會說西班牙文,
[00:02:59.000 --> 00:03:07.000]  就在這樣的情況下,彼得說出了一個很重要的講章,
[00:03:07.000 --> 00:03:15.000]  亦是我們現在可以見到的,在初期教會,一篇很完整的第一篇講章,
[00:03:15.000 --> 00:03:19.000]  在這篇講章裏面,一開始就說到聖靈降臨這件事,
[00:03:19.000 --> 00:03:28.000]  其實在聖經的預言裏面,已經很早說到聖靈會降臨在地上,
[00:03:28.000 --> 00:03:34.000]  然後在這篇講章的結尾33節,同樣再說出這件事實,
[00:03:34.000 --> 00:03:41.000]  就是聖靈的降臨在舊約的先知預言裏面已經很清楚地表達出來,
[00:03:41.000 --> 00:03:45.000]  在一開始一尾的講出這件事實之後,
[00:03:45.000 --> 00:03:56.000]  然後彼得再去探討究竟聖靈降臨這件事的重要性和關鍵性在哪一個地方呢?
[00:03:56.000 --> 00:04:03.000]  在這裏彼得說,聖靈的降臨可以推索到耶穌的身上,
[00:04:03.000 --> 00:04:11.000]  耶穌被傳到,被當時的猶太人唾棄,被釘在十字架上,
[00:04:11.000 --> 00:04:16.000]  但是上帝叫耶穌從死裏復活,
[00:04:16.000 --> 00:04:21.000]  然後彼得說,眾門徒都可以為耶穌的復活作見證,
[00:04:21.000 --> 00:04:32.000]  而更重要的是,耶穌的復活必須要從上帝已經預先訂立的預言角度去講,
[00:04:32.000 --> 00:04:38.000]  所以耶穌的受死,耶穌的被釘十字架,耶穌的復活不是一件偶然的事件,
[00:04:38.000 --> 00:04:44.000]  不是說事件發生了,然後再賦予意義給他,賦予解釋給他,
[00:04:44.000 --> 00:04:49.000]  有很多時我們都是這樣,是事情發生了之後我們再給他解釋,
[00:04:49.000 --> 00:04:54.000]  但是彼得說,耶穌的受死和復活不是這樣,
[00:04:54.000 --> 00:05:00.000]  我們必須要從預言的角度,在舊約聖經已經很清楚地講出了,
[00:05:00.000 --> 00:05:05.000]  耶穌會來到地上,上帝已經預先確立,
[00:05:05.000 --> 00:05:12.000]  祂必定會從死裏復活,是上帝拯救人類計劃的一個很重要的步驟,
[00:05:12.000 --> 00:05:19.000]  然後彼得說,這個預言是引用大衛一篇詩篇,
[00:05:19.000 --> 00:05:26.000]  大衛在他的有生之年已經講出了這個事實,
[00:05:26.000 --> 00:05:34.000]  然後彼得說,因為耶穌的復活顯明了耶穌就是那一個彌賽亞,
[00:05:34.000 --> 00:05:39.000]  然後彼得再說,聖靈的囂冠的意義是什麼呢?
[00:05:39.000 --> 00:05:44.000]  就是聖靈的囂冠、聖靈的降臨在眾人身上的這件事,
[00:05:44.000 --> 00:05:47.000]  耶穌復活這件事的真實性,
[00:05:47.000 --> 00:05:53.000]  去講出了耶穌就是上帝所差派來的那一個救主,那一個彌賽亞,
[00:05:53.000 --> 00:05:59.000]  然後眾人再問,究竟我們應該怎樣去做呢?我們應該怎樣去回應呢?
