
[00:00:00.000 --> 00:00:06.000]  好,頂梓梅平安,我們一起跟大家思想聖經比較長一點
[00:00:06.000 --> 00:00:10.000]  如果你有周刊或者方便也可以打開
[00:00:10.000 --> 00:00:14.000]  因為我期望從經文雖然多一點經節
[00:00:14.000 --> 00:00:17.000]  但是有些重點可以大圖畫去看
[00:00:17.000 --> 00:00:21.000]  這個題目帶有權柄的深度
[00:00:21.000 --> 00:00:29.000]  其實是按照我所用的一個譯本的其中的經文裏面的一個段落
[00:00:29.000 --> 00:00:31.000]  經文裏面說什麼呢?
[00:00:31.000 --> 00:00:34.000]  其實就是溫故知新
[00:00:34.000 --> 00:00:38.000]  接著說的是耶穌基督傳道
[00:00:38.000 --> 00:00:41.000]  祂說的馬可福音,祂的福音是怎樣開始的呢?
[00:00:41.000 --> 00:00:45.000]  還記得祂的洗禮受試探之後
[00:00:45.000 --> 00:00:47.000]  還沒有出來
[00:00:47.000 --> 00:00:49.000]  但是一出來就做了一件事情
[00:00:49.000 --> 00:00:51.000]  就是呼召門徒
[00:00:51.000 --> 00:00:56.000]  上次上月跟大家分享最大的一個給我提醒
[00:00:56.000 --> 00:01:03.000]  從來門徒跟隨耶穌的反應不是太衝動
[00:01:03.000 --> 00:01:07.000]  因為真正的神的兒子來到
[00:01:07.000 --> 00:01:11.000]  他呼召你,就好像你業界最出色最頂尖的人
[00:01:11.000 --> 00:01:13.000]  挖你角,叫他跟隨你
[00:01:13.000 --> 00:01:17.000]  正常反應就是,我真的很想跟著他學習
[00:01:17.000 --> 00:01:21.000]  這個只是比喻,但他並不是一個出色的人
[00:01:21.000 --> 00:01:23.000]  這麼簡單,這是真實
[00:01:23.000 --> 00:01:25.000]  所以他們不是太衝動
[00:01:25.000 --> 00:01:29.000]  我們有時候跟隨著,太冷靜,甚至太冷淡
[00:01:29.000 --> 00:01:33.000]  不說太冷血了,有些人不喜歡
[00:01:33.000 --> 00:01:37.000]  事實上,愛我們這位犧牲十字架的主
[00:01:37.000 --> 00:01:39.000]  如果無動於衷
[00:01:39.000 --> 00:01:43.000]  何況當時門徒可能還沒有完整的救恩
[00:01:43.000 --> 00:01:46.000]  他們比我們更不完整的意思
[00:01:46.000 --> 00:01:49.000]  我們已經更完整,知道基督為我們犧牲
[00:01:49.000 --> 00:01:55.000]  所以我們接著思想,看今天的經文思考
[00:01:55.000 --> 00:01:57.000]  一個問題,你是不是相信耶穌?
[00:01:57.000 --> 00:02:00.000]  不是去到α,雖然我們稍後的報告
[00:02:00.000 --> 00:02:05.000]  也會在10月至11月有α第三季
[00:02:05.000 --> 00:02:09.000]  但這個問題也要問,當然相信了
[00:02:09.000 --> 00:02:11.000]  但你怎麼知道呢?
[00:02:11.000 --> 00:02:15.000]  是憑你的思想,你的反應行動
[00:02:15.000 --> 00:02:19.000]  證明你有多認識主,是否真的跟從主
[00:02:19.000 --> 00:02:23.000]  真信耶穌的時候,你知道一件事
[00:02:23.000 --> 00:02:29.000]  耶穌基督或上帝在聖經裡對我們是一個要求
[00:02:29.000 --> 00:02:31.000]  最大的誡命等等
[00:02:31.000 --> 00:02:33.000]  而不是一個期望
[00:02:33.000 --> 00:02:35.000]  有什麼分別?差不多
[00:02:35.000 --> 00:02:37.000]  你對你家人有沒有期望?
[00:02:37.000 --> 00:02:44.000]  有,包括夫婦,子女,子女都對父母有期望
[00:02:44.000 --> 00:02:48.000]  不過有沒有10樣都達成?
[00:02:48.000 --> 00:02:50.000]  未必那麼完美
[00:02:50.000 --> 00:02:54.000]  我不知道,5樣都已經是開香檳
[00:02:54.000 --> 00:02:58.000]  或者他也有很多很好的,感恩
[00:02:58.000 --> 00:03:00.000]  但人無完美
[00:03:00.000 --> 00:03:08.000]  但聖經裡說,基督徒做到也好,做不到也算了
[00:03:08.000 --> 00:03:11.000]  耶穌基督給我們很清楚
[00:03:11.000 --> 00:03:16.000]  所以我們所示,我們先成為門徒
[00:03:16.000 --> 00:03:21.000]  成為主的人,才作出如何活出門徒的生命
[00:03:21.000 --> 00:03:26.000]  今天我們好像是一個檢測,或者分享
[00:03:26.000 --> 00:03:28.000]  大學權柄的新道理
[00:03:28.000 --> 00:03:32.000]  這個題目我自己分開,就是神的權柄
[00:03:32.000 --> 00:03:36.000]  是關乎耶穌基督的工作,他的職事
[00:03:36.000 --> 00:03:41.000]  目的是要人與神相遇
[00:03:41.000 --> 00:03:44.000]  認識他是神的兒子,創造的主
[00:03:44.000 --> 00:03:49.000]  也是那位救贖的主,讓我們知道
[00:03:49.000 --> 00:03:53.000]  不單是這樣,並且人的回應
[00:03:53.000 --> 00:03:59.000]  新的道理對經文裡,當時的猶太人
[00:03:59.000 --> 00:04:03.000]  或者那些人,是一個很大的衝擊
[00:04:03.000 --> 00:04:04.000]  要破舊
[00:04:04.000 --> 00:04:08.000]  但從上帝創造主的角度,他的秩序是恢復
[00:04:08.000 --> 00:04:12.000]  我最近喜歡用一個比喻來形容我們的生命
[00:04:12.000 --> 00:04:14.000]  就是原廠設定
[00:04:14.000 --> 00:04:17.000]  你的手機就不要亂按原廠設定
[00:04:17.000 --> 00:04:20.000]  因為會失去你的東西
[00:04:20.000 --> 00:04:22.000]  可能這也是在表示我們
[00:04:22.000 --> 00:04:26.000]  如果耶穌基督叫你信耶穌,就是要你原廠設定
[00:04:26.000 --> 00:04:28.000]  回到跟隨他的秩序的時間
[00:04:28.000 --> 00:04:32.000]  我們有很多糾結,捨不得,不要搞吧
[00:04:32.000 --> 00:04:35.000]  我的手機已經設定好,我喜歡這樣
[00:04:35.000 --> 00:04:37.000]  包括一些不好的東西
[00:04:37.000 --> 00:04:39.000]  都是一個比喻
[00:04:39.000 --> 00:04:45.000]  其實最重要的是恢復我們生命跟隨主的設定
[00:04:45.000 --> 00:04:49.000]  不是物化了人,而是原有的秩序
[00:04:49.000 --> 00:04:54.000]  所以西門彼得,安德烈,雅各
[00:04:54.000 --> 00:04:56.000]  那幾個兄弟跟從主
[00:04:56.000 --> 00:05:00.000]  他們當刻肯定跟隨一個正確的設定
[00:05:00.000 --> 00:05:04.000]  今天你跟我聽見神的呼叫
[00:05:04.000 --> 00:05:06.000]  或者神的教導訊息
[00:05:06.000 --> 00:05:10.000]  是很理性,很計算,很執著,還是很擔心呢?
[00:05:10.000 --> 00:05:12.000]  我們今天看的經文詳
[00:05:12.000 --> 00:05:15.000]  不過會跳到一些重點
[00:05:15.000 --> 00:05:22.000]  就是有四個場合,或者有五種不同的單位人的反應
