
[00:00:00.000 --> 00:00:04.000]  各位族內的弟兄姊妹
[00:00:04.000 --> 00:00:09.000]  我們科目生命的長進
[00:00:09.000 --> 00:00:12.000]  沒有任何一件其他的事
[00:00:12.000 --> 00:00:15.000]  比我們生命的長進
[00:00:15.000 --> 00:00:19.000]  更加能夠滿足主的心
[00:00:19.000 --> 00:00:21.000]  主捨去他的生命
[00:00:21.000 --> 00:00:24.000]  就是要我們得生命
[00:00:24.000 --> 00:00:27.000]  而且得得更豐盛
[00:00:27.000 --> 00:00:31.000]  當我們的生命漸漸進入
[00:00:31.000 --> 00:00:34.000]  豐盛的生命的境界的時候
[00:00:34.000 --> 00:00:39.000]  我們的主的心是滿足喜樂
[00:00:39.000 --> 00:00:43.000]  我們用這樣體會主的心
[00:00:43.000 --> 00:00:46.000]  來接受七十路裡面
[00:00:46.000 --> 00:00:50.000]  關於生命的信息
[00:00:50.000 --> 00:00:52.000]  在這兩場裡面
[00:00:52.000 --> 00:00:54.000]  我們的重點是放在
[00:00:54.000 --> 00:00:56.000]  得勝的生命上
[00:00:56.000 --> 00:00:58.000]  昨天晚上
[00:00:58.000 --> 00:01:01.000]  我們看了基督的寶座
[00:01:01.000 --> 00:01:06.000]  基督的寶座是得勝的寶座
[00:01:06.000 --> 00:01:08.000]  寶座在聖經裡面
[00:01:08.000 --> 00:01:11.000]  有三個基本的意義
[00:01:11.000 --> 00:01:15.000]  第一恩惠的寶座
[00:01:15.000 --> 00:01:18.000]  第二得勝的寶座
[00:01:18.000 --> 00:01:22.000]  第三神盼的寶座
[00:01:22.000 --> 00:01:28.000]  我們的重點是放在得勝的寶座上
[00:01:28.000 --> 00:01:30.000]  在七十路裡面
[00:01:30.000 --> 00:01:33.000]  我們看見神的寶座
[00:01:33.000 --> 00:01:37.000]  有兩部的章節
[00:01:37.000 --> 00:01:42.000]  第一部是在教會裡面的章節
[00:01:42.000 --> 00:01:48.000]  請看十六章十七節
[00:01:48.000 --> 00:01:52.000]  十六章十七節
[00:01:52.000 --> 00:01:56.000]  第七位天使把碗倒在空中
[00:01:56.000 --> 00:02:03.000]  就有大聲音從殿中的寶座上出來說成了
[00:02:03.000 --> 00:02:05.000]  成了兩個字
[00:02:05.000 --> 00:02:08.000]  從寶座上發出來
[00:02:08.000 --> 00:02:10.000]  寶座在哪裡?
[00:02:10.000 --> 00:02:12.000]  在殿中
[00:02:12.000 --> 00:02:16.000]  今天教會是神的殿
[00:02:16.000 --> 00:02:18.000]  是神的家
[00:02:18.000 --> 00:02:22.000]  基督的寶座在這個時代裡面
[00:02:22.000 --> 00:02:26.000]  僅僅鮮明在教會裡面
[00:02:26.000 --> 00:02:29.000]  諸說救贖的人
[00:02:29.000 --> 00:02:31.000]  在現在的生活中
[00:02:31.000 --> 00:02:33.000]  就尊主偉大
[00:02:33.000 --> 00:02:35.000]  尊主偉盛
[00:02:35.000 --> 00:02:41.000]  讓主舉手為張王權
[00:02:41.000 --> 00:02:44.000]  這是一半的章節
[00:02:44.000 --> 00:02:46.000]  一半隱藏
[00:02:46.000 --> 00:02:47.000]  一半彰顯
[00:02:47.000 --> 00:02:52.000]  世上的人看不見基督的王權
[00:02:52.000 --> 00:02:54.000]  但是到了第二部
[00:02:54.000 --> 00:02:59.000]  那就是第二十一章第三節
[00:02:59.000 --> 00:03:02.000]  二十一章第三節
[00:03:02.000 --> 00:03:06.000]  我聽見有大聲音從寶座出來說
[00:03:06.000 --> 00:03:07.000]  看啊
[00:03:07.000 --> 00:03:11.000]  神的賬目在人間
[00:03:11.000 --> 00:03:15.000]  大聲音從寶座出來
[00:03:15.000 --> 00:03:17.000]  下面第五節
[00:03:17.000 --> 00:03:20.000]  寶座上的聲音再一次說
[00:03:20.000 --> 00:03:22.000]  都成了
[00:03:22.000 --> 00:03:24.000]  都成了
[00:03:24.000 --> 00:03:26.000]  完全的成了
[00:03:26.000 --> 00:03:27.000]  這個時候
[00:03:27.000 --> 00:03:31.000]  神的寶座在整個的宇宙中彰顯
[00:03:31.000 --> 00:03:33.000]  不再是一半的彰顯
[00:03:33.000 --> 00:03:35.000]  那是完全的彰顯
[00:03:35.000 --> 00:03:37.000]  清楚的彰顯
[00:03:37.000 --> 00:03:39.000]  所有被造之物
[00:03:39.000 --> 00:03:41.000]  看見神的寶座
[00:03:41.000 --> 00:03:43.000]  都接受神的統治
[00:03:43.000 --> 00:03:49.000]  都服服敬拜贊美萬有之主
[00:03:49.000 --> 00:03:51.000]  這是兩部以前
[00:03:51.000 --> 00:03:54.000]  還有最初的一部
[00:03:54.000 --> 00:03:58.000]  那就是完全的隱藏
[00:03:58.000 --> 00:04:00.000]  那個完全的隱藏
[00:04:00.000 --> 00:04:03.000]  是在哥哥他山上
[00:04:03.000 --> 00:04:05.000]  哥哥他山上有一個牌子
[00:04:05.000 --> 00:04:08.000]  在十字架上寫著說
[00:04:08.000 --> 00:04:10.000]  猶太人的王
[00:04:10.000 --> 00:04:14.000]  有王這個字
[00:04:14.000 --> 00:04:16.000]  但是那個時候基督的王位
[00:04:16.000 --> 00:04:23.000]  他的寶座完全隱藏在十字架的後面
[00:04:23.000 --> 00:04:25.000]  當時沒有人知道
[00:04:25.000 --> 00:04:29.000]  被釘死的基督是要做王的基督
[00:04:29.000 --> 00:04:31.000]  當時他們稱呼基督為王
[00:04:31.000 --> 00:04:35.000]  是諷刺的口吻
[00:04:35.000 --> 00:04:36.000]  別拉多問
[00:04:36.000 --> 00:04:39.000]  主耶穌說你是王嗎
[00:04:39.000 --> 00:04:41.000]  主回答說
[00:04:41.000 --> 00:04:43.000]  你說的是
[00:04:43.000 --> 00:04:45.000]  我為此而生
[00:04:45.000 --> 00:04:47.000]  我為此到世間
[00:04:47.000 --> 00:04:50.000]  我來是為真理做見證
[00:04:50.000 --> 00:04:52.000]  凡屬真理的人
[00:04:52.000 --> 00:04:55.000]  都聽我的聲音
[00:04:55.000 --> 00:04:57.000]  隱藏的寶座
[00:04:57.000 --> 00:04:59.000]  半隱藏的寶座
[00:04:59.000 --> 00:05:02.000]  鮮明的寶座
[00:05:02.000 --> 00:05:04.000]  這是神的計劃的
[00:05:04.000 --> 00:05:08.000]  一步一步的成就
[00:05:08.000 --> 00:05:10.000]  當日門徒
[00:05:10.000 --> 00:05:13.000]  在寶座完全隱藏的時候
[00:05:13.000 --> 00:05:15.000]  逃跑了
[00:05:15.000 --> 00:05:17.000]  只剩下姊妹
[00:05:17.000 --> 00:05:20.000]  只剩下約翰一個男的門徒
[00:05:20.000 --> 00:05:22.000]  在十字架下
[00:05:22.000 --> 00:05:25.000]  在隱藏的寶座下
[00:05:25.000 --> 00:05:29.000]  仰望的敬拜的接受的
[00:05:29.000 --> 00:05:31.000]  何等的寶貴
[00:05:31.000 --> 00:05:33.000]  何等的難得
[00:05:33.000 --> 00:05:35.000]  進一步講
