
[00:00:00.000 --> 00:00:05.120]  今天我們說的經文是《約翰福音》第七章十四節至二十四節
[00:00:05.120 --> 00:00:10.240]  如果大家還記得在上一段經文第七章一至十三節
[00:00:10.240 --> 00:00:12.520]  耶穌的兄弟就去鼓勵耶穌
[00:00:12.520 --> 00:00:17.080]  你要很公開的大搖大擺的去耶路撒冷
[00:00:17.080 --> 00:00:18.840]  去守住盤節
[00:00:18.840 --> 00:00:20.200]  你行一個大的神蹟
[00:00:20.200 --> 00:00:23.360]  其他人就更多人去跟隨你
[00:00:23.360 --> 00:00:26.200]  接著耶穌沒有按照他們的期望去做
[00:00:26.200 --> 00:00:32.600]  耶穌反而暗暗的上了去耶路撒冷去過住盤節
[00:00:32.600 --> 00:00:34.760]  接著在十四節就開始說
[00:00:34.760 --> 00:00:36.120]  到了這個節期
[00:00:36.120 --> 00:00:40.600]  耶穌就上殿裡去教訓人
[00:00:40.600 --> 00:00:44.120]  耶穌在殿裡去教訓人是一個很公開的行動
[00:00:44.120 --> 00:00:45.400]  可能會有人問
[00:00:45.400 --> 00:00:48.640]  如果耶穌是想暗暗的去做一些事情
[00:00:48.640 --> 00:00:50.240]  低調去做一些事情的時候
[00:00:50.240 --> 00:00:53.200]  為什麼會在聖殿裡去教訓人呢?
[00:00:53.200 --> 00:00:58.320]  其實在這裡我們都要清楚知道一個基礎的方向
[00:00:58.320 --> 00:01:03.520]  就是耶穌行事為人不是低調或者隱密性的
[00:01:03.520 --> 00:01:04.320]  不是
[00:01:04.320 --> 00:01:06.800]  而是根據上帝的吩咐
[00:01:06.800 --> 00:01:09.600]  上帝叫他做低調的他就低調
[00:01:09.600 --> 00:01:11.640]  上帝叫他高調的他就高調
[00:01:11.640 --> 00:01:16.760]  所以耶穌的一生就是順服上帝的吩咐而行
[00:01:16.760 --> 00:01:19.360]  在之前如果他大搖大擺
[00:01:19.360 --> 00:01:21.600]  去到耶路撒冷
[00:01:21.600 --> 00:01:24.600]  可能有很多人一開始就說
[00:01:24.600 --> 00:01:27.840]  耶穌啊你快點做我們的政治領袖
[00:01:27.840 --> 00:01:32.640]  帶領我們舉行一個轟轟烈烈的革命
[00:01:32.640 --> 00:01:36.880]  在那個時候耶穌不適宜用這樣的方式進入耶路撒冷
[00:01:36.880 --> 00:01:41.680]  所以他在那個時候就沒有用這個方式
[00:01:41.680 --> 00:01:47.400]  在這裡繼續的帶出了耶穌的行事為人
[00:01:47.400 --> 00:01:50.120]  都是根據上帝的吩咐而行
[00:01:50.120 --> 00:01:52.720]  接著在第十五節那裡這麼說
[00:01:52.720 --> 00:01:54.320]  猶太人就稀奇說
[00:01:54.320 --> 00:01:57.600]  這個人沒有學過枕茗白書呢
[00:01:57.600 --> 00:01:59.680]  耶穌在聖殿裡面教訓人之後
[00:01:59.680 --> 00:02:01.520]  接著那些人有什麼反應呢
[00:02:01.520 --> 00:02:05.520]  反應就是這個人有沒有進過文士學校
[00:02:05.520 --> 00:02:07.120]  有沒有什麼背景
[00:02:07.120 --> 00:02:08.440]  有沒有什麼學歷
[00:02:08.440 --> 00:02:11.520]  為什麼這麼能夠去教導聖經
[00:02:11.520 --> 00:02:15.120]  這麼生動的去表達上帝的真理呢
[00:02:15.120 --> 00:02:18.920]  在《馬太福音》第七章二十八至二十九節
[00:02:18.920 --> 00:02:22.320]  那裡也記載了當時耶穌在加里里的地方
[00:02:22.320 --> 00:02:26.800]  當時加里里的群眾同樣有一個差不多的反應
[00:02:26.800 --> 00:02:29.000]  反應是什麼呢
[00:02:29.000 --> 00:02:32.000]  加里里的群眾稀奇他的教訓
[00:02:32.000 --> 00:02:34.000]  因為他教訓他們
[00:02:34.000 --> 00:02:38.000]  正像有權柄的人不像他們的文士
[00:02:38.000 --> 00:02:41.600]  在這裡加里里的群眾就說
[00:02:41.600 --> 00:02:43.600]  為什麼耶穌的教導這麼不同呢
[00:02:43.600 --> 00:02:45.920]  他好像有權柄的帶出來
[00:02:45.920 --> 00:02:48.920]  跟我們的文士教導我們不同
[00:02:48.920 --> 00:02:51.720]  而耶路撒冷在這裡的猶太人
[00:02:51.720 --> 00:02:55.520]  同樣對耶穌的教導感到一個稀奇
[00:02:55.520 --> 00:03:00.920]  就好像加里里的群眾的表達一樣
[00:03:00.920 --> 00:03:05.920]  也許約翰也在很潛在地去關注
[00:03:05.920 --> 00:03:09.120]  其實他們也是關注耶穌這個權柄
[00:03:09.120 --> 00:03:13.520]  不過在《馬太福音》第七章的表達
[00:03:13.520 --> 00:03:16.520]  和在這裡的表達是有一點不同
[00:03:16.520 --> 00:03:18.720]  在《馬太福音》第七章
[00:03:18.720 --> 00:03:21.720]  加里里的群眾是將耶穌的教導
[00:03:21.720 --> 00:03:25.720]  和當時的文士的教導成一個對比
[00:03:25.720 --> 00:03:28.520]  當時文士的教導是怎樣的呢
[00:03:28.520 --> 00:03:31.520]  通常他們都要進去文士訓練學校
[00:03:31.520 --> 00:03:34.120]  然後訓練一段長的時期
[00:03:34.120 --> 00:03:37.920]  如果你跟過哪個有名的拉比學習就更加好
[00:03:37.920 --> 00:03:41.120]  因為我是某某知名的老師的門下
[00:03:41.120 --> 00:03:43.520]  你的地位就會更加提高
[00:03:43.520 --> 00:03:48.720]  而且他們的教導是會引用很長的傳統
[00:03:48.720 --> 00:03:51.120]  就是說在之前哪個偉人說過
[00:03:51.120 --> 00:03:53.320]  哪個有名的老師說過
[00:03:53.320 --> 00:03:57.320]  來印證自己的權威性
[00:03:57.320 --> 00:04:00.120]  但是在這裡耶穌的教導就不是這樣的
[00:04:00.120 --> 00:04:03.520]  耶穌的教導就是指示我告訴你們
[00:04:03.520 --> 00:04:06.520]  我實實在在的告訴你們
[00:04:06.520 --> 00:04:08.120]  在這裡耶穌的表達
[00:04:08.120 --> 00:04:10.920]  和一班文士的表達是相當的不同
[00:04:10.920 --> 00:04:14.920]  而且在這裡一班的猶太人
[00:04:14.920 --> 00:04:17.720]  是將他們的驚訝是連於
[00:04:17.720 --> 00:04:22.720]  耶穌是沒有任何的背景
[00:04:22.720 --> 00:04:24.520]  沒有任何的學歷
[00:04:24.520 --> 00:04:29.320]  為什麼他可以這麼能夠去表達教導聖經呢
[00:04:29.320 --> 00:04:31.720]  接著耶穌怎樣回應呢
[00:04:31.720 --> 00:04:35.520]  在第十六和十八節耶穌這樣說
[00:04:35.520 --> 00:04:38.120]  耶穌說我的教訓不是我自己的
[00:04:38.120 --> 00:04:40.120]  乃是那差我來者的
[00:04:40.120 --> 00:04:43.120]  人若立志遵著他的旨意行
[00:04:43.120 --> 00:04:44.920]  就必曉得這教訓
[00:04:44.920 --> 00:04:46.120]  或是出於神
[00:04:46.120 --> 00:04:48.320]  又或是我憑自己說的
[00:04:48.320 --> 00:04:51.920]  人憑著自己說是求自己的榮耀
[00:04:51.920 --> 00:04:54.920]  唯有求那差他來者的榮耀
[00:04:54.920 --> 00:04:56.520]  這人是真的
[00:04:56.520 --> 00:04:59.320]  在他心裡沒有不二
[00:04:59.320 --> 00:05:04.520]  在文士當時的教導的傳統
[00:05:04.520 --> 00:05:07.520]  就是他們會用很多的
[00:05:07.520 --> 00:05:12.520]  過去的權威去印證自己的說法
[00:05:12.520 --> 00:05:13.720]  如果你不這樣做
[00:05:13.720 --> 00:05:16.520]  其實你是一個傲慢的人
[00:05:16.520 --> 00:05:18.320]  在當時的人去看
[00:05:18.320 --> 00:05:21.520]  耶穌在這裡堅稱一件事
[00:05:21.520 --> 00:05:23.720]  他不是一個有創意的人
[00:05:23.720 --> 00:05:25.720]  他也不是一個傲慢的人
[00:05:25.720 --> 00:05:28.320]  耶穌說我的教訓不是我自己的
[00:05:28.320 --> 00:05:30.320]  不是來自於我自己的
[00:05:30.320 --> 00:05:33.920]  在當時一班的文士
[00:05:33.920 --> 00:05:37.520]  他們是基於一個漫長的人間傳統
[00:05:37.520 --> 00:05:39.120]  去作一個教導
[00:05:39.120 --> 00:05:40.120]  但耶穌說
[00:05:40.120 --> 00:05:42.520]  我的教導不是來自傳統
[00:05:42.520 --> 00:05:44.120]  但也不是我自己的
[00:05:44.120 --> 00:05:45.320]  是來自什麼呢
[00:05:45.320 --> 00:05:49.320]  是來自那一個差我來的天賦
[00:05:49.320 --> 00:05:51.120]  我差我來的天賦
[00:05:51.120 --> 00:05:53.120]  要我說什麼我就說什麼
[00:05:53.120 --> 00:05:56.920]  這是耶穌所表達的一個很重要的方向
[00:05:56.920 --> 00:06:00.120]  接著耶穌還說了一個方向
