
[00:00:00.000 --> 00:00:03.320]  在今天教會都會透過不同的方式
[00:00:03.320 --> 00:00:05.800]  鼓勵頂展會將福音傳開
[00:00:05.800 --> 00:00:08.040]  就好像今天我們有五張單張
[00:00:08.040 --> 00:00:11.680]  就是大家完結之後去派單張
[00:00:11.680 --> 00:00:15.960]  其實我們在這個社會裏面
[00:00:15.960 --> 00:00:17.360]  在這個環境裏面
[00:00:17.360 --> 00:00:19.680]  其實我們都是很安全
[00:00:19.680 --> 00:00:21.960]  很安全的情況之下
[00:00:21.960 --> 00:00:26.280]  去將福音一步一步地傳開
[00:00:26.280 --> 00:00:28.440]  但是在耶穌那個年代
[00:00:28.440 --> 00:00:29.880]  耶穌很清楚知道
[00:00:29.880 --> 00:00:32.480]  祂差派一班門徒出去
[00:00:32.480 --> 00:00:35.160]  他們所面對的那個處境
[00:00:35.160 --> 00:00:37.400]  不是一個容易的處境
[00:00:37.400 --> 00:00:39.000]  他們出去
[00:00:39.000 --> 00:00:41.400]  他們面對很多的挑戰、很多的困難
[00:00:41.400 --> 00:00:43.040]  有很多人的迫害
[00:00:43.040 --> 00:00:45.200]  所以耶穌在這裏就去說
[00:00:45.200 --> 00:00:46.720]  你們出去的時候
[00:00:46.720 --> 00:00:50.120]  應該怎樣好好預備自己
[00:00:50.120 --> 00:00:53.880]  去為上帝的緣故去傳講這個真理
[00:00:53.880 --> 00:00:55.960]  耶穌在這裏說
[00:00:55.960 --> 00:00:59.640]  好像將羊送入狼群當中
[00:00:59.640 --> 00:01:04.280]  就好像差一班人進入一個危險的境地裏面
[00:01:04.280 --> 00:01:05.640]  所以耶穌第一步就去說
[00:01:05.640 --> 00:01:07.800]  你們要靈巧像蛇
[00:01:07.800 --> 00:01:09.720]  純良像甲子
[00:01:09.720 --> 00:01:12.800]  因為要面對很多種種的困難和挑戰都不同
[00:01:12.800 --> 00:01:15.520]  所以應該有一個靈巧像蛇
[00:01:15.520 --> 00:01:17.120]  就是說很靈巧的
[00:01:17.120 --> 00:01:18.440]  很懂得轉變
[00:01:18.440 --> 00:01:20.840]  知道在什麼情況裏面做什麼事的
[00:01:20.840 --> 00:01:23.240]  一個這樣的能力
[00:01:23.240 --> 00:01:24.920]  也都在心態上面
[00:01:24.920 --> 00:01:26.200]  純良像甲子
[00:01:26.200 --> 00:01:28.640]  也都要存一個單純的信心
[00:01:28.640 --> 00:01:31.240]  怎樣無論在任何困難裏面
[00:01:31.240 --> 00:01:32.600]  只是想一件事
[00:01:32.600 --> 00:01:34.800]  就是怎樣在困難當中
[00:01:34.800 --> 00:01:38.520]  仍然去將福音傳開
[00:01:38.520 --> 00:01:41.920]  接著耶穌就在這裏去
[00:01:41.920 --> 00:01:44.640]  預備跟他們去說
[00:01:44.640 --> 00:01:46.440]  在這個迫迫的裏面
[00:01:46.440 --> 00:01:48.640]  他們應該怎樣去應付呢
[00:01:48.640 --> 00:01:50.040]  接著耶穌說
[00:01:50.040 --> 00:01:52.480]  如果他們在公會上面受審的時候
[00:01:52.480 --> 00:01:53.200]  即是被審問
[00:01:53.200 --> 00:01:54.400]  應該怎樣呢
[00:01:54.400 --> 00:01:55.840]  在這裏耶穌說了
[00:01:55.840 --> 00:01:57.720]  將來會有什麼人
[00:01:57.720 --> 00:01:58.920]  去抵擋他們
[00:01:58.920 --> 00:02:00.880]  耶穌說了很多人在這裏
[00:02:00.880 --> 00:02:01.520]  耶穌在這裏說
[00:02:01.520 --> 00:02:04.360]  你要在猶太人、諸侯、君王
[00:02:04.360 --> 00:02:07.600]  和外邦人的面前作見證
[00:02:07.600 --> 00:02:08.760]  另一個說話去說
[00:02:08.760 --> 00:02:11.480]  就是說猶太人會迫害你們
[00:02:11.480 --> 00:02:12.760]  君王、諸侯
[00:02:12.760 --> 00:02:16.400]  就是一些政治上的壓力會迫害你們
[00:02:16.400 --> 00:02:17.560]  外邦人
[00:02:17.560 --> 00:02:19.280]  即是那些人都會迫害你們
[00:02:19.280 --> 00:02:20.880]  還有耶穌說
[00:02:20.880 --> 00:02:22.280]  家裏面的人
[00:02:22.280 --> 00:02:25.840]  你的家人同樣都會迫害你們
[00:02:25.840 --> 00:02:27.680]  接著耶穌在這裏說
[00:02:27.680 --> 00:02:30.200]  在這麼多的迫害困難裏面
[00:02:30.200 --> 00:02:31.200]  應該怎樣呢
[00:02:31.200 --> 00:02:32.240]  耶穌第一個說話
[00:02:32.240 --> 00:02:33.640]  不用怕
[00:02:33.640 --> 00:02:34.960]  不要懼怕
[00:02:34.960 --> 00:02:35.840]  原因是什麼呢
[00:02:35.840 --> 00:02:38.960]  因為父的靈與你同在
[00:02:38.960 --> 00:02:44.320]  耶穌會與你同在請救你們
[00:02:44.320 --> 00:02:46.720]  上帝的靈也在這個時間裏面
[00:02:46.720 --> 00:02:47.840]  去幫助你們
[00:02:47.840 --> 00:02:48.680]  扶持你們
[00:02:48.680 --> 00:02:52.880]  讓你們得到所需要的幫助
[00:02:52.880 --> 00:02:56.840]  在這裏可以這樣說
[00:02:56.840 --> 00:02:57.640]  耶穌在這裏說
[00:02:57.640 --> 00:02:59.400]  如果你們堅持
[00:02:59.400 --> 00:03:01.400]  即是到底在困難當中
[00:03:01.400 --> 00:03:03.240]  持守信仰的話
[00:03:03.240 --> 00:03:06.400]  祂會請救一班門徒到底
[00:03:06.400 --> 00:03:10.400]  這個請救不是指一定會將困難挪開
[00:03:10.400 --> 00:03:12.000]  困難仍然在這裏
[00:03:12.000 --> 00:03:12.960]  耶穌就是說
[00:03:12.960 --> 00:03:14.680]  無論在什麼情況裏面
[00:03:14.680 --> 00:03:16.200]  我與你同在
[00:03:16.200 --> 00:03:19.600]  父上帝也與你同在
[00:03:19.600 --> 00:03:21.520]  去讓你們有足夠的能力
[00:03:21.520 --> 00:03:23.920]  去面對各樣的挑戰
[00:03:23.920 --> 00:03:26.040]  和各樣的困難
[00:03:26.040 --> 00:03:27.400]  接著耶穌說了
[00:03:27.400 --> 00:03:31.800]  當你們去逃避一些人的迫害的時候
[00:03:31.800 --> 00:03:33.840]  你們以色列的地方還沒有到
[00:03:33.840 --> 00:03:35.520]  人子就到了
[00:03:35.520 --> 00:03:37.400]  即是你還沒有走完以色列的地方
[00:03:37.400 --> 00:03:39.520]  人子就到了
[00:03:39.520 --> 00:03:41.040]  這一句經文
[00:03:41.040 --> 00:03:44.520]  23節也帶來很多人的不同討論
[00:03:44.520 --> 00:03:46.320]  就是為什麼人子就到了
[00:03:46.320 --> 00:03:47.600]  是什麼意思呢
[00:03:47.600 --> 00:03:49.520]  是不是耶穌第二次再來呢
[00:03:49.520 --> 00:03:50.200]  又不是
[00:03:50.200 --> 00:03:52.400]  即是以色列的地方還沒有走完
[00:03:52.400 --> 00:03:53.760]  即是走完了
[00:03:53.760 --> 00:03:55.320]  耶穌還沒有再回來
[00:03:55.320 --> 00:03:58.680]  究竟耶穌說的這個意思是什麼呢
[00:03:58.680 --> 00:03:59.680]  人子的降臨
[00:03:59.680 --> 00:04:03.320]  其實與天國的降臨是同一件事
[00:04:03.320 --> 00:04:05.080]  耶穌降生
[00:04:05.080 --> 00:04:06.320]  天國開始了
[00:04:06.320 --> 00:04:07.040]  耶穌就傳
[00:04:07.040 --> 00:04:09.480]  天國來臨了
[00:04:09.480 --> 00:04:11.040]  你們應當悔改
[00:04:11.040 --> 00:04:13.160]  順服任
[00:04:13.160 --> 00:04:14.640]  當耶穌降生
[00:04:14.640 --> 00:04:16.040]  在地上
[00:04:16.040 --> 00:04:18.200]  天國某程度已經開始了
[00:04:18.200 --> 00:04:21.840]  到人類的末日
[00:04:21.840 --> 00:04:24.000]  人類的歷史是會完結
[00:04:24.000 --> 00:04:25.480]  每日的那一天
[00:04:25.480 --> 00:04:28.800]  整個過程裏面都是天國的彰顯
[00:04:28.800 --> 00:04:30.080]  在過程裏面
[00:04:30.080 --> 00:04:32.400]  上帝會有他不同的工作
[00:04:32.400 --> 00:04:35.000]  其實上帝也不斷施行
[00:04:35.000 --> 00:04:38.640]  他的審判在期間裏面
[00:04:38.640 --> 00:04:41.960]  在主后大約六十多年的時間
[00:04:41.960 --> 00:04:44.680]  當時的聖殿被毀
[00:04:44.680 --> 00:04:47.480]  聖殿是當時一群猶太人
[00:04:47.480 --> 00:04:49.400]  去敬拜上帝的地方
[00:04:49.400 --> 00:04:51.160]  但是聖殿被毀了
[00:04:51.800 --> 00:04:54.440]  已經是對猶太人來說
[00:04:54.440 --> 00:04:55.840]  相當的懲罰
[00:04:55.840 --> 00:04:57.600]  所以耶穌可能是說
[00:04:57.600 --> 00:04:59.680]  這一件事
[00:04:59.680 --> 00:05:00.880]  在過程裏面
[00:05:00.880 --> 00:05:03.480]  上帝也藉著不同的方式
[00:05:03.480 --> 00:05:04.400]  藉著不同的審判
[00:05:04.400 --> 00:05:06.080]  臨到一群猶太人
[00:05:06.080 --> 00:05:09.600]  讓他們有回轉的機會
[00:05:09.600 --> 00:05:11.200]  在這裏
[00:05:11.200 --> 00:05:15.840]  一群門徒
[00:05:15.840 --> 00:05:19.560]  他們持著信心
[00:05:19.560 --> 00:05:22.160]  繼續去跟從耶穌的時候
[00:05:22.160 --> 00:05:25.280]  他們面對這麼多人的迫害和挑戰
[00:05:25.280 --> 00:05:28.920]  但是耶穌繼續跟他們說一句很重要的話
[00:05:28.920 --> 00:05:29.840]  就是說
[00:05:29.840 --> 00:05:32.760]  當耶穌去行很多的神蹟
[00:05:32.760 --> 00:05:35.600]  行很多的醫治的大能
[00:05:35.600 --> 00:05:37.840]  祂是藉著這些醫病的神蹟
[00:05:37.840 --> 00:05:39.360]  去告訴人知道
[00:05:39.360 --> 00:05:41.120]  上帝的國度來到了
[00:05:41.120 --> 00:05:43.520]  但是當時大部分的人怎樣說呢?
[00:05:43.520 --> 00:05:44.320]  就是說
[00:05:44.320 --> 00:05:46.560]  你真的靠著鬼王別西卜
[00:05:46.560 --> 00:05:47.840]  就是趕鬼
[00:05:47.840 --> 00:05:50.680]  你真的靠著撒旦的力量
[00:05:50.680 --> 00:05:55.600]  去做這些超自然的一些事情
[00:05:55.600 --> 00:05:57.080]  耶穌在說
[00:05:57.080 --> 00:05:58.080]  當我來到的時候
[00:05:58.080 --> 00:05:59.920]  這一群人都是這樣對我
[00:05:59.920 --> 00:06:01.640]  而跟從我的人
[00:06:01.640 --> 00:06:04.040]  你不要以為可以人對你
[00:06:04.040 --> 00:06:06.520]  有一個好的對待
[00:06:06.520 --> 00:06:08.640]  那些人怎樣去抵擋我
