
[00:00:00.000 --> 00:00:05.000]  想起愛,大家可能經常乘搭地鐵
[00:00:05.000 --> 00:00:09.000]  或公共交通工具,會看到這些標誌
[00:00:09.000 --> 00:00:12.000]  這些標誌經常令我想起一件事
[00:00:12.000 --> 00:00:18.000]  如果一般情況下沒有人坐,其實我們每個人都可以坐
[00:00:18.000 --> 00:00:24.000]  但當你看到有需要的人,包括老人家、孕婦、傷殘
[00:00:24.000 --> 00:00:29.000]  或是帶著嬰兒的,你會看到他們很仰坐
[00:00:29.000 --> 00:00:33.000]  這些除了叫優先座,也叫關愛座
[00:00:33.000 --> 00:00:37.000]  當你讓出位置的時候,其實都是表達一份愛
[00:00:37.000 --> 00:00:41.000]  你願意跟別人分享你暫時所擁有的
[00:00:41.000 --> 00:00:44.000]  以至對方得益處
[00:00:44.000 --> 00:00:49.000]  作為我們一個屬靈群體,作為信徒
[00:00:49.000 --> 00:00:55.000]  我們都可以在這個世代表達出我們的關愛
[00:00:55.000 --> 00:00:58.000]  這份關愛是什麼愛?是怎樣的?
[00:00:58.000 --> 00:01:02.000]  我們又怎樣實踐?
[00:01:02.000 --> 00:01:06.000]  今天這段經文是讓我們盡心思考
[00:01:06.000 --> 00:01:09.000]  司徒若翰給我們的訊息
[00:01:09.000 --> 00:01:12.000]  我們一起同心祈禱
[00:01:13.000 --> 00:01:19.000]  天父在章林奇那裡,我們又感起一節很寶貴熟悉的經文
[00:01:20.000 --> 00:01:26.000]  人子來不是受人的服侍,乃是服侍人,並且捨己,作多人的贖價
[00:01:27.000 --> 00:01:31.000]  至高至尊至榮的耶穌基督
[00:01:31.000 --> 00:01:35.000]  祢來到世上,為我們捨己
[00:01:35.000 --> 00:01:38.000]  也為我們成就了一切
[00:01:38.000 --> 00:01:43.000]  好叫我們在耶穌基督裡得到的一切從天,屬靈的福氣
[00:01:43.000 --> 00:01:46.000]  我們只是驚訝和感恩
[00:01:46.000 --> 00:01:49.000]  就在今天,我們來到你的庚前的時候
[00:01:49.000 --> 00:01:53.000]  我們又祈求親愛的聖靈幫助我們明白到
[00:01:53.000 --> 00:01:58.000]  在章林奇當中,我們怎樣能夠活出上主的愛
[00:01:58.000 --> 00:02:03.000]  也藉著這份愛,怎樣去吸引萬人歸向主的自己
