
[00:00:00.000 --> 00:00:03.000]  能夠在北宣家再一次跟大家一起敬拜
[00:00:03.000 --> 00:00:06.000]  一起仰望我們的神
[00:00:06.000 --> 00:00:08.000]  和一起閱讀神的話語
[00:00:08.000 --> 00:00:10.000]  是一個很大的福分
[00:00:10.000 --> 00:00:14.000]  希望大家都覺得這是一個很大的福分
[00:00:14.000 --> 00:00:17.000]  在上星期我有機會和一些
[00:00:17.000 --> 00:00:20.000]  在美國來的弟兄姊妹
[00:00:20.000 --> 00:00:23.000]  基督徒聊天
[00:00:23.000 --> 00:00:27.000]  他們說到現在在美國的教會
[00:00:27.000 --> 00:00:30.000]  或者華人教會都很前衛
[00:00:30.000 --> 00:00:32.000]  是很高科技的
[00:00:32.000 --> 00:00:34.000]  有些叫做Live Stream
[00:00:34.000 --> 00:00:35.000]  你聽過沒有
[00:00:35.000 --> 00:00:37.000]  就是直播
[00:00:37.000 --> 00:00:39.000]  直播崇拜
[00:00:39.000 --> 00:00:40.000]  很厲害
[00:00:40.000 --> 00:00:46.000]  早上星期日有三堂的聚會
[00:00:46.000 --> 00:00:49.000]  他就即時轉播
[00:00:49.000 --> 00:00:51.000]  現在的科技很好
[00:00:51.000 --> 00:00:53.000]  在家裡拿一個iPad
[00:00:53.000 --> 00:00:54.000]  對著
[00:00:54.000 --> 00:00:56.000]  一邊吃早餐一邊崇拜
[00:00:56.000 --> 00:00:58.000]  一邊吃東西
[00:00:58.000 --> 00:01:00.000]  唱詩
[00:01:00.000 --> 00:01:02.000]  喜歡就加兩句去和
[00:01:02.000 --> 00:01:04.000]  很爽
[00:01:04.000 --> 00:01:06.000]  又照麵包
[00:01:06.000 --> 00:01:07.000]  又可以聽一道
[00:01:07.000 --> 00:01:09.000]  那位牧師講得很好
[00:01:09.000 --> 00:01:11.000]  原來那位牧師出名講得好
[00:01:11.000 --> 00:01:12.000]  解經講得好
[00:01:12.000 --> 00:01:13.000]  真是很好
[00:01:13.000 --> 00:01:15.000]  即時就傳了
[00:01:15.000 --> 00:01:18.000]  萬幾二萬會有
[00:01:18.000 --> 00:01:21.000]  大家誰喜歡在家裡都可以來看著
[00:01:21.000 --> 00:01:23.000]  一邊崇拜一邊聽
[00:01:23.000 --> 00:01:25.000]  因為不用去那麼遠
[00:01:25.000 --> 00:01:26.000]  不用那麼辛苦
[00:01:26.000 --> 00:01:28.000]  八點鐘來到又下雨
[00:01:28.000 --> 00:01:33.000]  一邊聽覺得有點不妥
[00:01:33.000 --> 00:01:36.000]  如果這樣就是一個教會
[00:01:36.000 --> 00:01:37.000]  那用不著來
[00:01:37.000 --> 00:01:41.000]  慢慢地大家都挺好辦法
[00:01:41.000 --> 00:01:44.000]  省了多少錢不用見堂
[00:01:44.000 --> 00:01:48.000]  一人訂一隻家就搞定
[00:01:48.000 --> 00:01:51.000]  但是否這樣就是一個教會
[00:01:51.000 --> 00:01:56.000]  是否這樣就是一個崇拜呢
[00:01:56.000 --> 00:02:01.000]  今天是我們的團契和小組主人
[00:02:01.000 --> 00:02:03.000]  和大家一起思想
[00:02:03.000 --> 00:02:07.000]  為何我要回來大堂一起面對面崇拜
[00:02:07.000 --> 00:02:09.000]  尤其是我們北宣家
[00:02:09.000 --> 00:02:11.000]  有些堂早上要來都要排隊
[00:02:11.000 --> 00:02:13.000]  日曬雨淋
[00:02:13.000 --> 00:02:15.000]  那麼辛苦都要來
[00:02:15.000 --> 00:02:17.000]  是否必須要呢
[00:02:17.000 --> 00:02:21.000]  如果你說崇拜像剛才那樣就行
[00:02:21.000 --> 00:02:23.000]  你會發覺很奇怪
[00:02:23.000 --> 00:02:26.000]  聖經裡面又不是這樣看
[00:02:26.000 --> 00:02:28.000]  聖經說道
[00:02:28.000 --> 00:02:32.000]  教會是耶穌基督的身體
[00:02:32.000 --> 00:02:36.000]  這個身體不單是大家聚在一起的人
[00:02:36.000 --> 00:02:38.000]  這個身體是互相聯絡
[00:02:38.000 --> 00:02:42.000]  互相好像有一個有生命的活動
[00:02:42.000 --> 00:02:46.000]  有人有手有人有眼有人有腳
[00:02:46.000 --> 00:02:48.000]  一個活的身體
[00:02:48.000 --> 00:02:49.000]  耶穌基督是頭
[00:02:49.000 --> 00:02:53.000]  但是我們全部都是作為耶穌基督的支弟
[00:02:53.000 --> 00:02:56.000]  這個形容很明顯是說道
[00:02:56.000 --> 00:02:58.000]  教會是一群人
[00:02:58.000 --> 00:03:00.000]  不單是一群人走過來聚會
[00:03:00.000 --> 00:03:04.000]  而且一群人走過來有一個很深刻的連結
[00:03:04.000 --> 00:03:08.000]  所以今早我想用剛才我們所讀的那段聖經
[00:03:08.000 --> 00:03:14.000]  保羅在菲律賓書開始的時候
[00:03:14.000 --> 00:03:18.000]  向菲律賓的教會所說的一段說話
[00:03:18.000 --> 00:03:21.000]  如果你有聖經的話請你跟我一起打開
[00:03:21.000 --> 00:03:25.000]  新約的菲律賓書的第一章
[00:03:25.000 --> 00:03:29.000]  我們看到保羅第一節到第十一節
[00:03:29.000 --> 00:03:30.000]  就是說道
[00:03:30.000 --> 00:03:35.000]  保羅在開始和菲律賓的教會的弟子妹
[00:03:35.000 --> 00:03:40.000]  說他心裡面想說的話和信仰的鼓勵之前
[00:03:40.000 --> 00:03:46.000]  他和弟子妹所說的一段說話
[00:03:46.000 --> 00:03:48.000]  在這裡我們發覺保羅
[00:03:48.000 --> 00:03:50.000]  我給了一個題目
[00:03:50.000 --> 00:03:53.000]  保羅的團契心
[00:03:53.000 --> 00:03:56.000]  第十二節開始保羅就說道他自己
[00:03:56.000 --> 00:03:58.000]  所面對的問題
[00:03:58.000 --> 00:04:00.000]  因為大家如果稍微知道一下這段聖經
[00:04:00.000 --> 00:04:02.000]  和這本書
[00:04:02.000 --> 00:04:05.000]  菲律賓書是保羅坐牢的時候寫的
[00:04:05.000 --> 00:04:07.000]  保羅坐牢的時候
[00:04:07.000 --> 00:04:11.000]  菲律賓地方的教會派了一些弟兄姐妹
[00:04:11.000 --> 00:04:13.000]  特別來探望他
[00:04:13.000 --> 00:04:17.000]  當時和現在探監不同
[00:04:17.000 --> 00:04:19.000]  在羅馬帝國的時候
[00:04:19.000 --> 00:04:22.000]  你坐牢有沒有這麼容易
[00:04:22.000 --> 00:04:25.000]  或者你探監的時候會不會引起你的麻煩
[00:04:25.000 --> 00:04:26.000]  肯定會多過今天
[00:04:26.000 --> 00:04:27.000]  那就沒事的
[00:04:27.000 --> 00:04:29.000]  再登記給你去探就探
[00:04:29.000 --> 00:04:32.000]  但那時候他們是老遠的
[00:04:32.000 --> 00:04:35.000]  你知道菲律賓在希臘那個地方
[00:04:35.000 --> 00:04:38.000]  老遠的走去
[00:04:38.000 --> 00:04:42.000]  有些弟兄姐妹走到羅馬去探望保羅
[00:04:42.000 --> 00:04:44.000]  看這位老人家
[00:04:44.000 --> 00:04:47.000]  神的僕人他坐牢為主的緣故
[00:04:47.000 --> 00:04:50.000]  怎樣的情況有什麼需要
[00:04:50.000 --> 00:04:52.000]  保羅很感動
[00:04:52.000 --> 00:04:54.000]  就在這個時候他就寫
[00:04:54.000 --> 00:04:56.000]  不如我寫一封信
[00:04:56.000 --> 00:04:58.000]  請你帶回去告訴那些
[00:04:58.000 --> 00:05:00.000]  團契的弟兄姐妹聽
[00:05:00.000 --> 00:05:04.000]  看他們知道我的需要和我的心事是怎樣
