
[00:00:00.000 --> 00:00:08.000]  路加福音第十二章我們由35節到48節
[00:00:08.000 --> 00:00:10.000]  這段聖經剛才讀的時候
[00:00:10.000 --> 00:00:12.000]  我相信各位姐妹都會留意到
[00:00:12.000 --> 00:00:15.000]  是主耶穌用比喻來說
[00:00:15.000 --> 00:00:18.000]  當祂回來的時候
[00:00:18.000 --> 00:00:23.000]  究竟我們用什麼態度去等待祂回來
[00:00:23.000 --> 00:00:25.000]  如果你剛才有留心的話
[00:00:25.000 --> 00:00:28.000]  其實這裡主耶穌是用三個比喻
[00:00:28.000 --> 00:00:33.000]  這裡有三個比喻我們一起研究一下
[00:00:33.000 --> 00:00:36.000]  大家都很清楚主耶穌這段聖經裡面
[00:00:36.000 --> 00:00:39.000]  特別強調就是說
[00:00:39.000 --> 00:00:42.000]  你不知道我什麼時候會回來
[00:00:42.000 --> 00:00:44.000]  或者有時候好像賊一樣
[00:00:44.000 --> 00:00:47.000]  你以為我回來的時候我又沒回來
[00:00:47.000 --> 00:00:49.000]  你又以為我沒回來的時候
[00:00:49.000 --> 00:00:51.000]  在半夜我就回來了
[00:00:51.000 --> 00:00:53.000]  所以你們要警醒
[00:00:53.000 --> 00:00:55.000]  我相信這個信息很多弟兄姐妹
[00:00:55.000 --> 00:00:58.000]  都記得和明白
[00:00:58.000 --> 00:01:00.000]  但什麼叫警醒呢?
[00:01:00.000 --> 00:01:03.000]  為什麼我們要警醒呢?
[00:01:03.000 --> 00:01:06.000]  其實這個都是人之常情
[00:01:06.000 --> 00:01:09.000]  可能會犯的錯誤
[00:01:09.000 --> 00:01:12.000]  因為主耶穌不在
[00:01:12.000 --> 00:01:14.000]  見不到祂
[00:01:14.000 --> 00:01:18.000]  就很容易慢慢遺忘了祂
[00:01:18.000 --> 00:01:21.000]  被其他的事情取代了祂
[00:01:21.000 --> 00:01:22.000]  充塞了祂
[00:01:22.000 --> 00:01:25.000]  這個是很容易都會犯的
[00:01:25.000 --> 00:01:27.000]  我們都會很容易這樣做
[00:01:27.000 --> 00:01:30.000]  英文有個說法叫out of sight
[00:01:30.000 --> 00:01:32.000]  out of mind
[00:01:32.000 --> 00:01:35.000]  就是說你見不到那個人的時候
[00:01:35.000 --> 00:01:38.000]  你慢慢就會忘記了他
[00:01:38.000 --> 00:01:42.000]  因為這個是一個不斷每日生活裡面
[00:01:42.000 --> 00:01:45.000]  去搶奪我們的關注的一個世界
[00:01:45.000 --> 00:01:46.000]  有時候你的子女
[00:01:46.000 --> 00:01:48.000]  有時候你的工作
[00:01:48.000 --> 00:01:50.000]  甚至有時候教會的活動
[00:01:50.000 --> 00:01:52.000]  全部這些東西
