
[00:00:00.000 --> 00:00:02.000]  大家知道在今天開始
[00:00:02.000 --> 00:00:04.000]  有一個新的季度的主題
[00:00:04.000 --> 00:00:06.000]  我們提思想聖經有關
[00:00:06.000 --> 00:00:10.000]  等候、休息、等候主的訊息
[00:00:10.000 --> 00:00:14.000]  我們都知道其實休息是真的很重要的
[00:00:14.000 --> 00:00:16.000]  有些朋友休息不了
[00:00:16.000 --> 00:00:19.000]  甚至晚上可能連續幾晚不能入睡
[00:00:19.000 --> 00:00:21.000]  不能夠睡得著
[00:00:21.000 --> 00:00:22.000]  在這樣的情況下
[00:00:22.000 --> 00:00:24.000]  你就會覺得那個情形很危險
[00:00:24.000 --> 00:00:26.000]  一個人如果幾晚睡不著
[00:00:26.000 --> 00:00:28.000]  可能精神都會有崩潰的情形
[00:00:28.000 --> 00:00:30.000]  我們知道我們需要休息
[00:00:30.000 --> 00:00:32.000]  但同時我們的靈魂
[00:00:32.000 --> 00:00:34.000]  我們的心靈都需要休息
[00:00:34.000 --> 00:00:36.000]  因此我們需要留心
[00:00:36.000 --> 00:00:38.000]  如何讓自己的心靈有機會休息
[00:00:38.000 --> 00:00:42.000]  免至我們出現一些什麼心靈的問題
[00:00:42.000 --> 00:00:44.000]  曾經都講過很多次
[00:00:44.000 --> 00:00:45.000]  我們要侍奉神
[00:00:45.000 --> 00:00:46.000]  我們要服侍他
[00:00:46.000 --> 00:00:48.000]  有很多使命交託給我們
[00:00:48.000 --> 00:00:52.000]  但同時曾經常常強調要等候主
[00:00:52.000 --> 00:00:55.000]  等候主是一個很重要的聖經主題
[00:00:55.000 --> 00:00:58.000]  提醒我們要去等候
[00:00:58.000 --> 00:01:00.000]  因此休息等候
[00:01:00.000 --> 00:01:03.000]  不是一些被動不做事的意思
[00:01:03.000 --> 00:01:05.000]  而是在休息等候當中
[00:01:05.000 --> 00:01:08.000]  更加明白神的心意
[00:01:08.000 --> 00:01:11.000]  更加讓祂來掌權
[00:01:11.000 --> 00:01:13.000]  更加讓祂的能力
[00:01:13.000 --> 00:01:16.000]  在我們當中介入、出現
[00:01:16.000 --> 00:01:19.000]  所以曾經提到這方面的真理的時候
[00:01:19.000 --> 00:01:21.000]  很需要我們不斷提醒自己
[00:01:21.000 --> 00:01:26.000]  要留心如何去休息、等候、信靠祂
[00:01:26.000 --> 00:01:28.000]  我們常常講信靠
[00:01:28.000 --> 00:01:29.000]  但我們都比較傾向
[00:01:29.000 --> 00:01:32.000]  是依靠一些可以見到的
[00:01:32.000 --> 00:01:35.000]  捉到的那些人或事
[00:01:35.000 --> 00:01:37.000]  以至我們失去對神的依靠
