
[00:00:00.000 --> 00:00:06.120]  基督教的人觀和對心理治療政治和社會方面的涵義
[00:00:06.120 --> 00:00:09.400]  首先我們講講基督教的人觀
[00:00:09.400 --> 00:00:16.440]  通常我們講基督教的人觀都會從聖經開始講這個需要
[00:00:16.440 --> 00:00:18.680]  因為我們基督教的信仰核心在聖經
[00:00:18.680 --> 00:00:22.360]  那些人拿起筆記發覺沒有什麼聖經
[00:00:22.360 --> 00:00:25.520]  連一個聖經的引用都沒有
[00:00:25.520 --> 00:00:27.320]  下一堂我們會多一點
[00:00:27.320 --> 00:00:34.720]  這一堂我們有一個全面了解一個神和人的角度的時候
[00:00:34.720 --> 00:00:40.960]  我們很難將聖經裡面一些的靈碎資料作為一個全面的基礎
[00:00:40.960 --> 00:00:45.080]  所以今天我不會說聖經的人觀我是說基督教的人觀
[00:00:45.080 --> 00:00:48.960]  在這裡牽涉到整個教會歷史當中不同的人
[00:00:48.960 --> 00:00:52.320]  不同的神學家已經組成加上哲學上的反省
[00:00:52.320 --> 00:00:54.000]  那個的合併
[00:00:54.000 --> 00:00:58.520]  如果我們說究竟聖經怎麼看人呢
[00:00:58.520 --> 00:00:59.520]  我不知道大家有沒有想過
[00:00:59.520 --> 00:01:01.720]  要這一句話答完我不知道大家怎麼想
[00:01:01.720 --> 00:01:04.720]  究竟在聖經在基督教獨特的角度裡面
[00:01:04.720 --> 00:01:07.040]  人是什麼或者人是怎樣的
[00:01:07.040 --> 00:01:08.960]  從神學的角度
[00:01:08.960 --> 00:01:12.040]  我想了很久這個問題
[00:01:12.040 --> 00:01:18.320]  因為聖經有它一定的時代文化背景
[00:01:18.320 --> 00:01:21.800]  所以它一些對於人的要求了解
[00:01:21.800 --> 00:01:26.720]  不一定是可以說是應用在其他文化都對的
[00:01:26.720 --> 00:01:30.000]  當然聖經裡面一定有些是超越文化的真理
[00:01:30.000 --> 00:01:31.480]  以致我們今天相信的時候
[00:01:31.480 --> 00:01:35.200]  我們不會完全從一個文化角度去了解
[00:01:35.200 --> 00:01:38.800]  譬如十字架的真理就沒有時間空間文化的差別
[00:01:38.800 --> 00:01:41.480]  只要是人無論你是中國人
[00:01:41.480 --> 00:01:44.200]  2000年前的人100年前的人
[00:01:44.200 --> 00:01:47.560]  美國人都是需要十字架的救恩
[00:01:47.560 --> 00:01:48.560]  這個不需要
[00:01:48.560 --> 00:01:51.480]  但是聖經裡面也有很明顯的文化背景
[00:01:51.480 --> 00:01:52.680]  譬如舊約裡面
[00:01:52.680 --> 00:01:55.640]  油墨民族後來農業社會的文化
[00:01:55.640 --> 00:01:58.680]  到新約的時候希臘羅馬的文化
[00:01:58.680 --> 00:02:01.960]  在這些文化背景裡面產生了我們聖經的教導
[00:02:01.960 --> 00:02:05.680]  當然也有了一定程度的文化背景在內
[00:02:05.680 --> 00:02:07.920]  我們要很辛苦的功夫去拆開
[00:02:07.920 --> 00:02:10.000]  究竟哪些是屬於根本的
[00:02:10.000 --> 00:02:14.640]  希臘或者油墨民族的文化的觀念
[00:02:14.640 --> 00:02:17.840]  哪些才是聖經裡面的超越的
[00:02:17.840 --> 00:02:22.160]  完全是超越了文化背景的觀念
[00:02:22.160 --> 00:02:23.160]  這樣才行
[00:02:23.160 --> 00:02:26.200]  如果不是我們將一個油墨民族的文化的觀念
[00:02:26.200 --> 00:02:29.600]  移植到現代香港的商業化社會
[00:02:29.600 --> 00:02:31.200]  強行說這個是聖經的看法
[00:02:31.200 --> 00:02:34.120]  我們大家要恢復那種觀念的時候
[00:02:34.120 --> 00:02:35.320]  那是不公平的
[00:02:35.320 --> 00:02:36.440]  對聖經也不公平
[00:02:36.440 --> 00:02:38.000]  對我們信仰也不公平
[00:02:38.000 --> 00:02:40.960]  不過這個抽絲剝繭的功夫是很辛苦的
[00:02:40.960 --> 00:02:44.160]  不是說穿一件衣服就穿回另一件衣服那麼簡單
[00:02:44.160 --> 00:02:46.760]  你一扯的時候可能連肉都扯掉
[00:02:46.760 --> 00:02:49.280]  所以我們要找一個很穩定的角度去看
[00:02:49.280 --> 00:02:54.480]  究竟整個聖經的立場是看全盤的
[00:02:54.480 --> 00:02:57.000]  整體來說很穩定的看法
[00:02:57.000 --> 00:02:59.080]  神怎麼看人呢
[00:02:59.080 --> 00:03:04.040]  我就下了一個很闊的句子
[00:03:04.040 --> 00:03:07.240]  這個句子我相信是很穩定的
[00:03:07.240 --> 00:03:09.440]  在聖經神學之下看人
[00:03:09.440 --> 00:03:14.000]  人是一個被造物
[00:03:14.000 --> 00:03:17.360]  而這個被造物當他被神造的時候
[00:03:17.360 --> 00:03:19.600]  是有目的的
[00:03:19.600 --> 00:03:25.520]  目的是以至這個人能夠和神相遇
[00:03:25.520 --> 00:03:33.400]  然後與神對神的要求有所回應
[00:03:33.400 --> 00:03:34.000]  英文來說
[00:03:34.000 --> 00:03:38.840]  Man is a being who is made to encounter God
[00:03:38.840 --> 00:03:42.360]  Man is a responding creature
[00:03:42.360 --> 00:03:43.520]  這裡有三方面
[00:03:43.520 --> 00:03:45.120]  第一他是一個被造物
[00:03:45.120 --> 00:03:51.160]  基督教和其他的哲學和心理學是不同的地方
[00:03:51.160 --> 00:03:56.080]  人開宗明義本身是有一個更加超然的根源
[00:03:56.080 --> 00:03:58.360]  是被造的Creature
[00:03:58.360 --> 00:04:00.080]  有一種Creature-ness在這裡
[00:04:00.080 --> 00:04:02.920]  一種被造的性質在這裡
[00:04:02.920 --> 00:04:06.960]  第二他的特色就是人的存在
[00:04:06.960 --> 00:04:10.080]  是需要從一種關係裡面去了解的
[00:04:10.080 --> 00:04:13.120]  因為他被造的時候有一個目標
[00:04:13.120 --> 00:04:14.960]  他不是造了就生存
[00:04:14.960 --> 00:04:15.880]  或者恐怖莎扁
[00:04:15.880 --> 00:04:17.880]  他懂得用工具的人
[00:04:17.880 --> 00:04:21.240]  我們普通人學定義什麼叫人
[00:04:21.240 --> 00:04:21.760]  什麼才是人
[00:04:21.760 --> 00:04:23.280]  什麼和人和動物不同
[00:04:23.280 --> 00:04:26.080]  有些人說他懂得用工具的就算人
[00:04:26.080 --> 00:04:27.360]  不懂得用工具的就算動物
[00:04:27.360 --> 00:04:28.840]  或者是猿猴
[00:04:28.840 --> 00:04:29.920]  或者有些人說
[00:04:29.920 --> 00:04:35.160]  有些學者認為是有語言的
[00:04:35.160 --> 00:04:36.160]  那些叫人
[00:04:36.160 --> 00:04:38.120]  沒有語言的那些就是人
[00:04:38.120 --> 00:04:39.960]  很多種不同的定義方法
[00:04:39.960 --> 00:04:44.440]  這種定義方法是從人的結構去定義
[00:04:44.440 --> 00:04:47.360]  但基督教就不先從人的結構去定義
[00:04:47.360 --> 00:04:48.480]  人有什麼特質
[00:04:48.480 --> 00:04:49.760]  和動物有什麼不同的地方
[00:04:49.760 --> 00:04:53.280]  而是人和神的關係是不同的
[00:04:53.280 --> 00:04:56.960]  他被造出來是要和神發生一個相遇的關係
[00:04:56.960 --> 00:04:58.760]  一個Personal Encounter
[00:04:58.760 --> 00:05:00.240]  友情的關係
[00:05:00.240 --> 00:05:01.480]  這個關係裡面
[00:05:01.480 --> 00:05:04.480]  神對人是有回應的要求
[00:05:04.480 --> 00:05:05.880]  Responding Creature
[00:05:05.880 --> 00:05:07.200]  他不單是一個Creature
[00:05:07.200 --> 00:05:08.600]  他是一個Responding Creature
[00:05:08.600 --> 00:05:09.480]  為什麼他會Responding
[00:05:09.480 --> 00:05:12.280]  因為他是Made to Encounter God
[00:05:12.280 --> 00:05:13.280]  大家明白了吧
[00:05:13.280 --> 00:05:15.320]  這裡三樣一開宗明義
[00:05:15.320 --> 00:05:16.560]  和其他的哲學
[00:05:16.560 --> 00:05:17.760]  普通的心理學
[00:05:17.760 --> 00:05:20.720]  或者是其他的宗教學
[00:05:20.720 --> 00:05:22.720]  對人的定義都不同
[00:05:22.720 --> 00:05:23.720]  大家明白了
[00:05:23.720 --> 00:05:26.840]  引申出來有三點是相當重要
[00:05:26.840 --> 00:05:29.560]  可以說是囊括了整個系統當中
[00:05:29.560 --> 00:05:30.760]  三個大的重點
[00:05:30.760 --> 00:05:31.360]  第一
[00:05:31.360 --> 00:05:32.960]  根據這句話來說
[00:05:32.960 --> 00:05:37.440]  人是有回應的能力的
[00:05:37.440 --> 00:05:39.440]  有一個Respondability
[00:05:39.440 --> 00:05:40.440]  不是shout out job
[00:05:40.440 --> 00:05:44.040]  Respondability
[00:05:44.040 --> 00:05:46.440]  不是responsibility
[00:05:46.440 --> 00:05:48.440]  Responsibility就是有責任
[00:05:48.440 --> 00:05:52.200]  Respondability不知道英文字典有沒有
[00:05:52.200 --> 00:05:53.240]  作出來的字
[00:05:53.240 --> 00:05:56.240]  Respondable
[00:05:56.240 --> 00:05:57.240]  沒有的
[00:05:57.240 --> 00:05:58.200]  可能這個字你查一下
[00:05:58.200 --> 00:05:58.840]  然後再將字典
[00:05:58.840 --> 00:06:01.240]  Respondability
[00:06:01.240 --> 00:06:03.240]  就是說他是Respondable的
[00:06:03.240 --> 00:06:05.240]  他是有回應的
[00:06:05.240 --> 00:06:08.240]  Respondable to God
[00:06:08.240 --> 00:06:12.240]  第二就是回應什麼呢
[00:06:12.240 --> 00:06:14.240]  回應神的愛
[00:06:14.240 --> 00:06:17.240]  Responding to God's love
[00:06:17.240 --> 00:06:19.240]  第三
[00:06:19.240 --> 00:06:21.240]  自由和愛的關係
[00:06:21.240 --> 00:06:23.240]  是表示人是一種in becoming
[00:06:23.240 --> 00:06:26.240]  不斷轉變進程當中
[00:06:26.240 --> 00:06:28.240]  這個要解釋了
[00:06:28.240 --> 00:06:32.240]  首先從聖經角度
[00:06:32.240 --> 00:06:34.240]  究竟我們剛才說的話對不對
[00:06:34.240 --> 00:06:36.240]  我覺得是對的
