
[00:00:00.000 --> 00:00:03.920]  (字幕:我是阿神)
[00:00:03.920 --> 00:00:08.480]  又來回答大家的問題
[00:00:08.480 --> 00:00:10.320]  這個問題也很長
[00:00:10.320 --> 00:00:12.880]  讓我慢慢讀給大家聽
[00:00:12.880 --> 00:00:16.600]  我信中醫的陰陽平衡
[00:00:16.600 --> 00:00:18.680]  天人合一
[00:00:18.680 --> 00:00:25.720]  如果追求這種有道家概念的中醫想法
[00:00:25.720 --> 00:00:27.600]  作為基督徒
[00:00:27.600 --> 00:00:30.120]  是否犯罪呢?
[00:00:30.120 --> 00:00:31.880]  這個問題真的很複雜
[00:00:31.880 --> 00:00:36.440]  一來我要先申報我不是一個中醫
[00:00:36.440 --> 00:00:41.240]  我也有看過一些介紹中醫理論的書
[00:00:41.240 --> 00:00:44.880]  講陰陽、氣夠不夠
[00:00:44.880 --> 00:00:46.440]  氣虛氣盛
[00:00:46.440 --> 00:00:48.080]  不同季節吃不同東西
[00:00:48.080 --> 00:00:49.400]  最後我便放棄了
[00:00:49.400 --> 00:00:50.400]  因為太複雜了
[00:00:50.400 --> 00:00:56.960]  不過跟一些比較大陸的高層去想
[00:00:56.960 --> 00:01:01.120]  中醫講陰陽可以從兩個角度去看
[00:01:01.120 --> 00:01:05.960]  一個角度是我們身體的運作
[00:01:05.960 --> 00:01:08.720]  可能有某些原則
[00:01:08.720 --> 00:01:11.120]  陽和熱氣連在一起
[00:01:11.120 --> 00:01:13.520]  陰又和寒連在一起
[00:01:13.520 --> 00:01:17.560]  我覺得這些基本上是身體變化的理論
[00:01:17.560 --> 00:01:21.600]  沒有需要跟基督教信仰有衝突
[00:01:21.600 --> 00:01:23.920]  這些身體變化的理論
[00:01:23.920 --> 00:01:27.200]  其實都是我們所謂中國人的先賢
[00:01:27.200 --> 00:01:28.880]  經過長久的觀察
[00:01:28.880 --> 00:01:31.120]  覺得用這些概念
[00:01:31.120 --> 00:01:35.600]  陰陽、血盛血衰這些觀念
[00:01:35.600 --> 00:01:40.000]  可以綜合地形容我們身體的狀況
[00:01:40.000 --> 00:01:41.960]  或者講一個比喻
[00:01:41.960 --> 00:01:45.880]  譬如我們看聖經裏面的針研
[00:01:45.880 --> 00:01:47.040]  智慧文學
[00:01:47.040 --> 00:01:49.040]  講做人有什麼道理
[00:01:49.040 --> 00:01:51.080]  其實針研有很多道理
[00:01:51.080 --> 00:01:53.920]  在近東社會其他文化
[00:01:53.920 --> 00:01:57.160]  都有類似的教導
[00:01:57.160 --> 00:02:01.240]  針研反映一個以當時背景來說
[00:02:01.240 --> 00:02:04.200]  很國際化的教導
[00:02:04.200 --> 00:02:05.400]  換句話說
[00:02:05.400 --> 00:02:06.920]  聖經的真理
[00:02:06.920 --> 00:02:10.240]  其實有很多不信耶穌的人
[00:02:10.240 --> 00:02:12.520]  都會得到類似的結論
[00:02:12.520 --> 00:02:15.440]  所以如果我們中國的先賢
[00:02:15.440 --> 00:02:20.480]  能夠發現一些我們身體運作的原則
[00:02:20.480 --> 00:02:22.520]  這個也沒有什麼特別
