
[00:00:00.000 --> 00:00:05.720]  這次我回到北京加拿大
[00:00:05.720 --> 00:00:14.240]  發現港台兩邊有很美麗的盆栽
[00:00:14.240 --> 00:00:20.680]  枝葉的顏色非常美麗
[00:00:20.680 --> 00:00:25.600]  在香港空氣不太新鮮的地方
[00:00:25.600 --> 00:00:28.600]  有這麼好的盆栽很難得
[00:00:28.600 --> 00:00:33.520]  我覺得這兩個盆栽是一個很好的象徵
[00:00:33.520 --> 00:00:37.840]  象徵神的恩典豐豐富富
[00:00:37.840 --> 00:00:41.080]  也讓我們想到一些聖經
[00:00:41.080 --> 00:00:43.960]  我們一起來看一看
[00:00:43.960 --> 00:00:48.480]  在舊約的詩篇第九十二篇
[00:00:48.480 --> 00:01:04.640]  第十二篇第十四篇
[00:01:04.640 --> 00:01:09.560]  十二到十四篇
[00:01:09.560 --> 00:01:24.760]  「義人要發旺於宗柱 生長於利花蓮的香柏樹 他們在伊犹華的建中發旺 在我們神的選裡 他們年老的時候 便要結果子 要滿了汁漿而常發清」
[00:01:24.760 --> 00:01:27.600]  末聊的八個字
[00:01:27.600 --> 00:01:29.160]  最後的八個字
[00:01:29.160 --> 00:01:31.440]  滿了汁漿
[00:01:31.440 --> 00:01:32.560]  滿了汁漿
[00:01:32.560 --> 00:01:34.480]  而常發清
[00:01:34.480 --> 00:01:35.680]  而常發清
[00:01:35.680 --> 00:01:38.880]  這個是豐盛生命的一幅圖畫
[00:01:38.880 --> 00:01:41.240]  這個是豐盛生命的一幅圖畫
[00:01:41.240 --> 00:01:43.720]  這裡提到年老
[00:01:43.720 --> 00:01:47.680]  意思就是長期的
[00:01:47.680 --> 00:01:49.800]  不是短期的
[00:01:49.800 --> 00:01:52.000]  繼續的
[00:01:52.000 --> 00:01:55.760]  蒙神的恩典
[00:01:55.760 --> 00:02:03.320]  這兩棵樹是屬於宗樹類的
[00:02:03.320 --> 00:02:06.800]  跟這裡十二節所說的宗樹剛好一樣
[00:02:06.800 --> 00:02:09.880]  跟這裡十二節所說的宗樹剛好一樣
[00:02:09.880 --> 00:02:14.280]  繼續到後面的三篇這裡的宗樹
[00:02:14.280 --> 00:02:17.320]  可能後面的看不到這裡的宗樹
[00:02:17.320 --> 00:02:20.160]  宗樹類的存在
[00:02:20.160 --> 00:02:22.040]  宗樹類的存在
[00:02:22.040 --> 00:02:25.920]  剛好和這裡說的宗樹一樣
[00:02:25.920 --> 00:02:28.400]  剛好跟這裡所說的宗樹一樣
[00:02:28.400 --> 00:02:30.200]  宗樹是怎樣的呢?
[00:02:30.200 --> 00:02:31.680]  宗樹是怎樣的呢?
[00:02:31.680 --> 00:02:34.760]  這裡說「發旺如宗樹」
[00:02:34.760 --> 00:02:36.720]  這裡說「發旺如宗樹」
[00:02:36.720 --> 00:02:40.200]  「發旺」就是有豐盛的生命
[00:02:40.200 --> 00:02:41.880]  「發旺」就是有豐盛的生命
[00:02:41.880 --> 00:02:44.760]  旺盛的生命
[00:02:44.760 --> 00:02:49.040]  為甚麼有旺盛的生命呢?
[00:02:49.040 --> 00:02:53.360]  第十三節告訴我們原因
[00:02:53.360 --> 00:02:58.280]  他們在於耶和華的殿中
[00:02:58.280 --> 00:03:01.960]  他們是在神的殿裏頭
[00:03:01.960 --> 00:03:06.840]  剛好這兩顆神災是在禮拜堂裏頭
[00:03:06.840 --> 00:03:09.440]  當這兩顆神災在禮拜堂裏面
[00:03:09.440 --> 00:03:12.800]  在神的殿裏
[00:03:12.800 --> 00:03:17.760]  這裡看見一個秘訣
[00:03:17.760 --> 00:03:24.440]  如果基督徒能夠常常在神的家裏
[00:03:24.440 --> 00:03:27.480]  常常接近神
[00:03:27.480 --> 00:03:31.520]  常常仰望神
[00:03:31.520 --> 00:03:38.240]  不但是即時、短時、暫時這個樣子
[00:03:38.240 --> 00:03:44.320]  乃是災在耶和華的殿裏
[00:03:44.320 --> 00:03:50.440]  意思就是說一直的繼續的在這裏
[00:03:50.440 --> 00:03:54.400]  這樣一直的長起來
[00:03:54.400 --> 00:03:59.920]  就發旺在神的園中
[00:03:59.920 --> 00:04:02.880]  所以各位弟兄姊妹
[00:04:02.880 --> 00:04:06.880]  都是愛主的弟兄姊妹
[00:04:06.880 --> 00:04:10.640]  都是親近主的弟兄姊妹
[00:04:10.640 --> 00:04:16.680]  常常到祖的家裏、到祖的面前
[00:04:16.680 --> 00:04:26.120]  這樣生命一定是興盛、一定長大、一定發展
[00:04:26.120 --> 00:04:31.240]  所以這次回來看見這兩顆神災就覺得很美麗、很好看
[00:04:31.240 --> 00:04:33.120]  所以這次回來看見這兩顆神災
[00:04:33.120 --> 00:04:34.880]  覺得很美、很好看
