
[00:00:00.000 --> 00:00:14.000]  我有好多次聽見在港九培靈會裏面有人信主。
[00:00:14.000 --> 00:00:24.000]  感謝神,培靈會裏面聖靈也可以感動人信主。
[00:00:24.000 --> 00:00:32.000]  我也知道有人在佈道會裏面獻身,
[00:00:32.000 --> 00:00:43.000]  培靈會裏面信主佈道會獻身,是神的工作。
[00:00:43.000 --> 00:00:54.000]  神知道我們每一個人的需要,按照我們的需要恩待我們。
[00:00:54.000 --> 00:01:06.000]  我們願意在神的面前打開我們的心來等候祂向我們自己講話。
[00:01:06.000 --> 00:01:14.000]  我們今天晚上繼續地要看國度的真理。
[00:01:14.000 --> 00:01:21.000]  昨天晚上我們看到國度真理的重要性。
[00:01:21.000 --> 00:01:28.000]  我們看見四福音注重國度的真理。
[00:01:28.000 --> 00:01:35.000]  我們看見使徒行轉同樣的注重。
[00:01:35.000 --> 00:01:41.000]  我們看見保羅的書信也是這樣注重。
[00:01:41.000 --> 00:01:51.000]  彼得書信,雅各書信,還有啟示錄也是一樣的如此。
[00:01:51.000 --> 00:01:57.000]  聖經所注重的我們要注重。
[00:01:57.000 --> 00:02:03.000]  神所重視的我們要重視。
[00:02:03.000 --> 00:02:08.000]  那我們永遠不會走錯。
[00:02:08.000 --> 00:02:16.000]  昨天我們也看見國度的真理給我們的作用。
[00:02:16.000 --> 00:02:20.000]  有四方面的作用。
[00:02:20.000 --> 00:02:32.000]  第一方面,國度的真理能夠幫助我們有各教會合一的觀念。
[00:02:32.000 --> 00:02:41.000]  第二方面,國度的真理給我們平衡的認識和追求。
[00:02:41.000 --> 00:02:45.000]  四方面的平衡。
[00:02:45.000 --> 00:02:57.000]  第一方面,心中的天國和群體的天國之間的平衡。
[00:02:57.000 --> 00:03:10.000]  第二方面,追求神的國和追求神的義兩者之間的平衡。
[00:03:10.000 --> 00:03:22.000]  我們也看見將來的天國和現在的天國兩者之間的平衡。
[00:03:22.000 --> 00:03:32.000]  也可以說天上的天國和地上的天國之間的平衡。
[00:03:32.000 --> 00:03:43.000]  我們也看見國度的本體和國度的延伸之間的平衡。
[00:03:43.000 --> 00:03:49.000]  那就是關心教會和關心社會之間的平衡。
[00:03:49.000 --> 00:03:53.000]  這個也是關心教會與關心社會之間的平衡。
[00:03:53.000 --> 00:04:06.000]  我們也看見國度的真理使我們努力地從事服侍拆船的工作。
[00:04:06.000 --> 00:04:12.000]  國度的真理也是我們渴慕等候主的再來。
[00:04:12.000 --> 00:04:16.000]  國度的真理也是我們渴慕等候主的再來。
[00:04:16.000 --> 00:04:23.000]  我們有一個榮耀的盼望,就是有一天主和祂的國度要降臨。
[00:04:23.000 --> 00:04:34.000]  因此我們得到一個價值觀,國度的價值觀,
[00:04:34.000 --> 00:04:40.000]  那就是先求神的國和祂的義。
[00:04:40.000 --> 00:04:47.000]  把神的國和祂的義放在我們人生的第一位上,
[00:04:47.000 --> 00:04:50.000]  其他的都是次要的。
[00:04:50.000 --> 00:04:59.000]  最重要的,首先的,第一的是神的國和祂的義。
[00:04:59.000 --> 00:05:10.000]  我們願意把這個價值觀的重點放在我們人生的中心。
[00:05:10.000 --> 00:05:20.000]  講義在這裡,我想一個講道的人應該可以不看講義就講了。
[00:05:20.000 --> 00:05:24.000]  我想這個講道應該不看講義就講了。
[00:05:24.000 --> 00:05:31.000]  不過呢,我想還是把它放在這裡就好一點。
[00:05:31.000 --> 00:05:35.000]  心裡比較放心一點。
[00:05:35.000 --> 00:05:48.000]  今天晚上我們要看在舊約裡面國度的真理和國度的君王。
[00:05:48.000 --> 00:05:55.000]  在舊約裡面有國度的影子,
[00:05:55.000 --> 00:06:02.000]  這個影子到了新約就變成實體,
[00:06:02.000 --> 00:06:08.000]  影子實體是配合的。
[00:06:08.000 --> 00:06:25.000]  我們讀舊約的時候,我們就發現這個影子從模糊不清漸漸的顯明,
[00:06:25.000 --> 00:06:33.000]  越來越清楚,那個焦點越來越明顯,
