
[00:00:00.000 --> 00:00:03.360]  請我們一起再打開剛才所讀的聖經
[00:00:03.360 --> 00:00:05.840]  我們一直都是研究新命紀
[00:00:05.840 --> 00:00:09.760]  大家知道我們北宣家在這幾個月的崇拜都是
[00:00:09.760 --> 00:00:10.960]  新命紀第七章
[00:00:10.960 --> 00:00:15.080]  在大家堂用聖經舊約的180頁
[00:00:15.080 --> 00:00:17.160]  新命紀的第七章
[00:00:17.160 --> 00:00:18.680]  新命紀的第七章
[00:00:18.680 --> 00:00:21.840]  我們從第七節看到第…
[00:00:21.840 --> 00:00:26.040]  第七章十六節看到第二十六節
[00:00:26.040 --> 00:00:28.400]  新命紀的第七章
[00:00:28.400 --> 00:00:31.960]  剛才我們讀了那一段聖經
[00:00:31.960 --> 00:00:34.120]  大家知道新命紀是第六章
[00:00:34.120 --> 00:00:36.120]  第七章 第八章下去
[00:00:36.120 --> 00:00:39.600]  是摩西所說的第二個講章
[00:00:39.600 --> 00:00:42.640]  這個講章裡面第六章開始提到
[00:00:42.640 --> 00:00:47.800]  在以色列人過去怎樣離開埃及地
[00:00:47.800 --> 00:00:49.440]  在那個曠野的時候
[00:00:49.440 --> 00:00:53.160]  神怎樣賜下他的律法和要求
[00:00:53.160 --> 00:00:55.680]  然後到了第七章開始
[00:00:55.680 --> 00:00:58.240]  摩西說我們現在要面對一個大的挑戰
[00:00:58.240 --> 00:01:00.000]  讓我進入迦南
[00:01:00.000 --> 00:01:01.320]  等了很久
[00:01:01.320 --> 00:01:02.240]  現在真的進入了
[00:01:02.240 --> 00:01:06.480]  不過前面這條路一點都不容易走的路
[00:01:06.480 --> 00:01:11.360]  因為迦南地有很強悍的民族
[00:01:11.360 --> 00:01:13.400]  第七章開始的時候
[00:01:13.400 --> 00:01:18.040]  第一節講了有七大民族在這裡
[00:01:18.040 --> 00:01:21.400]  這七大民族是包括了喀人
[00:01:21.400 --> 00:01:23.000]  格加薩人
[00:01:23.000 --> 00:01:24.160]  阿摩利人
[00:01:24.160 --> 00:01:25.200]  迦南人
[00:01:25.200 --> 00:01:26.320]  比利西人
[00:01:26.320 --> 00:01:27.200]  希美人
[00:01:27.200 --> 00:01:28.400]  耶布斯人
[00:01:28.400 --> 00:01:33.440]  這七個民族都比你強大
[00:01:33.440 --> 00:01:35.880]  七個民族
