
[00:00:00.000 --> 00:00:07.000]  今天正道的經文取之《獵王記》下,十章二十八到三十一節。
[00:00:07.000 --> 00:00:25.000]  這樣,耶穌在以色列中消滅了巴黎,只是耶穌不離開泥巴的兒子耶羅伯安,使以色列人陷入罪里的納罪,就是拜伯特利和蛋的金牛犢。
[00:00:26.000 --> 00:00:40.000]  耶和華對耶穌說,因你辦好我眼中看為證的事,照我的心意到雅哈迦,你的子孫必接系你做以色列的王位,直到第四代。
[00:00:40.000 --> 00:00:53.000]  只是耶穌不盡心遵守耶和華以色列神的律法,不離開耶羅伯安使以色列人陷入罪里的納罪。這是上主的話語。
[00:00:54.000 --> 00:00:57.000]  弟兄姐妹,午安!
[00:00:57.000 --> 00:01:14.000]  很感謝賀傳道給我機會來這邊跟大家分享,也代表防角石協會,防角石協會是香港宣道區聯會下面一個服務中國的機構的同工董事,向大家問安。
[00:01:15.000 --> 00:01:27.000]  大家可能要忍耐一下我的國語,因為人家說天不怕地不怕,最怕老廣講普通話,所以大家要忍耐一下。
[00:01:27.000 --> 00:01:32.000]  還沒有開始之前,請大家一起低頭,我們同心禱告。
[00:01:33.000 --> 00:01:48.000]  天父我們感謝你,因為是你的愛教召聚你的眾兒女,今天圍繞你的私人寶座面前,我們要得到的就是你的憐憫,得到的就是你的幫助。
[00:01:49.000 --> 00:02:10.000]  求你現在就用你的寶學,為我們做一個清潔的心,正直的靈。我們又願你自己的靈,自由敲慣在這個會場當中,進入我們每一個人的心靈的深處,讓講的、聽的都能夠同感一靈。
[00:02:11.000 --> 00:02:18.000]  祝你的話,你的位仰,以至你的話成為我們腳前的燈,路上的光。
[00:02:18.000 --> 00:02:25.000]  長管我們以下的時間,垂聽我們的禱告,奉愛救主耶穌基督得勝的名求。
[00:02:25.000 --> 00:02:37.000]  剛才弟兄們替我們讀的那段經文,列王記煞十章二十八到三十一節。
[00:02:38.000 --> 00:02:48.000]  這段經文的背景是怎麼樣的呢?我們先看看那段經文的背景,然後才進入今天所講的內容。
[00:02:49.000 --> 00:03:17.000]  我們知道耶穌,這邊有講一個人物叫耶穌,他原來就是北國以色列皇越南的將軍。當時越南約了南方的猶大皇亞哈縣,一同跟亞狼皇爭戰,要打仗。
[00:03:18.000 --> 00:03:26.000]  為什麼南北兩個皇本來是分裂的皇國,他們能夠聯合在一起對付亞狼呢?
[00:03:26.000 --> 00:03:37.000]  是因為他們有姻親的關係,亞哈皇跟約沙化皇結了姻親的關係。
[00:03:38.000 --> 00:04:00.000]  越南原來就是亞哈縣的舅舅舅父,所以他們兩個一起去攻打亞狼。在這場戰爭裡面,越南以色列皇受傷了,受傷了以後就回到耶穌列治理他的傷。
[00:04:01.000 --> 00:04:13.000]  然後他的外甥亞哈縣因為他舅舅受傷了,所以他就從耶路撒冷去耶穌列城看望他的舅舅。
[00:04:13.000 --> 00:04:30.000]  為什麼越狼皇仰仰不到他的首都京城撒瑪利亞去呢?而走去耶穌列那個地方去仰仰呢?
[00:04:30.000 --> 00:04:37.000]  因為以色列皇在耶穌列城市裡面有一座行宮。
[00:04:37.000 --> 00:04:57.000]  大家還記不記得啊?當時越狼的父親亞哈想要在耶穌列那個地方,他的行宮裡面要擴建,他就看中隔壁有一塊地,就是一個人叫拉勃。
[00:04:58.000 --> 00:05:08.000]  大家還記不記得啊?拉勃那個葡萄園,他就說要把那個葡萄園買過來,拉勃不賣給他。
[00:05:09.000 --> 00:05:30.000]  拉勃就聽王后耶許別的計謀,就把拉勃殺了,搶了王宮隔壁那塊很好的葡萄園的地,就把那個行宮擴建起來。
[00:05:31.000 --> 00:05:51.000]  他們所作所為呢?其實是為耶穌羅亞所證悟的。當越狼回到耶穌列那個他的行宮仰仰的時候,他就命令他的軍長耶穌,把守著擊裂的拉勃以防備亞狼人的入村。
