
[00:00:00.000 --> 00:00:04.000]  大家再打開聖經 看前書第四章
[00:00:04.000 --> 00:00:06.000]  我們一起思想的經文
[00:00:06.000 --> 00:00:13.000]  當我讀到這段聖經的時候
[00:00:13.000 --> 00:00:15.000]  就想回想起過去的一件事情
[00:00:15.000 --> 00:00:18.000]  就是很多年前有人曾經問我
[00:00:18.000 --> 00:00:22.000]  他說 藤勤輝牧師在北角宣道會
[00:00:22.000 --> 00:00:24.000]  很多年的大力服事
[00:00:24.000 --> 00:00:27.000]  他怎樣領導教會呢?
[00:00:27.000 --> 00:00:30.000]  我想了很久
[00:00:30.000 --> 00:00:33.000]  我就想到一件事情
[00:00:33.000 --> 00:00:35.000]  就是我跟對方說
[00:00:35.000 --> 00:00:39.000]  藤牧師是透過教導和榜樣
[00:00:39.000 --> 00:00:42.000]  來領導教會
[00:00:42.000 --> 00:00:45.000]  幸好藤牧師在過去曾經帶領教會
[00:00:45.000 --> 00:00:48.000]  有很多方面的組織的發展
[00:00:48.000 --> 00:00:50.000]  一些策略的方向
[00:00:50.000 --> 00:00:52.000]  但是在試心思想的時候
[00:00:52.000 --> 00:00:54.000]  就察覺最核心的
[00:00:54.000 --> 00:00:57.000]  仍然是上上他以真理
[00:00:57.000 --> 00:01:01.000]  來幫助教導人怎樣行神的路
[00:01:01.000 --> 00:01:04.000]  而他自己活出榜樣
[00:01:04.000 --> 00:01:08.000]  你會發覺教會裏面真的能夠健康成長
[00:01:08.000 --> 00:01:10.000]  是因為其中的人
[00:01:10.000 --> 00:01:12.000]  是願意來到去小心學習
[00:01:12.000 --> 00:01:13.000]  認識聖經
[00:01:13.000 --> 00:01:16.000]  也幫助別人認識聖經
[00:01:16.000 --> 00:01:20.000]  而在其中真實地實行出來
[00:01:20.000 --> 00:01:23.000]  而過程當中教會就成長
[00:01:23.000 --> 00:01:28.000]  當然所說的不單是藤牧師在某些地方講道
[00:01:28.000 --> 00:01:30.000]  而是所有弟兄姊妹
[00:01:30.000 --> 00:01:35.000]  懂得去將所學習的教導別人明白
[00:01:35.000 --> 00:01:38.000]  所以你一定記得聖經《馬特方》第五章
[00:01:38.000 --> 00:01:41.000]  登身補份裏面提及一件事情
[00:01:41.000 --> 00:01:45.000]  聖經說哪一個在天國上是最大的呢?
[00:01:45.000 --> 00:01:48.000]  是最大的那些是哪些人呢?
[00:01:48.000 --> 00:01:53.000]  聖經說無論哪一個人遵守神的誡命
[00:01:53.000 --> 00:01:56.000]  也可以教導別人遵守的
[00:01:56.000 --> 00:02:01.000]  這人在天國裏要稱為大
[00:02:01.000 --> 00:02:04.000]  因此所說的所有弟兄姊妹
[00:02:04.000 --> 00:02:06.000]  你自己去明白聖經
[00:02:06.000 --> 00:02:11.000]  也可以尋找機會幫助別人去認識明白聖經
[00:02:11.000 --> 00:02:13.000]  而你亦在過程當中
[00:02:13.000 --> 00:02:15.000]  領受神給你的恩
[00:02:15.000 --> 00:02:19.000]  稱為在天國裏面最大的人
[00:02:19.000 --> 00:02:21.000]  今日當我們讀到提摩太前書的時候
[00:02:21.000 --> 00:02:24.000]  你會發覺聖經正是在說
[00:02:24.000 --> 00:02:27.000]  保羅勸告年青的提摩太
[00:02:27.000 --> 00:02:30.000]  一位在教會裏面服侍的人
[00:02:30.000 --> 00:02:34.000]  如何來小心去教導別人聖經
[00:02:34.000 --> 00:02:37.000]  自己也活出那種榜樣
[00:02:37.000 --> 00:02:40.000]  大家一起來首先看看聖經第四章
[00:02:40.000 --> 00:02:42.000]  一開始的時候你會發覺聖經講述到
[00:02:42.000 --> 00:02:45.000]  有人能夠忠心教導真理
[00:02:45.000 --> 00:02:47.000]  就能夠幫助人
[00:02:47.000 --> 00:02:51.000]  不至於跌入去鬼魔的教訓裏面
[00:02:51.000 --> 00:02:54.000]  在第四章第一節聖經說
[00:02:54.000 --> 00:02:58.000]  聖靈冥冥地說日後必有人離棄信仰
[00:02:58.000 --> 00:03:02.000]  跟從虛方的邪靈和鬼魔的教訓
[00:03:02.000 --> 00:03:06.000]  這教訓是出於說方的人的虛偽
[00:03:06.000 --> 00:03:11.000]  他們的良心好像被銷熊的鐵落了一半
[00:03:11.000 --> 00:03:13.000]  但當時初期教會出現了異端
[00:03:13.000 --> 00:03:14.000]  這裏所說的日後
[00:03:14.000 --> 00:03:17.000]  同時說到將來或是我們今天
[00:03:17.000 --> 00:03:21.000]  在末世的時代裏面有的情況
[00:03:21.000 --> 00:03:24.000]  聖經提到有人離開了信仰
[00:03:24.000 --> 00:03:28.000]  意味著他們本來就是屬神的人
[00:03:28.000 --> 00:03:31.000]  但他們離開了神離開了信仰
[00:03:31.000 --> 00:03:37.000]  轉而跟從了那些虛方的邪靈和鬼魔的教訓
[00:03:37.000 --> 00:03:39.000]  這些不出於上帝
[00:03:39.000 --> 00:03:44.000]  是一些錯誤和叫人行惡的教訓
[00:03:44.000 --> 00:03:48.000]  這些教訓聖經說是出於說方人的虛偽
[00:03:48.000 --> 00:03:53.000]  意味著這些背後的教導的人
[00:03:53.000 --> 00:03:58.000]  其實他們都知道不是真實的事情
[00:03:58.000 --> 00:04:01.000]  虛偽地說出這些道理
[00:04:01.000 --> 00:04:04.000]  但你說他明知不對的為甚麼會說呢
[00:04:04.000 --> 00:04:09.000]  聖經提到他們的良心已經麻木了
[00:04:09.000 --> 00:04:13.000]  好像被火燒的炭或是火燒的鐵
[00:04:13.000 --> 00:04:15.000]  落了落紅了
[00:04:15.000 --> 00:04:18.000]  麻木了沒有了一種感覺
[00:04:18.000 --> 00:04:21.000]  當然背後有很多可能的原因
[00:04:21.000 --> 00:04:22.000]  為了個人的利益
[00:04:22.000 --> 00:04:24.000]  為了某些的名聲
[00:04:24.000 --> 00:04:27.000]  為了能夠控制某些群體
[00:04:27.000 --> 00:04:31.000]  而因此良心已經麻木了
[00:04:31.000 --> 00:04:33.000]  明知不是正確的道理
[00:04:33.000 --> 00:04:35.000]  依然去教訓人
[00:04:35.000 --> 00:04:38.000]  又去影響別人去跟隨
[00:04:38.000 --> 00:04:40.000]  我相信大家一定知道
[00:04:40.000 --> 00:04:41.000]  在香港教會
[00:04:41.000 --> 00:04:46.000]  我們都知道有不少的異端出現
[00:04:46.000 --> 00:04:47.000]  而且很多異端
[00:04:47.000 --> 00:04:50.000]  特別是針對著基督徒
[00:04:50.000 --> 00:04:52.000]  我剛剛前兩天見到
[00:04:52.000 --> 00:04:55.000]  有一位從中國東北地區
[00:04:55.000 --> 00:04:57.000]  來到香港的一位牧者
