
[00:00:00.000 --> 00:00:01.200]  我們這樣的神秘
[00:00:01.200 --> 00:00:03.000]  我們有機會一起來到教會當中
[00:00:03.000 --> 00:00:04.800]  一起追求
[00:00:04.800 --> 00:00:06.600]  我們有些時候會見到
[00:00:06.600 --> 00:00:08.300]  有不同背景的弟兄姊妹
[00:00:08.300 --> 00:00:10.900]  我聽過有很多位同學說
[00:00:10.900 --> 00:00:14.500]  他們在北宣家找回很多舊相識
[00:00:14.500 --> 00:00:17.000]  重遇以前小學的同學
[00:00:17.000 --> 00:00:21.000]  重遇以前一些公司裏面的舊同事
[00:00:21.000 --> 00:00:22.500]  我盼望在這個家裏面
[00:00:22.500 --> 00:00:24.300]  我們大家能夠真的建立到一種
[00:00:24.300 --> 00:00:28.800]  互相關心、互相輔助的關係
[00:00:28.800 --> 00:00:31.300]  在其中真是神在我們當中
[00:00:31.300 --> 00:00:34.200]  在我們關係當中來彰顯
[00:00:34.200 --> 00:00:36.200]  我有兩個星期不在北宣家
[00:00:36.200 --> 00:00:38.700]  很多人都問我:你去了哪裏?
[00:00:38.700 --> 00:00:39.500]  第一個星期
[00:00:39.500 --> 00:00:40.200]  三月第一個星期
[00:00:40.200 --> 00:00:42.700]  因為康二堂的十一週年堂慶
[00:00:42.700 --> 00:00:44.100]  我過去講道
[00:00:44.100 --> 00:00:46.000]  上個星期是如景灣堂
[00:00:46.000 --> 00:00:48.300]  他們三週年堂慶
[00:00:48.300 --> 00:00:49.800]  我去到如景灣堂的時候
[00:00:49.800 --> 00:00:51.500]  感激神給他們很好的成長
[00:00:51.500 --> 00:00:53.800]  有一個很好的崇拜的地方
[00:00:53.800 --> 00:00:57.200]  一望出去是全海景
[00:00:57.200 --> 00:00:58.600]  一個很美麗的禮堂
[00:00:58.600 --> 00:01:00.700]  是神所賜的地方
[00:01:00.700 --> 00:01:02.100]  去到康二堂
[00:01:02.100 --> 00:01:04.100]  他們已經自立了
[00:01:04.100 --> 00:01:05.900]  我們在去年他們自立的時候
