
[00:00:00.000 --> 00:00:03.640]  我們再看回聖經詩73篇剛才讀的經文
[00:00:03.640 --> 00:00:08.160]  我們一起思想
[00:00:08.160 --> 00:00:10.440]  我們如何去親近主
[00:00:10.440 --> 00:00:12.440]  或者用一個問題的形式問
[00:00:12.440 --> 00:00:16.640]  我們怎麼可能不會親近這位上帝呢?
[00:00:16.640 --> 00:00:18.880]  我想先說一件事情
[00:00:18.880 --> 00:00:20.720]  關於一些旅程的事情
[00:00:20.720 --> 00:00:23.440]  大家都去過不同的旅行
[00:00:23.440 --> 00:00:26.600]  不過旅行和旅程可能有些不太相同
[00:00:26.600 --> 00:00:29.240]  有時候你去一些海外地方旅行
[00:00:29.240 --> 00:00:32.440]  可能完全不用花很多精神
[00:00:32.440 --> 00:00:36.440]  有飛機、有特別的巴士接載你去酒店
[00:00:36.440 --> 00:00:37.760]  不需要太辛苦
[00:00:37.760 --> 00:00:39.440]  而享受幾天的時間
[00:00:39.440 --> 00:00:44.560]  但有些旅程在過程當中是挺辛苦的
[00:00:44.560 --> 00:00:48.080]  我試過有一年暑假去思路
[00:00:48.080 --> 00:00:50.320]  大家知道中國的思酬之路
[00:00:50.320 --> 00:00:54.080]  中站是孤陋木齊
[00:00:54.080 --> 00:00:57.480]  在過程當中經過很多點
[00:00:58.240 --> 00:01:00.240]  也有些內陸的飛機
[00:01:00.240 --> 00:01:02.240]  有些長程的巴士等等
[00:01:02.240 --> 00:01:06.040]  但在過程當中發覺真的挺辛苦
[00:01:06.040 --> 00:01:10.560]  因為有些公路當時還未修好
[00:01:10.560 --> 00:01:12.800]  因此很顛簸
[00:01:12.800 --> 00:01:15.640]  坐在車上好像騎馬一樣
[00:01:15.640 --> 00:01:19.440]  要很小心抓住扶手
[00:01:19.440 --> 00:01:21.160]  一不小心放手
[00:01:21.160 --> 00:01:22.240]  車子一搖晃
[00:01:22.240 --> 00:01:23.840]  頭就撞到車頂
[00:01:23.840 --> 00:01:26.760]  所以整個過程是挺累的
[00:01:26.760 --> 00:01:28.760]  再加上那段時間是暑假
[00:01:28.760 --> 00:01:30.120]  天氣很炎熱
[00:01:30.120 --> 00:01:31.400]  四十多度
[00:01:31.400 --> 00:01:32.680]  下車的時候
[00:01:32.680 --> 00:01:34.600]  嘩!快點找酒店
[00:01:34.600 --> 00:01:35.960]  不想逛街
[00:01:35.960 --> 00:01:38.280]  但有些時候要走一些路程
[00:01:38.280 --> 00:01:41.000]  就一定要經過一些很炎熱的過程
[00:01:41.000 --> 00:01:43.920]  去到孤陋木齊的時候就覺得
[00:01:43.920 --> 00:01:45.600]  好了,到了
[00:01:45.600 --> 00:01:48.080]  我想說什麼呢?
[00:01:48.080 --> 00:01:51.440]  我想說我們都經驗過很多旅程
[00:01:51.440 --> 00:01:52.920]  是怎樣一回事
[00:01:53.480 --> 00:01:57.280]  但其實我們的人生絕對是一個旅程
[00:01:57.280 --> 00:02:02.080]  我們的終站不在這個地上
[00:02:02.080 --> 00:02:05.640]  我們的目的地不在這個世界上
[00:02:05.640 --> 00:02:09.760]  我們的目的地是在天上的天家
[00:02:09.760 --> 00:02:13.040]  我們是一個客旅
[00:02:13.040 --> 00:02:14.480]  曾經清楚說過
[00:02:14.480 --> 00:02:16.280]  我們在地上是客旅
[00:02:16.280 --> 00:02:18.880]  我們會經歷不同的艱難
[00:02:19.120 --> 00:02:22.120]  但我們最終想去到的
[00:02:22.120 --> 00:02:24.640]  是神為我們預備的天家
[00:02:24.640 --> 00:02:30.120]  何時你以地上為你的終站
[00:02:30.120 --> 00:02:31.920]  你就危險
[00:02:31.920 --> 00:02:36.120]  何時你知道你只不過是客旅
[00:02:36.120 --> 00:02:37.760]  你就更加體會到
[00:02:37.760 --> 00:02:39.760]  你需要神在你身邊
[00:02:39.760 --> 00:02:41.360]  來幫助你
[00:02:41.360 --> 00:02:42.920]  來引導你
[00:02:42.920 --> 00:02:44.960]  因為在這條路程裡面
[00:02:44.960 --> 00:02:46.120]  如果不小心
[00:02:46.120 --> 00:02:47.600]  有些時候會跌倒
[00:02:48.360 --> 00:02:51.600]  有些時候會被迷惑
[00:02:51.600 --> 00:02:54.640]  甚至有些時候會放棄了神
[00:02:54.640 --> 00:02:59.320]  直到你每一天真的知道去倚靠神的時候
[00:02:59.320 --> 00:03:02.400]  你才會有力量走這條人生的旅程
[00:03:02.400 --> 00:03:05.160]  而最終去到神為我們預備的
[00:03:05.160 --> 00:03:06.960]  永美的天家
[00:03:06.960 --> 00:03:09.600]  基督徒不是避世
[00:03:09.600 --> 00:03:11.800]  以致我們只顧著將來
