
[00:00:00.000 --> 00:00:04.860]  很多時候我跑步早上都會看到日出
[00:00:04.860 --> 00:00:10.520]  在星期三我和師母會去印尼
[00:00:10.520 --> 00:00:13.480]  不單止去印尼看日出
[00:00:13.480 --> 00:00:15.280]  也會經常看日落
[00:00:15.280 --> 00:00:17.760]  因為我們坐船
[00:00:17.760 --> 00:00:19.840]  那艘船也有50米長
[00:00:19.840 --> 00:00:23.900]  在那裡去到哪裡,睡到哪裡,吃到哪裡
[00:00:23.900 --> 00:00:25.260]  潛水潛到哪裡
[00:00:25.260 --> 00:00:26.680]  有八天的旅程
[00:00:26.680 --> 00:00:30.900]  這些是上一次兩年前拍的照片
[00:00:30.900 --> 00:00:32.060]  日出日落
[00:00:32.060 --> 00:00:34.740]  所以到了這些大海當中
[00:00:34.740 --> 00:00:36.280]  未來兩個星期預告
[00:00:36.280 --> 00:00:39.860]  你們應該收不到中央廣播的
[00:00:39.860 --> 00:00:43.380]  你們找不到我,我也找不到你們
[00:00:43.380 --> 00:00:46.880]  在這些日出日落的大自然當中
[00:00:46.880 --> 00:00:50.700]  我們也會看到神的榮耀
[00:00:50.700 --> 00:00:54.620]  包括我經常想起的詩篇第十九篇
[00:00:54.620 --> 00:00:58.660]  「諸天說說神的榮耀,窮倉傳揚他的手段
[00:00:58.660 --> 00:01:00.740]  這一日到那日發出盈雨
[00:01:00.740 --> 00:01:02.620]  這一日到那日傳出知識
[00:01:02.620 --> 00:01:05.300]  無言無語也無聲音可聽
[00:01:05.300 --> 00:01:07.140]  他得量大通遍天下
[00:01:07.140 --> 00:01:08.820]  他的盈雨傳到地極
[00:01:08.820 --> 00:01:11.860]  神在其間為太陽安設帳幕
[00:01:11.860 --> 00:01:14.460]  太陽如同新郎出洞房
[00:01:14.460 --> 00:01:16.820]  猶如勇士歡顏奔怒
[00:01:16.820 --> 00:01:19.340]  他從天際邊繞到天涯邊
[00:01:19.340 --> 00:01:25.180]  沒有一物也不被他的熱氣所吸引」
[00:01:25.180 --> 00:01:29.220]  我相信當我們看到大自然
[00:01:29.220 --> 00:01:30.580]  就看到上帝的榮耀
[00:01:30.580 --> 00:01:33.540]  今天這篇《約翰福音》第十七章
[00:01:33.540 --> 00:01:34.980]  是在說神的榮耀
[00:01:34.980 --> 00:01:42.260]  神的榮耀在這段經文中有五次出現
[00:01:42.260 --> 00:01:45.940]  不過我想約翰本身
[00:01:45.940 --> 00:01:48.420]  作者約翰想透過這段經文
[00:01:48.940 --> 00:01:50.660]  幫助我們上道
[00:01:50.660 --> 00:01:52.060]  不單止是上帝的榮耀
[00:01:52.060 --> 00:01:56.900]  也與我們作為跟從主的門徒很有關係
[00:01:56.900 --> 00:02:00.100]  我們知道在過去幾週
[00:02:00.100 --> 00:02:04.500]  我們也有讀過臨別的華語
[00:02:04.500 --> 00:02:06.340]  Farewell Discourse
[00:02:06.340 --> 00:02:07.940]  或者Upper Room Discourse
[00:02:07.940 --> 00:02:10.260]  就是說耶穌基督是被捕的
[00:02:10.260 --> 00:02:11.140]  被捕之先
[00:02:11.140 --> 00:02:13.540]  他有從第十三章到第十七章
[00:02:13.540 --> 00:02:14.260]  今天的經文
[00:02:14.260 --> 00:02:15.860]  有五章的經文
[00:02:15.860 --> 00:02:19.940]  與門徒講述一些很重要的話
[00:02:19.940 --> 00:02:22.180]  包括十三章為門徒實行
[00:02:22.180 --> 00:02:24.820]  十四章是聖靈的來臨
[00:02:24.820 --> 00:02:27.540]  十五章是葡萄樹與之子
[00:02:27.540 --> 00:02:30.100]  十六章也提及聖靈的工作
[00:02:30.100 --> 00:02:31.540]  今天來到第十七章
[00:02:31.540 --> 00:02:36.700]  是一個重要的結尾
[00:02:36.700 --> 00:02:38.140]  你可以說第十七章
[00:02:38.140 --> 00:02:41.380]  不單止總結了頭四章
[00:02:41.380 --> 00:02:42.940]  十三到十六章的經文
[00:02:42.940 --> 00:02:46.700]  並且前瞻了十八到二十一章所發生的事情
[00:02:46.700 --> 00:02:52.180]  今天的經文也可以幫助我們思考上帝的榮耀
[00:02:52.180 --> 00:02:53.340]  這段經文
[00:02:53.340 --> 00:02:56.220]  很多學者認為是大祭司的禱文
[00:02:56.220 --> 00:02:57.700]  耶穌基督是大祭司
[00:02:57.700 --> 00:03:00.700]  為多方面禱告
[00:03:00.700 --> 00:03:02.940]  這段經文分為三段
[00:03:02.940 --> 00:03:03.580]  三個段落
[00:03:03.580 --> 00:03:05.180]  所以我從三點跟大家分享
[00:03:05.180 --> 00:03:06.940]  包括第一到第五節
[00:03:06.940 --> 00:03:08.820]  第六到第十九節
[00:03:08.820 --> 00:03:11.140]  以及二十到二十六節
[00:03:11.140 --> 00:03:14.980]  在每一段經文我給大家一些應用和思考
[00:03:14.980 --> 00:03:16.460]  我們先看第一段
[00:03:16.460 --> 00:03:20.300]  耶穌基督的工作
[00:03:20.300 --> 00:03:23.380]  為要榮耀天父
[00:03:23.380 --> 00:03:26.500]  經文一開始就提及
[00:03:26.500 --> 00:03:28.500]  講完四章經文之後
[00:03:28.500 --> 00:03:30.500]  耶穌舉目向天觀看
[00:03:30.500 --> 00:03:32.700]  並且向天父說
[00:03:32.700 --> 00:03:34.100]  「時候到了」
[00:03:34.100 --> 00:03:36.020]  「時候到了」
[00:03:36.020 --> 00:03:38.340]  在這段福音當中
[00:03:38.340 --> 00:03:40.540]  經常耶穌提及到「時候未到」
[00:03:40.540 --> 00:03:43.260]  不過現今「時候到了」
[00:03:43.260 --> 00:03:44.820]  是什麼意思呢?
[00:03:44.820 --> 00:03:46.620]  七章三十三節會提及到
[00:03:46.620 --> 00:03:49.940]  耶穌說:我還有不多的時候和你同在
[00:03:49.940 --> 00:03:54.340]  以後就回到差我來的那裡去
[00:03:54.340 --> 00:03:56.780]  十三章第一節也提及到
[00:03:56.780 --> 00:03:58.500]  在如月節之前
[00:03:58.500 --> 00:04:03.860]  耶穌知道自己要離世歸父的「時候到了」
[00:04:03.860 --> 00:04:06.300]  這個「時候到了」就是
[00:04:06.300 --> 00:04:12.020]  耶穌基督要回到差他來到世上的天父那裡
[00:04:12.020 --> 00:04:15.420]  差他來到世上天父那裡
[00:04:15.420 --> 00:04:18.580]  耶穌基督的回到天父那裡
[00:04:18.580 --> 00:04:22.940]  也代表著完成了他在地上的工作和使命
[00:04:22.940 --> 00:04:25.060]  他的使命是什麼呢?
[00:04:25.060 --> 00:04:26.460]  十二章二十三節
[00:04:26.460 --> 00:04:28.940]  耶穌說:人子得榮耀的時候到了
[00:04:28.940 --> 00:04:30.700]  我實實在在告訴你們
[00:04:30.700 --> 00:04:33.820]  一粒物子不落在地裡死了
[00:04:33.820 --> 00:04:35.020]  仍舊是一粒
[00:04:35.020 --> 00:04:39.420]  若是死了就結出許多子粒來
[00:04:39.420 --> 00:04:41.180]  道成肉身的耶穌基督
[00:04:41.180 --> 00:04:42.180]  他來到世上
[00:04:42.180 --> 00:04:44.340]  是到了自己的地方
[00:04:44.340 --> 00:04:45.980]  然後他將會被捕
[00:04:45.980 --> 00:04:46.860]  被出賣
[00:04:46.860 --> 00:04:47.940]  被鞭打
[00:04:47.940 --> 00:04:49.740]  被釘十字架
[00:04:49.740 --> 00:04:51.700]  然後復活和升天
[00:04:51.700 --> 00:04:54.860]  這是耶穌基督的工作
[00:04:54.860 --> 00:05:00.540]  「時候到了」也是釘十字架的時候到了
[00:05:00.540 --> 00:05:03.820]  這個十字架的事件
[00:05:03.820 --> 00:05:08.420]  是在榮耀著天父和耶穌基督自己
[00:05:08.420 --> 00:05:12.220]  在第一節和第五節也說到
[00:05:12.220 --> 00:05:14.260]  這個時間
[00:05:14.260 --> 00:05:16.820]  父和子得著榮耀
[00:05:16.820 --> 00:05:19.180]  很多時候在《仰弘福音》
[00:05:19.180 --> 00:05:21.740]  經常將子和父
