
[00:00:00.000 --> 00:00:02.000]  今天我們要開始看
[00:00:02.000 --> 00:00:05.000]  在希伯來書裏面所提到的
[00:00:05.000 --> 00:00:08.000]  主耶穌基督的十四個名字
[00:00:08.000 --> 00:00:10.000]  在這一講裏面
[00:00:10.000 --> 00:00:13.000]  我們要看十四個裏面的頭七個
[00:00:13.000 --> 00:00:16.000]  然後在下一講裏面
[00:00:16.000 --> 00:00:19.000]  我們要看另外的七個名稱
[00:00:19.000 --> 00:00:23.000]  我們從主耶穌的這十四個名稱裏面
[00:00:23.000 --> 00:00:25.000]  可以得到幫助
[00:00:25.000 --> 00:00:29.000]  使我們更清楚地認識主耶穌基督
[00:00:29.000 --> 00:00:31.000]  到底祂是誰
[00:00:31.000 --> 00:00:34.000]  到底祂和我們有什麼關係
[00:00:34.000 --> 00:00:37.000]  到底祂寶貴的地方在哪裏
[00:00:37.000 --> 00:00:39.000]  現在我們開始看
[00:00:39.000 --> 00:00:44.000]  頭七個主耶穌基督在希伯來書裏面的名稱
[00:00:44.000 --> 00:00:46.000]  主耶穌的第一個名稱
[00:00:46.000 --> 00:00:49.000]  是在第一節和第六節
[00:00:49.000 --> 00:00:53.000]  第一章第二節和第一章第六節裏面
[00:00:53.000 --> 00:00:55.000]  所提到的
[00:00:55.000 --> 00:00:57.000]  我要讀給大家聽
[00:00:57.000 --> 00:01:01.000]  第一章第二節和第六節
[00:01:01.000 --> 00:01:03.000]  就在這末世
[00:01:03.000 --> 00:01:06.000]  藉着祂兒子小育我們
[00:01:06.000 --> 00:01:09.000]  又早已立他爲承受萬有的
[00:01:09.000 --> 00:01:13.000]  也曾藉着他創造主世界
[00:01:13.000 --> 00:01:15.000]  第六節
[00:01:15.000 --> 00:01:16.000]  再者
[00:01:16.000 --> 00:01:20.000]  神使長子到世上來的時候就說
[00:01:20.000 --> 00:01:23.000]  神的使者都要拜他
[00:01:23.000 --> 00:01:27.000]  在第二節提到兒子這個名稱
[00:01:27.000 --> 00:01:30.000]  第六節提到長子這個名稱
[00:01:30.000 --> 00:01:33.000]  兒子這個名稱呢
[00:01:33.000 --> 00:01:38.000]  是表示主耶穌基督超越了一切受造之物
[00:01:38.000 --> 00:01:41.000]  他有最崇高的地位
[00:01:41.000 --> 00:01:46.000]  因爲他和神的生命是完全的合而爲一的
[00:01:46.000 --> 00:01:49.000]  他是被生的而非被造的
[00:01:49.000 --> 00:01:53.000]  是父神生他而非創造他
[00:01:53.000 --> 00:01:57.000]  被生和被造之間有很大的分別
[00:01:57.000 --> 00:02:03.000]  所以主耶穌基督不是被造之物裏面的一部分
[00:02:03.000 --> 00:02:07.000]  他乃是與創造之主合而爲一的
[00:02:07.000 --> 00:02:12.000]  他是創造之主神的兒子
[00:02:12.000 --> 00:02:14.000]  至於長子這個名稱呢
[00:02:14.000 --> 00:02:17.000]  它的意義的重點呢
[00:02:17.000 --> 00:02:22.000]  乃是在於耶穌基督將他自己的兒子的生命
[00:02:22.000 --> 00:02:24.000]  給了那些屬他的人
[00:02:24.000 --> 00:02:27.000]  使他們也成爲神的兒子
[00:02:27.000 --> 00:02:30.000]  耶穌基督自己是神的兒子
[00:02:30.000 --> 00:02:33.000]  他將他自己的兒子的生命
[00:02:33.000 --> 00:02:35.000]  給了那些屬他的人
[00:02:35.000 --> 00:02:38.000]  叫他們也成爲神的兒子
[00:02:38.000 --> 00:02:42.000]  這是何等奇妙的作爲
[00:02:42.000 --> 00:02:43.000]  這樣一來呢
[00:02:43.000 --> 00:02:48.000]  耶穌基督就領許多的兒子進榮耀裏去
[00:02:48.000 --> 00:02:52.000]  這正是第二章第十節所說的
[00:02:52.000 --> 00:02:55.000]  耶穌基督這一位長子
[00:02:55.000 --> 00:02:58.000]  他帶領許多的兒子
[00:02:58.000 --> 00:02:59.000]  就是信他的人
[00:02:59.000 --> 00:03:00.000]  屬他的人
[00:03:00.000 --> 00:03:02.000]  重生得救的人
[00:03:02.000 --> 00:03:04.000]  所天父兒女的人
[00:03:04.000 --> 00:03:07.000]  和他們一起進到榮耀裏去
[00:03:07.000 --> 00:03:09.000]  我們感謝主
[00:03:09.000 --> 00:03:12.000]  主自己到世上來
[00:03:12.000 --> 00:03:14.000]  他成全了救恩
[00:03:14.000 --> 00:03:15.000]  犧牲他的生命
[00:03:15.000 --> 00:03:18.000]  將他的生命給了屬他的人
[00:03:18.000 --> 00:03:20.000]  不但使他們自己的赦免
[00:03:20.000 --> 00:03:23.000]  也是他們承受了主耶穌基督
[00:03:23.000 --> 00:03:26.000]  自己所有的屬天的生命
[00:03:26.000 --> 00:03:27.000]  這樣呢
[00:03:27.000 --> 00:03:31.000]  他就帶着許多的兒子進到榮耀裏去
[00:03:31.000 --> 00:03:33.000]  一個人從榮耀裏來
[00:03:33.000 --> 00:03:37.000]  是帶着許多的兒子回到榮耀裏去
[00:03:37.000 --> 00:03:40.000]  這是何等寶貴的工作
[00:03:40.000 --> 00:03:44.000]  這是真正的成就了父神的旨意
[00:03:44.000 --> 00:03:47.000]  就這種的意義來講
[00:03:47.000 --> 00:03:49.000]  耶穌基督是長子
[00:03:49.000 --> 00:03:54.000]  他在許多的兒子當中是位首的
[00:03:54.000 --> 00:03:57.000]  主耶穌基督在西伯來書裏面
[00:03:57.000 --> 00:03:59.000]  第二個名字是在
[00:03:59.000 --> 00:04:01.000]  還是第一章第二節
[00:04:01.000 --> 00:04:03.000]  我再讀一次
[00:04:03.000 --> 00:04:06.000]  第一章第二節
[00:04:06.000 --> 00:04:08.000]  就在這末世
[00:04:08.000 --> 00:04:11.000]  藉着他兒子小育我們
[00:04:11.000 --> 00:04:15.000]  又早已立他爲承受萬有的
[00:04:15.000 --> 00:04:18.000]  也曾藉着他創造諸世界
[00:04:18.000 --> 00:04:22.000]  我們注意這一節當中的一句話
[00:04:22.000 --> 00:04:26.000]  又早已立他爲承受萬有的
[00:04:26.000 --> 00:04:30.000]  耶穌基督是承受萬有者
[00:04:30.000 --> 00:04:34.000]  這一個承受原文是個名詞
[00:04:34.000 --> 00:04:36.000]  是後次
[00:04:36.000 --> 00:04:39.000]  耶穌基督是萬有的後次
[00:04:39.000 --> 00:04:43.000]  就是從神承受了萬有
