
[00:00:00.000 --> 00:00:10.000]  在大會中,我們有五個方向向上
[00:00:10.000 --> 00:00:22.000]  每天早上,我們的心舉起來敬拜感謝讚美愛我們的三位一體的神
[00:00:22.000 --> 00:00:33.000]  感謝神賜給我們弟兄姊妹的書林的師班,帶領我們進入敬拜
[00:00:33.000 --> 00:00:43.000]  我們向後看,那就是依次教託聖徒的道
[00:00:43.000 --> 00:00:54.000]  聖經,神的启示,兩千年前留給我們
[00:00:54.000 --> 00:01:06.000]  我們無論做什麼,想什麼,我們都是根據聖經,神的道
[00:01:06.000 --> 00:01:19.000]  一切一切的基礎,根據,原則,細則,我們在其中領受
[00:01:19.000 --> 00:01:27.000]  我們向前看,主的再來,榮耀的盼望
[00:01:27.000 --> 00:01:34.000]  我們在歧視路裡頭來領受
[00:01:34.000 --> 00:01:43.000]  我們向內看,感謝神,我們的紀念主白餅的聚會
[00:01:43.000 --> 00:01:51.000]  將主的愛再次澆灌充滿我們的心中
[00:01:51.000 --> 00:02:01.000]  使我們能夠享受主的愛,有回應主的愛,讓這個愛充滿我們
[00:02:01.000 --> 00:02:08.000]  我們願意讓主的愛成為我們一生的動力
[00:02:08.000 --> 00:02:20.000]  我們又向周圍看,我們有許多的專題幫助我們怎麼樣來侍奉
[00:02:20.000 --> 00:02:33.000]  怎麼樣與人的交往,我們對人喘不吟的負擔,周圍的需要
[00:02:33.000 --> 00:02:44.000]  來催促我們追求做賜福的器皿,將神的恩愛福音流出去
[00:02:44.000 --> 00:02:54.000]  這五個方向是每一個基督徒要常常思想的,要常常守住的
[00:02:54.000 --> 00:03:00.000]  把我們整個的基督徒的人生都包裹在內
[00:03:00.000 --> 00:03:10.000]  我們低頭禱告,父神,我們為了祢賜給我們那樣完全的恩典
[00:03:10.000 --> 00:03:21.000]  奇妙的高超的超過我們所求所想的救恩和祢的聖道
[00:03:21.000 --> 00:03:27.000]  主要我們願意不斷的新鮮的領受
[00:03:27.000 --> 00:03:34.000]  讓祢的話每篇都是新的,舊而長新
[00:03:34.000 --> 00:03:40.000]  每篇向發出亮光,我們不但在這裡領受
[00:03:40.000 --> 00:03:48.000]  我們離開大會回到自己的家中,教會中,家庭中,人群中
[00:03:48.000 --> 00:03:54.000]  仍然要新鮮的領受祢的話語
[00:03:54.000 --> 00:04:00.000]  求主在這個時候預備我們的心,除去一切的攔阻
