
[00:00:00.000 --> 00:00:04.360]  我們今天思想的經文是剛才所讀的聖經
[00:00:04.360 --> 00:00:06.520]  路加福音第十二章
[00:00:06.520 --> 00:00:09.160]  請我們打開路加福音第十二章
[00:00:09.160 --> 00:00:11.920]  看看主耶穌要對我們講些什麼說話
[00:00:11.920 --> 00:00:14.480]  路加福音十二章是大家堂用的聖經
[00:00:14.480 --> 00:00:16.840]  是新約的八十一頁
[00:00:16.840 --> 00:00:20.400]  我們剛才是讀十三節開始
[00:00:20.400 --> 00:00:22.520]  路加福音第十二章
[00:00:22.520 --> 00:00:25.640]  路加福音的第十二章
[00:00:25.640 --> 00:00:28.160]  剛才我們所讀的兩段聖經
[00:00:28.160 --> 00:00:32.320]  是耶穌一連串的講論裡面其中的一部分
[00:00:32.320 --> 00:00:35.560]  其實你看回路加福音第十二章一開始的時候
[00:00:35.560 --> 00:00:37.160]  耶穌講這段話的時候
[00:00:37.160 --> 00:00:39.400]  場面是很浩大的
[00:00:39.400 --> 00:00:42.840]  我用這句話來形容絕不過分
[00:00:42.840 --> 00:00:44.680]  因為十二章一開始
[00:00:44.680 --> 00:00:47.560]  他說有上千萬的人
[00:00:47.560 --> 00:00:50.160]  來聽耶穌聚集
[00:00:50.160 --> 00:00:54.520]  和合本也有幾萬人
[00:00:54.520 --> 00:00:56.280]  總之是上千萬的人
[00:00:56.280 --> 00:00:58.400]  甚至彼此踐踏
[00:00:58.400 --> 00:01:00.360]  場面是不是很大
[00:01:00.360 --> 00:01:02.640]  十足尋馬是我們會展的
[00:01:02.640 --> 00:01:04.200]  幾萬人打蛇餅
[00:01:04.200 --> 00:01:05.320]  湧到來
[00:01:05.320 --> 00:01:08.240]  耶穌就跟他們講一些很重要的信息
[00:01:08.240 --> 00:01:10.520]  那裡提到你們對生命應該怎麼看
[00:01:10.520 --> 00:01:12.080]  不需要害怕
[00:01:12.080 --> 00:01:13.800]  十三節之前那裡所講的
[00:01:13.800 --> 00:01:14.720]  耶穌說
[00:01:14.720 --> 00:01:16.200]  那個能夠殺你身體
[00:01:16.200 --> 00:01:17.480]  但是殺不到你的靈魂的
[00:01:17.480 --> 00:01:18.440]  你都不用害怕他
[00:01:18.440 --> 00:01:21.000]  生命的生死
[00:01:21.000 --> 00:01:23.160]  不在人的手裡
[00:01:23.160 --> 00:01:25.920]  最重要你害怕的就是你死了之後
[00:01:25.920 --> 00:01:27.600]  你的靈魂去哪裡
[00:01:27.600 --> 00:01:28.720]  於是耶穌接著說
[00:01:28.720 --> 00:01:31.040]  你能夠承認神的
[00:01:31.040 --> 00:01:33.200]  神就承認你
[00:01:33.200 --> 00:01:36.000]  千萬不要褻瀆聖靈的意思就是說
[00:01:36.000 --> 00:01:39.160]  明明知道真理
[00:01:39.160 --> 00:01:42.520]  但是卻硬心不肯接受的
[00:01:42.520 --> 00:01:43.840]  神都沒辦法
[00:01:43.840 --> 00:01:45.400]  這個才是最害怕
[00:01:45.400 --> 00:01:46.080]  最可怕
[00:01:46.080 --> 00:01:47.640]  最危險的
[00:01:47.640 --> 00:01:49.320]  你褻瀆耶穌
[00:01:49.320 --> 00:01:51.040]  都還可以有彎轉
[00:01:51.040 --> 00:01:52.440]  但是你硬心
[00:01:52.440 --> 00:01:53.560]  神給你機會
[00:01:53.560 --> 00:01:54.640]  你都不肯相信的
[00:01:54.640 --> 00:01:55.880]  褻瀆聖靈的意思
[00:01:55.880 --> 00:01:57.600]  在你心裡的感動
[00:01:57.600 --> 00:02:00.160]  你就真的沒彎轉了
[00:02:00.160 --> 00:02:01.720]  這是一個很重要的
[00:02:01.720 --> 00:02:04.680]  非常嚴肅的信息
[00:02:04.680 --> 00:02:05.760]  耶穌說到這裡的時候
[00:02:05.760 --> 00:02:07.320]  突然間反高潮來了
[00:02:07.320 --> 00:02:08.240]  十三節
[00:02:08.240 --> 00:02:08.960]  有個人走出來
[00:02:08.960 --> 00:02:10.200]  喂 耶穌啊
