
[00:00:00.000 --> 00:00:11.000]  父神,我們敬拜祢,我們向祢舉目,我們在祢面前等候。
[00:00:11.000 --> 00:00:26.000]  主啊,我們有的時候不曉得怎麼樣預備自己的心求聖靈,引導我們進入敬拜,進入聆聽,祢的話語就是生命之道。
[00:00:26.000 --> 00:00:37.000]  讓祢的生命不斷地藉著祢的話流入我們的心中,讓我們常常地和祢的生命結連一起。
[00:00:37.000 --> 00:00:48.000]  主啊,求祢常常地開通我們的耳朵,開通我們的心跳。
[00:00:48.000 --> 00:01:00.000]  主啊,也求祢今天開通祢僕人的口,將祢的話語傳達得清楚,求祢親自舉手為。
[00:01:00.000 --> 00:01:29.000]  祢坐在寶座上,我們聆聽寶座上的聲音。主啊,恩待這個時間,我們奉獻給祢,我們全心全意地在祢的恩祚前仰望等候,我們要得,我們求祢幫助我們得,不讓我們空空的這個時間,憐憫你的僕人。
[00:01:29.000 --> 00:01:35.000]  我們這樣的祈求感謝願望,奉主耶穌基督的名。
[00:01:35.000 --> 00:01:59.000]  阿們。
[00:01:59.000 --> 00:02:03.000]  加在一起是五十六次。
[00:02:03.000 --> 00:02:09.000]  這一個明顯的重點,我們一定要抓住。
[00:02:09.000 --> 00:02:25.000]  約翰福音非常寶貴的地方之一,就是把我們帶進真淑玲的境界裡面,帶領我們做一個真的人。
[00:02:25.000 --> 00:02:41.000]  真是一個很高的形容詞,如果我們說某某人很真,那是一個很難得到的,從心裡發出來的稱讚。
[00:02:41.000 --> 00:02:47.000]  淑玲,有真淑玲,有假淑玲。
[00:02:47.000 --> 00:02:50.000]  有真,就有假。
[00:02:50.000 --> 00:02:57.000]  假淑玲是外貌的淑玲,是言語上的淑玲。
[00:02:57.000 --> 00:03:04.000]  真淑玲是裡面活在神的面光之中。
[00:03:04.000 --> 00:03:12.000]  求神幫助我們,帶領我們學這一個字,真,真。
[00:03:12.000 --> 00:03:20.000]  如果我們能夠被主稱為真,我們是何等的有福。
[00:03:20.000 --> 00:03:37.000]  有一個很愛主的弟兄這樣說,他說我發現我裡面有的時候有法利賽人的表現,法利賽人的氣質。
[00:03:37.000 --> 00:03:51.000]  一個很愛主的人,但是他這樣感受自己在神的面前,有的時候有法利賽人的表現。
[00:03:51.000 --> 00:03:58.000]  你我或多或少都有些法利賽人的氣質。
[00:03:58.000 --> 00:04:09.000]  我們的靈性長進就是更多更多的脫離法利賽人,進入淑玲的真境。
[00:04:09.000 --> 00:04:21.000]  如果我們能夠從主聽見對我們自己說,你是我的真門徒,那我們有福了。
[00:04:21.000 --> 00:04:30.000]  所以我們再一次繼續的領受在《禹漢不音》中的淑玲真境。
[00:04:30.000 --> 00:04:41.000]  昨天我們已經看真救主,我們得到這一位真救主,我們就有永生的盼望。
[00:04:41.000 --> 00:05:01.000]  這一位真救主,不但救我們脫離永遠的滅亡,也救我們脫離罪的詮釋,讓我們能夠進入與基督聯合的生命的真境。
[00:05:01.000 --> 00:05:17.000]  這是何等寶貴的救主,我們昨天看了《禹漢不音》中十方面的證據,向我們充分的證明耶穌基督是真的救主。
[00:05:17.000 --> 00:05:34.000]  我們要信祂,我們必須信祂,只有這位真救主才能夠拯救我們脫離永死,也脫離撒旦的詮釋,進入神的國的境界裡面。
[00:05:34.000 --> 00:05:42.000]  今天我們開始看第二章,真葡萄樹。
[00:05:42.000 --> 00:05:54.000]  《禹漢不音》十五章,大家翻到這章的聖經,我們要看的都集中在這一章聖經裡面。
[00:05:54.000 --> 00:06:09.000]  《禹漢不音》第十五章,第一節這樣說,主的話說:「我是真葡萄樹,主是真葡萄樹。」
[00:06:09.000 --> 00:06:21.000]  主用這個「真」字的一個背景,就是當時在聖殿的大門口雕刻了葡萄樹的形象。
[00:06:21.000 --> 00:06:30.000]  很多的人從聖殿的大門口出出入入,看慣了那顆雕刻葡萄樹的形象。
[00:06:30.000 --> 00:06:42.000]  主耶穌說:「那是玉表,我是這個玉表的實體,我是真葡萄樹。」
[00:06:42.000 --> 00:06:55.000]  我們得到主耶穌說我們的真葡萄樹,而我們自己做這個真葡萄樹上的「真」字。
[00:06:55.000 --> 00:07:09.000]  「你是」、「我是」,我們和真葡萄樹結連,真葡萄樹的生命的之江就流入「真」字裡面。
[00:07:09.000 --> 00:07:17.000]  我們要看三種的「之」字,主告訴我們在第二節:
[00:07:17.000 --> 00:07:21.000]  「凡屬我不貼我字的「之」字。」
[00:07:21.000 --> 00:07:29.000]  這個屬主是名譽上的屬主,外表的屬主。
[00:07:29.000 --> 00:07:41.000]  所以這是代表萬名的基督徒,因為他們名譽上屬主,卻不接「國」字。
[00:07:41.000 --> 00:07:48.000]  不接「國」字就是沒有接「國」字的生命,沒有接「國」字的生命就是沒有真生命。
[00:07:48.000 --> 00:07:54.000]  沒有真生命的基督徒是萬名的基督徒。
[00:07:54.000 --> 00:08:01.000]  每一個教會裡頭,都有一些萬名的基督徒。
[00:08:01.000 --> 00:08:16.000]  感謝聖靈,祂常常在教會裡運行,提醒那些名字在教會名冊上的人,自我審查,我是不是一個萬名的基督徒呢?
[00:08:16.000 --> 00:08:21.000]  我有接出來屬靈的「國」字嗎?
[00:08:21.000 --> 00:08:28.000]  有沒有接「國」字就顯出來這個人是不是有真生命。
[00:08:28.000 --> 00:08:41.000]  如果沒有真生命就是萬名的基督徒,這樣的人最後的「結果」主說,他就全去。
[00:08:41.000 --> 00:08:46.000]  第二種,接「國」字的基督徒。
[00:08:46.000 --> 00:08:53.000]  凡接「國」字的,有的人接「國」字,感謝主,接「國」字。
[00:08:53.000 --> 00:09:02.000]  但是主對我們的期待更高一層,不但接「國」字,還要我們接「國」字更多。
[00:09:02.000 --> 00:09:08.000]  這是第三種的執著,多接「國」字。
[00:09:08.000 --> 00:09:15.000]  這是怎麼樣得到的多接「國」字的這個境界呢?
[00:09:15.000 --> 00:09:19.000]  條件,修檢。
[00:09:19.000 --> 00:09:27.000]  他就修理乾淨,要修檢。
[00:09:27.000 --> 00:09:31.000]  神幫助我們接「國」字。
[00:09:31.000 --> 00:09:40.000]  在基督裡,帶我們到接「國」字的地步還不滿足,我們自己也不滿足。
[00:09:40.000 --> 00:09:44.000]  主要我們接「國」字更多。
[00:09:44.000 --> 00:09:48.000]  主要我們進入豐盛生命的境界。
[00:09:48.000 --> 00:10:00.000]  但是條件,一成不變,永不改變,要被修理,被潔淨,受對付。
[00:10:00.000 --> 00:10:11.000]  我們每一個基督徒,如果你真渴慕要接「國」字更多,讓我們準備好,讓主對付。
[00:10:11.000 --> 00:10:26.000]  當主拿起他的剪刀的時候,執子看見剪刀就怕了,不願意接受修檢,甚至拒絕被修檢。
[00:10:26.000 --> 00:10:28.000]  主啊,不是的。
[00:10:28.000 --> 00:10:35.000]  這聖經裡有這兩個字連在一起,主啊,不是的。
[00:10:35.000 --> 00:10:42.000]  主既然是主,祂有主權,祂既然是我的主,我不能對祂說不是。
[00:10:42.000 --> 00:10:49.000]  如果主真是我的主,我只能說一個字,是,主啊,是的。
[00:10:49.000 --> 00:10:55.000]  但是我們不知不覺有了這個矛盾,主啊,不是的。
[00:10:55.000 --> 00:11:03.000]  我們接受主的對付,接受主的修檢。
[00:11:03.000 --> 00:11:13.000]  每一個人,沒有例外,都必須接受修檢,而且天天接受。
[00:11:13.000 --> 00:11:20.000]  我們跟從主,就是說背起祂的十字架來,天天跟從我。
[00:11:20.000 --> 00:11:29.000]  我們人生的價值的總和,是一天一天的成績堆積而成的。
[00:11:29.000 --> 00:11:36.000]  不是一要跳一跳就得到的,是按部就班。
