
[00:00:00.000 --> 00:00:04.000]  究竟摩西五經是否指向基督呢?
[00:00:04.000 --> 00:00:06.820]  今日跟大家介紹一本書
[00:00:06.820 --> 00:00:11.000]  書名叫做摩西五經重的基督之影
[00:00:11.000 --> 00:00:13.540]  作者叫做Vern Poivre
[00:00:13.540 --> 00:00:17.360]  中文翻譯為普惠恩
[00:00:17.360 --> 00:00:23.540]  他是一個非常有名的新約研究學者
[00:00:23.540 --> 00:00:32.540]  他是ESV聖經英文標準版的翻譯委員會的新約主席
[00:00:32.540 --> 00:00:37.840]  同時也是改革中的神學家
[00:00:37.840 --> 00:00:41.840]  他是Wesminster Theological Seminary的教授
[00:00:41.840 --> 00:00:44.340]  他現在年紀都大了,已經80歲
[00:00:44.340 --> 00:00:47.640]  但我選這本書是因為很特別的
[00:00:47.640 --> 00:00:52.340]  因為我們看過往幾十年的聖經研究學界
[00:00:52.340 --> 00:00:57.340]  特別對於希伯來聖經、舊約聖經的研究
[00:00:57.340 --> 00:01:00.340]  一般我們讀神學也好
[00:01:00.340 --> 00:01:04.840]  都會從一個歷史批判的方法去看摩西五經
[00:01:04.840 --> 00:01:07.840]  比較關心來源的東西
[00:01:07.840 --> 00:01:09.840]  編輯層次的問題
[00:01:09.840 --> 00:01:13.340]  講很多古近東背景的問題
[00:01:13.340 --> 00:01:21.840]  似乎現在已經沒有人再從一個新約的觀點去看摩西五經
[00:01:21.840 --> 00:01:26.340]  所以今天想和大家看看1991年的這本書
[00:01:26.340 --> 00:01:30.340]  這本作品究竟當時的人是怎樣理解
[00:01:30.340 --> 00:01:35.340]  或者當時的學者是怎樣理解摩西五經的呢?
[00:01:35.340 --> 00:01:37.340]  很有趣的是
[00:01:37.340 --> 00:01:41.840]  這本書的標題已經講得很清楚
[00:01:41.840 --> 00:01:45.840]  就是The Shadow of Christ in the Law of Moses
[00:01:45.840 --> 00:01:55.840]  摩西五經其實是一個彰顯基督的影
[00:01:55.840 --> 00:01:57.840]  是一個影來的
[00:01:57.840 --> 00:01:59.840]  讓我們看到基督
[00:01:59.840 --> 00:02:01.840]  是指向基督
[00:02:01.840 --> 00:02:04.840]  清楚一點來說
[00:02:04.840 --> 00:02:08.840]  如果摩西律法是一個影
[00:02:08.840 --> 00:02:13.840]  去到基督才是真正的實體
[00:02:13.840 --> 00:02:18.840]  平時看摩西律法只是看到基督的影
[00:02:18.840 --> 00:02:23.840]  所以我們看下去其實是怎樣論述呢?
[00:02:23.840 --> 00:02:26.840]  一開始是講摩西的回望
[00:02:26.840 --> 00:02:28.840]  我想很多人可能會問
[00:02:28.840 --> 00:02:31.840]  為何《出埃及記》這麼麻煩
[00:02:31.840 --> 00:02:37.840]  花這麼多時間去講回望的尺寸、顏色、材料
[00:02:37.840 --> 00:02:43.840]  作者會說其實回望不是普通的像幕
[00:02:43.840 --> 00:02:45.840]  即是我們建造一個普通的像幕
[00:02:45.840 --> 00:02:47.840]  其實是在說彌賽亞
[00:02:47.840 --> 00:02:51.840]  是在反映整個救恩
[00:02:51.840 --> 00:02:56.840]  所以回望其實是想說上帝想和我們同住
[00:02:56.840 --> 00:02:58.840]  說Emmanuel
[00:02:58.840 --> 00:03:06.840]  回望的結構其實是在說上帝的神聖秩序
[00:03:06.840 --> 00:03:08.840]  祂的聖結
[00:03:08.840 --> 00:03:16.840]  而憲制只有透過宗保才可以靠近上帝
[00:03:16.840 --> 00:03:19.840]  所以一直去到新約我們便會明白
[00:03:19.840 --> 00:03:21.840]  因為去到新約我們便明白
[00:03:21.840 --> 00:03:24.840]  原來耶穌才是真正的聖秩
[00:03:24.840 --> 00:03:31.840]  我們透過耶穌才是神和人相遇的地方
[00:03:31.840 --> 00:03:35.840]  所以回望不是一個過時的建築
[00:03:35.840 --> 00:03:40.840]  而是指向基督的表徵
[00:03:40.840 --> 00:03:42.840]  之後他再說憲制
[00:03:42.840 --> 00:03:45.840]  他說美妓裏面有很多憲制
[00:03:45.840 --> 00:03:50.840]  有Burnt Offering、Sin Offering、Grain Offering
[00:03:50.840 --> 00:03:58.840]  作者說其實獻動物這個憲制本身是不能取締的
[00:03:58.840 --> 00:04:03.840]  其實只是指向一個完美的替代者
[00:04:03.840 --> 00:04:05.840]  其實他在這裡帶出基督
[00:04:05.840 --> 00:04:08.840]  他說一個很重要的神學觀念
[00:04:08.840 --> 00:04:11.840]  其實在贖罪論裏面很重要的觀念
[00:04:11.840 --> 00:04:13.840]  就是Penal Substitution
[00:04:13.840 --> 00:04:15.840]  代罰救贖論
[00:04:15.840 --> 00:04:20.840]  就是基督代替我們去承受那份刑罰
[00:04:20.840 --> 00:04:24.840]  所以他認為我們在舊約已經看得到
[00:04:24.840 --> 00:04:27.840]  這個很重要的贖罪觀念
[00:04:27.840 --> 00:04:30.840]  其實就是Penal Substitution
[00:04:30.840 --> 00:04:36.840]  他再說到關於墨基使德的等次
[00:04:36.840 --> 00:04:40.840]  他說舊約的祭司其實是一個鐘堡
[00:04:40.840 --> 00:04:46.840]  所以他們本身亦會犯罪、死亡
[00:04:46.840 --> 00:04:48.840]  要為自己去獻祭
[00:04:48.840 --> 00:04:50.840]  所以他們是不完美的
[00:04:50.840 --> 00:04:53.840]  而因為這班祭司是不完美的
[00:04:53.840 --> 00:04:56.840]  所以我們才要一個更加高的祭司
[00:04:56.840 --> 00:04:58.840]  所以在新約希伯來書
[00:04:58.840 --> 00:05:02.840]  說耶穌是按墨基使德的等次
[00:05:02.840 --> 00:05:04.840]  成為大祭司
[00:05:04.840 --> 00:05:07.840]  所以重點的意思是
[00:05:07.840 --> 00:05:12.840]  耶穌這個祭司不是暫時性
[00:05:12.840 --> 00:05:14.840]  而是永遠有效
[00:05:14.840 --> 00:05:16.840]  所以亞倫的制度本身
[00:05:16.840 --> 00:05:18.840]  我們看到在摩西五經裏面
[00:05:18.840 --> 00:05:21.840]  其實是一個不足的制度
[00:05:21.840 --> 00:05:26.840]  反而是指向一個永遠有效
[00:05:26.840 --> 00:05:28.840]  一個完美的制度
[00:05:28.840 --> 00:05:31.840]  所以為何說耶穌是按墨基使德的等次
[00:05:31.840 --> 00:05:33.840]  成為大祭司
[00:05:33.840 --> 00:05:35.840]  我們再看下去
[00:05:35.840 --> 00:05:40.840]  他在說摩西律法的道德秩序
[00:05:40.840 --> 00:05:43.840]  他在說很多的潔淨條例
[00:05:43.840 --> 00:05:45.840]  甚麼可以吃、甚麼不可以吃
[00:05:45.840 --> 00:05:47.840]  其實作者在說
[00:05:47.840 --> 00:05:49.840]  這些東西是象徵甚麼呢?
[00:05:49.840 --> 00:05:54.840]  就是一個類似生命對比死亡
[00:05:54.840 --> 00:05:57.840]  混亂、秩序對比混亂
[00:05:57.840 --> 00:06:00.840]  性別對比腐敗
[00:06:00.840 --> 00:06:02.840]  這些東西在新約的時候
[00:06:02.840 --> 00:06:06.840]  就已經不需要再靠食物區分
[00:06:06.840 --> 00:06:11.840]  而是靠基督耶穌裏面的新生命
[00:06:11.840 --> 00:06:14.840]  所以當我們的新生命被區分
[00:06:14.840 --> 00:06:18.840]  這些道德秩序就已經再顯示出來
[00:06:18.840 --> 00:06:23.840]  所以就不需要再靠愛在手的規條
[00:06:23.840 --> 00:06:26.840]  整本書其實想說的是
[00:06:26.840 --> 00:06:30.840]  摩西律法不是和耶穌、基督對立
[00:06:30.840 --> 00:06:33.840]  而是圍繞基督鋪路
[00:06:33.840 --> 00:06:38.840]  所以作者特別想說
[00:06:38.840 --> 00:06:41.840]  我們讀摩西律法、讀摩西五經的時候
[00:06:41.840 --> 00:06:45.840]  就不會變成一個律法主義者
[00:06:45.840 --> 00:06:48.840]  反而是越讀摩西律法、摩西五經
[00:06:48.840 --> 00:06:51.840]  就應該越認識基督
[00:06:51.840 --> 00:06:53.840]  所以很有趣
[00:06:53.840 --> 00:06:55.840]  這本書讓我們看到
[00:06:55.840 --> 00:06:59.840]  1991年,三十多年前的時候
[00:06:59.840 --> 00:07:04.840]  聖經學者都還有人會比較用
[00:07:04.840 --> 00:07:07.840]  新約的角度去理解摩西五經
[00:07:07.840 --> 00:07:09.840]  亦都讓我們看到
[00:07:09.840 --> 00:07:15.840]  其實和現在一般主流的聖經研究學界
[00:07:15.840 --> 00:07:19.840]  特別希伯來聖經舊約已經有個不同
[00:07:19.840 --> 00:07:21.840]  但都覺得很有意義
