
[00:00:00.000 --> 00:00:03.880]  (字幕組:請按讚、訂閱、分享)
[00:00:03.880 --> 00:00:09.240]  讓我們看看今天有什麼問題
[00:00:09.240 --> 00:00:14.920]  金句式採用經文有什麼問題?
[00:00:14.920 --> 00:00:19.480]  這個問題其實是關於一個金句
[00:00:19.480 --> 00:00:23.000]  我們經常用金句的一種現象
[00:00:23.000 --> 00:00:27.080]  我自己認為金句其實不是一個問題
[00:00:27.080 --> 00:00:32.400]  而金句的使用和所使用的處境
[00:00:32.400 --> 00:00:33.840]  是否很合適呢?
[00:00:33.840 --> 00:00:35.920]  這是一個很重要的問題
[00:00:35.920 --> 00:00:40.240]  而我認為金句之所以成為金句
[00:00:40.240 --> 00:00:41.640]  其實是有它的原因的
[00:00:41.640 --> 00:00:43.600]  這麼多處的經文
[00:00:43.600 --> 00:00:46.640]  你只選這一處的經文作為金句
[00:00:46.640 --> 00:00:47.960]  其實是有原因的
[00:00:47.960 --> 00:00:52.280]  一定是因為這一句金句可能安慰了很多人
[00:00:52.280 --> 00:00:55.840]  或者大家的使用率很高
[00:00:55.840 --> 00:00:58.360]  至於金句本身
[00:00:58.360 --> 00:01:02.880]  很有可能它本身是有一種超越處境和時間的能力
[00:01:02.880 --> 00:01:06.560]  讓不同時間的人在不同處境裡面
[00:01:06.560 --> 00:01:09.720]  都可以感受到信仰的力量
[00:01:09.720 --> 00:01:12.000]  或者金句所提出的力量
[00:01:12.000 --> 00:01:14.120]  譬如我們探病的時候
[00:01:14.120 --> 00:01:16.600]  有時都會用一些經文的安慰
[00:01:16.600 --> 00:01:20.040]  譬如在《腓臘比書》第四章六至七節說
[00:01:20.040 --> 00:01:21.800]  應當一無掛慮
[00:01:21.800 --> 00:01:24.840]  我們凡事藉著感恩
[00:01:24.840 --> 00:01:25.920]  藉著祈禱
[00:01:25.920 --> 00:01:27.560]  藉著感謝等等
[00:01:27.560 --> 00:01:32.680]  用這些經文在病床邊的時候
[00:01:32.680 --> 00:01:34.800]  其實是很有力量的
[00:01:34.800 --> 00:01:38.520]  而你不會在床邊和它開始去展開
[00:01:38.520 --> 00:01:42.760]  去解釋一下經文的歷史處境
[00:01:42.760 --> 00:01:44.760]  那些一大堆
[00:01:44.760 --> 00:01:46.320]  或者我們在婚禮裡面
[00:01:46.320 --> 00:01:48.960]  都會用一些歸外的經文
[00:01:48.960 --> 00:01:52.840]  但其實原先的經文不是在說婚姻
[00:01:52.840 --> 00:01:54.720]  但我們都會照用
[00:01:54.720 --> 00:01:57.840]  是因為我們真的在經文裡面
[00:01:57.840 --> 00:02:01.320]  體會到那種對愛情的理解
[00:02:01.320 --> 00:02:04.400]  所以其實我認為金句是有一個
[00:02:04.400 --> 00:02:06.200]  它本身有一個價值在這裡
[00:02:06.200 --> 00:02:08.200]  但是問題就在於
[00:02:08.200 --> 00:02:10.200]  如果它被濫用的話
