
[00:00:00.000 --> 00:00:03.000]  我們再看聖經希伯來書第五章
[00:00:03.000 --> 00:00:05.240]  我們剛才讀的經文
[00:00:05.240 --> 00:00:14.280]  當你想到必須長大成人的時候
[00:00:14.280 --> 00:00:18.280]  我就想起一句我們中國人常常說的話
[00:00:18.280 --> 00:00:21.320]  這句話你和我都會常常聽到的
[00:00:21.320 --> 00:00:23.880]  就是逆水行舟
[00:00:23.880 --> 00:00:27.800]  然後不進則退
[00:00:29.120 --> 00:00:30.320]  對於基督徒來說
[00:00:30.320 --> 00:00:32.160]  在信仰的路上
[00:00:32.160 --> 00:00:35.680]  一路來跟隨 一路去追求
[00:00:35.680 --> 00:00:39.720]  但是何時我們不再成長
[00:00:39.720 --> 00:00:41.720]  不再向前走
[00:00:41.720 --> 00:00:44.440]  我們是不會停頓
[00:00:44.440 --> 00:00:47.000]  而是會倒退
[00:00:47.000 --> 00:00:50.040]  不單止停頓
[00:00:50.040 --> 00:00:51.880]  其實是會倒退
[00:00:51.880 --> 00:00:54.560]  聖經上勉勵我們
[00:00:54.560 --> 00:00:57.640]  不要以為我們已經領受了神給我們的救恩
[00:00:57.840 --> 00:01:01.280]  因此我們就翹起手等著上天堂
[00:01:01.280 --> 00:01:03.680]  而是內心裏面知道
[00:01:03.680 --> 00:01:07.960]  上帝將他的應許賜給我們
[00:01:07.960 --> 00:01:09.800]  而我們憑著信心
[00:01:09.800 --> 00:01:12.520]  不斷在應許來進發
[00:01:12.520 --> 00:01:14.560]  直至我們得著神
[00:01:14.560 --> 00:01:16.800]  要給我們全部的恩惠
[00:01:16.800 --> 00:01:18.160]  所以弟兄姊妹
[00:01:18.160 --> 00:01:20.200]  在今天我們讀希伯來書的時候
[00:01:20.200 --> 00:01:22.480]  你留意聖經一路提醒
[00:01:22.480 --> 00:01:23.760]  鼓勵我們
[00:01:23.760 --> 00:01:25.320]  不要停止
[00:01:25.640 --> 00:01:26.960]  繼續追求
[00:01:26.960 --> 00:01:28.560]  長大成人
[00:01:28.560 --> 00:01:32.320]  在第五章第一節十一節開始
[00:01:32.320 --> 00:01:34.120]  你發覺聖經正是說
[00:01:34.120 --> 00:01:37.040]  弟兄姊妹要追求成長
[00:01:37.040 --> 00:01:38.240]  免得我們倒退
[00:01:38.240 --> 00:01:41.000]  成為了一個屬靈的嬰孩
[00:01:41.000 --> 00:01:43.200]  所以第十一節是這樣說的
