
[00:00:00.000 --> 00:00:05.500]  復活節是一個充滿了盼望和榮耀的日子
[00:00:05.500 --> 00:00:13.000]  我們經過了昨晚我們在十字架的墨相裏面
[00:00:13.000 --> 00:00:15.000]  看見我們的主的受苦
[00:00:15.000 --> 00:00:18.000]  看見祂為我們的愛和犧牲
[00:00:18.000 --> 00:00:21.000]  但是今天開始我們帶著一個榮耀的盼望
[00:00:21.000 --> 00:00:24.000]  我們等候是星期一
[00:00:24.000 --> 00:00:28.000]  我們明天我們的主復活所帶來的盼望
[00:00:28.000 --> 00:00:33.000]  所以今天我和大家分享的內容
[00:00:33.000 --> 00:00:37.000]  寫了在我們這個分頁
[00:00:37.000 --> 00:00:38.000]  大家可以拿出來
[00:00:38.000 --> 00:00:40.000]  因為我待會有些經文
[00:00:40.000 --> 00:00:42.000]  有些東西要和大家一起看
[00:00:42.000 --> 00:00:45.000]  剛才讀的那段經文其實在後面
[00:00:45.000 --> 00:00:49.000]  主要是來自哥林多前書的第十五章
[00:00:49.000 --> 00:00:52.000]  當中有很多很寶貴的經文
[00:00:52.000 --> 00:00:54.000]  有很多寶貴的意思
[00:00:54.000 --> 00:00:57.000]  但是今天我們不能夠只停留在這一章的聖經
[00:00:57.000 --> 00:01:02.000]  我們會將聖經裏面很多很重要的經文
[00:01:02.000 --> 00:01:04.000]  尤其是在啟示錄裏面
[00:01:04.000 --> 00:01:09.000]  大義禮書裏面和大家一起來分享
[00:01:09.000 --> 00:01:11.000]  今天剛才我們說
[00:01:11.000 --> 00:01:13.000]  通常我們復活節的主人
[00:01:13.000 --> 00:01:16.000]  我們都講很多回顧在二千年前
[00:01:16.000 --> 00:01:19.000]  我們主耶穌復活那天發生什麼事
[00:01:19.000 --> 00:01:22.000]  後來是產生什麼影響
[00:01:22.000 --> 00:01:25.000]  這個當然是最重要最重要的一個信息
[00:01:25.000 --> 00:01:27.000]  今天我有少少不同的做法
[00:01:27.000 --> 00:01:30.000]  我希望將我們不是帶向回顧
[00:01:30.000 --> 00:01:34.000]  二千年前我們主耶穌復活這件光天動地的事
[00:01:34.000 --> 00:01:37.000]  我想和大家由耶穌基督的復活
[00:01:37.000 --> 00:01:40.000]  我們帶到去永恆前瞻
[00:01:40.000 --> 00:01:43.000]  而前瞻的我們不單止看見那位復活的主
[00:01:43.000 --> 00:01:45.000]  將來坐在寶座上
[00:01:45.000 --> 00:01:47.000]  我們還看見我們自己
[00:01:47.000 --> 00:01:50.000]  感謝主我們看見我們自己都在那裏
[00:01:50.000 --> 00:01:52.000]  我們今天我們看在那裏
[00:01:52.000 --> 00:01:54.000]  我們向前來看
[00:01:54.000 --> 00:01:56.000]  我們就試一試
[00:01:56.000 --> 00:01:58.000]  用這半個小時的時間
[00:01:58.000 --> 00:02:01.000]  走這個永恆的旅程
[00:02:01.000 --> 00:02:03.000]  我們一起來用少少心思
[00:02:03.000 --> 00:02:05.000]  我今天不是教書
[00:02:05.000 --> 00:02:08.000]  不過我也有些東西要大家用腦去想
[00:02:08.000 --> 00:02:10.000]  不過不會很難
[00:02:10.000 --> 00:02:12.000]  大家一起來看著我們的講義
[00:02:12.000 --> 00:02:14.000]  你就會明白
[00:02:14.000 --> 00:02:17.000]  剛才我們那段的聖經
[00:02:17.000 --> 00:02:18.000]  我抽了一些出來
[00:02:18.000 --> 00:02:19.000]  我想講給大家聽
[00:02:19.000 --> 00:02:22.000]  為什麼我們要特別留意那些的部分
[00:02:22.000 --> 00:02:25.000]  當然如果你讀完哥倫多前書十五章
[00:02:25.000 --> 00:02:26.000]  就會很好了
[00:02:26.000 --> 00:02:27.000]  不過不要緊
[00:02:27.000 --> 00:02:28.000]  剛才那段裏面
[00:02:28.000 --> 00:02:30.000]  我和大家看一看
[00:02:30.000 --> 00:02:33.000]  有幾個很重要的真理的信息
[00:02:33.000 --> 00:02:34.000]  第一個
[00:02:34.000 --> 00:02:35.000]  大家記得嗎
[00:02:35.000 --> 00:02:36.000]  二十字至二十五字
[00:02:36.000 --> 00:02:37.000]  剛才我們讀的時候
[00:02:37.000 --> 00:02:40.000]  我相信你心裏面都有個印象
[00:02:40.000 --> 00:02:42.000]  有個很重要的真理
[00:02:42.000 --> 00:02:44.000]  那裏講到耶穌基督復活
[00:02:44.000 --> 00:02:45.000]  當然是不得了的事
[00:02:45.000 --> 00:02:47.000]  不過耶穌基督的復活
[00:02:47.000 --> 00:02:49.000]  有一個很重要的implication
[00:02:49.000 --> 00:02:51.000]  有個很重要提醒我們的
[00:02:51.000 --> 00:02:53.000]  就是耶穌基督復活
[00:02:53.000 --> 00:02:56.000]  我們屬於耶穌基督的人
[00:02:56.000 --> 00:02:58.000]  將來都同樣要復活
[00:02:58.000 --> 00:03:02.000]  這個真是一個天好的最大的消息
[00:03:02.000 --> 00:03:04.000]  我們很感謝我們自己教會
[00:03:04.000 --> 00:03:07.000]  可以在今天我們很美麗
[00:03:07.000 --> 00:03:10.000]  很彩色的程序單裏面
[00:03:10.000 --> 00:03:11.000]  列了這句話
[00:03:11.000 --> 00:03:14.000]  成為我今天想和大家分享的最主要主題
[00:03:14.000 --> 00:03:16.000]  基督復活了
[00:03:16.000 --> 00:03:19.000]  我們也要復活
[00:03:19.000 --> 00:03:22.000]  這個就是我們今天很重要的訊息
[00:03:22.000 --> 00:03:23.000]  剛才那段聖經說
[00:03:23.000 --> 00:03:25.000]  耶穌兩次講了
[00:03:25.000 --> 00:03:26.000]  我們的主耶穌
[00:03:26.000 --> 00:03:27.000]  他復活的時候
[00:03:27.000 --> 00:03:28.000]  二千年前
[00:03:28.000 --> 00:03:31.000]  但是他成為初熟的果子
[00:03:31.000 --> 00:03:32.000]  大家知道
[00:03:32.000 --> 00:03:33.000]  初熟的果子
[00:03:33.000 --> 00:03:34.000]  就是告訴我們
[00:03:34.000 --> 00:03:37.000]  整塊田或者整個果園
[00:03:37.000 --> 00:03:38.000]  開始熟了
[00:03:38.000 --> 00:03:39.000]  蘋果紅了
[00:03:39.000 --> 00:03:41.000]  接著你可以預計
[00:03:41.000 --> 00:03:42.000]  其他的果樹
[00:03:42.000 --> 00:03:44.000]  接著就熟下去了
[00:03:44.000 --> 00:03:46.000]  就是說耶穌基督的復活
[00:03:46.000 --> 00:03:48.000]  並不是一個單獨的事件
[00:03:48.000 --> 00:03:49.000]  耶穌基督的復活
[00:03:49.000 --> 00:03:50.000]  我們的主的復活
[00:03:50.000 --> 00:03:53.000]  成為我們一個很重要的肯定
[00:03:53.000 --> 00:03:55.000]  如果耶穌復活了
[00:03:55.000 --> 00:03:57.000]  就是我們屬於耶穌的人
[00:03:57.000 --> 00:03:58.000]  你和我
[00:03:58.000 --> 00:03:59.000]  如果屬於耶穌的人
[00:03:59.000 --> 00:04:03.000]  我們將來都和耶穌一樣這樣去復活
[00:04:03.000 --> 00:04:05.000]  什麼時候復活呢?
[00:04:05.000 --> 00:04:07.000]  剛才那段聖經第一段那裡說到
