
[00:00:00.000 --> 00:00:03.600]  甚麼是在你生命當中最重要的呢?
[00:00:03.600 --> 00:00:06.800]  接著在這段經文一開始
[00:00:06.800 --> 00:00:09.600]  有極多的人與耶穌同行
[00:00:09.600 --> 00:00:12.200]  祂轉過來對他們說
[00:00:12.200 --> 00:00:16.280]  其實耶穌剛剛在加里尼出來侍奉的時候
[00:00:16.280 --> 00:00:18.680]  當時有很多宗教領袖
[00:00:18.680 --> 00:00:23.280]  法利塞人、文士去抵擋耶穌
[00:00:23.280 --> 00:00:26.200]  亦都已經商議怎樣去對付耶穌
[00:00:26.200 --> 00:00:31.600]  但與此同時亦有很多群眾繼續跟從耶穌
[00:00:31.600 --> 00:00:34.200]  聽從耶穌所說的真理
[00:00:34.200 --> 00:00:37.200]  即是學習怎樣去跟從上帝
[00:00:37.200 --> 00:00:39.600]  就在這段時間裏面
[00:00:39.600 --> 00:00:42.200]  當耶穌與一班法利塞人講
[00:00:42.200 --> 00:00:46.800]  一班宗教領袖說你們應該怎樣去跟從上帝
[00:00:46.800 --> 00:00:49.000]  對這班人作出呼召
[00:00:49.000 --> 00:00:52.000]  接著耶穌轉過來對這班群眾
[00:00:52.000 --> 00:00:55.000]  祂對這班群眾說出同一個訊息
[00:00:55.000 --> 00:01:00.200]  就是一個人怎樣才可以得到上帝左慈永恆的福氣
[00:01:00.200 --> 00:01:04.000]  祂對這班群眾作出同樣的呼召
[00:01:04.000 --> 00:01:06.600]  在第26至27節說
[00:01:06.600 --> 00:01:08.600]  「人到我這裏來若不愛我
[00:01:08.600 --> 00:01:12.600]  勝過自己的父母、妻子、兒女、弟兄、姐妹
[00:01:12.600 --> 00:01:15.400]  和自己的姓名,就不能作我的門徒
[00:01:15.400 --> 00:01:18.800]  凡不背著自己十字架跟從我的
[00:01:18.800 --> 00:01:21.400]  也不能作我的門徒」
[00:01:21.400 --> 00:01:23.600]  耶穌在這裏說
[00:01:23.600 --> 00:01:25.200]  究竟在你人生當中
[00:01:25.200 --> 00:01:29.200]  甚麼是最重要的呢?
[00:01:29.200 --> 00:01:30.800]  是物質重要?
[00:01:30.800 --> 00:01:34.000]  是其他人與人之間的關係重要?
[00:01:34.000 --> 00:01:37.000]  抑或跟從上帝最重要呢?
[00:01:37.000 --> 00:01:41.000]  要得到上帝所賜的永恆福氣重要呢?
[00:01:41.000 --> 00:01:42.000]  其實耶穌在這裏說
[00:01:42.000 --> 00:01:45.200]  不是說當人願意跟從上帝的時候
[00:01:45.200 --> 00:01:47.600]  你就不要愛你的親人
[00:01:47.600 --> 00:01:49.000]  你不要愛你的家人
[00:01:49.000 --> 00:01:51.000]  耶穌在這裏不是這樣的意思
[00:01:51.000 --> 00:01:52.200]  在《九字聖經》裏面
[00:01:52.200 --> 00:01:53.800]  十誡第五誡
[00:01:53.800 --> 00:01:55.600]  「當孝敬父母」
[00:01:55.600 --> 00:01:57.600]  對人來說
[00:01:57.600 --> 00:01:59.400]  在人倫的關係裏面
[00:01:59.400 --> 00:02:01.400]  父母的關係是很親密的
[00:02:01.400 --> 00:02:03.200]  應該孝敬父母
[00:02:03.200 --> 00:02:06.400]  耶穌在傳道的過程裏面
[00:02:06.400 --> 00:02:08.200]  亦有些法理學人說
[00:02:08.200 --> 00:02:12.800]  當我的奉獻已經奉獻給上帝了
[00:02:12.800 --> 00:02:16.600]  我就不需要去照顧我的家人
[00:02:16.600 --> 00:02:17.600]  照顧我的父母
[00:02:17.600 --> 00:02:19.800]  耶穌對這班假冒為善的人
[00:02:19.800 --> 00:02:21.800]  作出很嚴厲的批評
[00:02:21.800 --> 00:02:23.800]  所以在正常的情況之下
[00:02:23.800 --> 00:02:24.800]  可以這樣說
[00:02:24.800 --> 00:02:28.200]  我們是直著去愛我們的家人
[00:02:28.200 --> 00:02:30.000]  直著去愛我們身邊的人
[00:02:30.000 --> 00:02:33.600]  去表示我們是一個愛上帝的人
[00:02:33.600 --> 00:02:34.600]  可以這樣說
[00:02:34.600 --> 00:02:36.800]  我們是一個全心愛上帝的人
[00:02:36.800 --> 00:02:39.200]  我們亦是一個全心愛家人的人
