
[00:00:00.000 --> 00:00:03.640]  我們講迦拉泰書都講了很多次的時間
[00:00:03.640 --> 00:00:05.120]  其實整卷迦拉泰書
[00:00:05.120 --> 00:00:07.280]  保羅是處理一個很重要的問題
[00:00:07.280 --> 00:00:09.280]  就是什麼是自由
[00:00:09.280 --> 00:00:10.960]  或者更清楚去講
[00:00:10.960 --> 00:00:13.560]  什麼是基督徒裡面的自由
[00:00:13.560 --> 00:00:18.160]  保羅在迦拉泰書前面那幾張聖經裡面
[00:00:18.160 --> 00:00:20.080]  用了很多不同的例子
[00:00:20.080 --> 00:00:21.600]  也有很多不同的例證
[00:00:21.600 --> 00:00:25.480]  去用舊約裡面有很多的預表
[00:00:25.480 --> 00:00:29.000]  去表明上帝怎樣去直著耶穌
[00:00:29.000 --> 00:00:31.800]  使人得到真正的自由
[00:00:31.800 --> 00:00:34.960]  在前面那兩張聖經裡面
[00:00:34.960 --> 00:00:38.880]  上帝在講怎樣直著耶穌基督的死
[00:00:38.880 --> 00:00:42.720]  以至使到外邦人和猶大人
[00:00:42.720 --> 00:00:45.400]  他們同樣都是同一個方法
[00:00:45.400 --> 00:00:47.800]  同一個自由的性質
[00:00:47.800 --> 00:00:50.240]  得到上帝的拯救
[00:00:50.240 --> 00:00:55.320]  擺脫了罪對他們的奴役
[00:00:55.320 --> 00:00:58.040]  在這裡保羅繼續去討論
[00:00:58.040 --> 00:01:00.880]  究竟一個在基督裡面得到自由的人
[00:01:00.880 --> 00:01:02.680]  已經得救了
[00:01:02.680 --> 00:01:06.360]  已經得到上帝給我們永恆的福氣
[00:01:06.360 --> 00:01:07.640]  永恆的救恩
[00:01:07.640 --> 00:01:11.080]  這一類人是不是已經自由
[00:01:11.080 --> 00:01:12.360]  自由到一個地步
[00:01:12.360 --> 00:01:13.240]  沒有枉管
[00:01:13.240 --> 00:01:14.360]  什麼都可以做呢
[00:01:14.360 --> 00:01:17.240]  保羅在這裡正正的去講出
[00:01:17.240 --> 00:01:19.800]  基督徒在耶穌裡面
[00:01:19.800 --> 00:01:21.160]  那一種的自由
[00:01:21.160 --> 00:01:23.160]  其實是有規範的
[00:01:23.160 --> 00:01:25.520]  保羅在這裡去解釋
[00:01:25.520 --> 00:01:28.480]  我們是因著信
[00:01:28.480 --> 00:01:31.120]  信靠耶穌的死
[00:01:31.120 --> 00:01:33.200]  靠著耶穌的恩典
[00:01:33.200 --> 00:01:36.560]  也是藉著聖靈對我們的幫助
[00:01:36.560 --> 00:01:39.120]  以至我們能夠得到
[00:01:39.120 --> 00:01:42.480]  這個自由人的身份
[00:01:42.480 --> 00:01:45.040]  而這個自由人的身份
[00:01:45.040 --> 00:01:47.280]  其實是代表著一種
[00:01:47.280 --> 00:01:49.040]  活在上帝裡面
[00:01:49.040 --> 00:01:51.240]  遵守上帝裡面的誡命的
[00:01:51.240 --> 00:01:53.920]  那一種生活的方式
[00:01:53.920 --> 00:01:56.800]  在《加大書》第五章第一節
[00:01:56.800 --> 00:01:58.080]  第六節裡面
[00:01:58.080 --> 00:02:00.480]  保羅去講出
[00:02:00.480 --> 00:02:04.880]  一個人得到上帝給我們自由的基礎
[00:02:04.880 --> 00:02:06.000]  究竟是什麼呢?
[00:02:06.000 --> 00:02:07.840]  第五章的第一節說
[00:02:07.840 --> 00:02:09.120]  基督釋放了我們
[00:02:09.120 --> 00:02:10.480]  叫我們得以自由
[00:02:10.480 --> 00:02:12.080]  所以要站立得穩
[00:02:12.080 --> 00:02:13.920]  不要再被奴僕的騙
[00:02:13.920 --> 00:02:14.920]  奴僕的騙
[00:02:14.920 --> 00:02:15.760]  欠制
[00:02:15.760 --> 00:02:18.200]  耶穌已經藉著死
[00:02:18.200 --> 00:02:21.160]  也都上帝透過他的復活
[00:02:21.160 --> 00:02:22.800]  使我們知道
[00:02:22.800 --> 00:02:24.920]  我們的罪已經得到赦免
[00:02:24.920 --> 00:02:26.640]  死亡的恐懼
[00:02:26.640 --> 00:02:27.880]  死亡的陰影
[00:02:27.880 --> 00:02:29.280]  也都幫我們掃除
[00:02:29.280 --> 00:02:32.160]  我們現在得到一個真真正正的自由
[00:02:32.160 --> 00:02:35.560]  已經不再被罪的奴役
[00:02:35.560 --> 00:02:38.480]  或者被罪對我們的審判
[00:02:38.480 --> 00:02:41.560]  來控制我們的人生
[00:02:41.560 --> 00:02:43.240]  意思是什麼呢?
[00:02:43.240 --> 00:02:44.440]  保羅在這裡說
[00:02:44.440 --> 00:02:45.920]  既然我們這群人
[00:02:45.920 --> 00:02:47.920]  已經是藉著耶穌的死
[00:02:47.920 --> 00:02:49.360]  而得到一個真正的自由
[00:02:49.360 --> 00:02:53.160]  所以我們要繼續站立得穩
[00:02:53.160 --> 00:02:55.760]  要珍惜我們現在得到的
[00:02:55.760 --> 00:02:59.920]  上帝給我們這種心靈的真正的自由
[00:02:59.920 --> 00:03:01.440]  在這裡保羅說
[00:03:01.440 --> 00:03:03.240]  我們不再被奴僕的騙
[00:03:03.240 --> 00:03:04.120]  欠制
[00:03:04.120 --> 00:03:06.560]  應該保羅是指具體的
[00:03:06.560 --> 00:03:09.040]  是指到那種律法
[00:03:09.040 --> 00:03:11.520]  和律法的種種行為
[00:03:11.520 --> 00:03:13.840]  特別包括當時他們以為
[00:03:13.840 --> 00:03:15.160]  受了割禮
[00:03:15.160 --> 00:03:20.080]  就已經得到上帝的永恆的救恩和福分
[00:03:20.080 --> 00:03:21.240]  這個看法
[00:03:21.240 --> 00:03:23.560]  這種被律法
[00:03:23.560 --> 00:03:26.360]  被猶太人的習俗
[00:03:26.360 --> 00:03:27.720]  去奴役著
[00:03:27.720 --> 00:03:29.240]  保羅說奴役著
[00:03:29.240 --> 00:03:33.080]  我們已經不再被這些奴役著我們
[00:03:33.080 --> 00:03:35.480]  保羅在這裡說
[00:03:35.480 --> 00:03:36.680]  我們已經得到自由
[00:03:36.680 --> 00:03:38.800]  不要再回到以前
[00:03:38.800 --> 00:03:41.880]  那一種奴役的狀況裡面
[00:03:41.880 --> 00:03:42.800]  以前
[00:03:43.200 --> 00:03:44.600]  我可以說
[00:03:44.600 --> 00:03:46.960]  他們沒有猶太人的律法
[00:03:46.960 --> 00:03:48.960]  和很多的規條
[00:03:48.960 --> 00:03:51.640]  他們被種種的異邦
[00:03:51.640 --> 00:03:53.000]  異教的行為
[00:03:53.000 --> 00:03:55.440]  或者他們的習俗去奴役著他們
[00:03:55.440 --> 00:03:59.280]  猶太人誤解了上帝頒佈律法
[00:03:59.280 --> 00:04:01.760]  和規條的意思
[00:04:01.760 --> 00:04:05.440]  他們變成了律法和規條成為了他們
