
[00:00:00.000 --> 00:00:04.560]  今天早上原來是應該蕭牧師講到
[00:00:04.560 --> 00:00:06.880]  今早應該是蕭牧師講到的
[00:00:06.880 --> 00:00:08.840]  但是他讓給我講
[00:00:08.840 --> 00:00:10.000]  但是他讓給我講
[00:00:10.000 --> 00:00:11.320]  要多謝他
[00:00:11.320 --> 00:00:13.760]  要多謝他
[00:00:13.760 --> 00:00:18.280]  非常的快樂能夠再見到各位弟兄姊妹
[00:00:18.280 --> 00:00:20.600]  很快樂能夠再見到各位弟兄姊妹
[00:00:20.600 --> 00:00:21.840]  各位同工
[00:00:21.840 --> 00:00:23.400]  還有各位同工
[00:00:23.400 --> 00:00:27.320]  這次我回來是要辦
[00:00:27.320 --> 00:00:32.560]  我到美國去的手續還沒有完成的部分
[00:00:32.560 --> 00:00:35.440]  我這次回來是要辦我去美國的手續
[00:00:35.440 --> 00:00:37.400]  還沒完成的那部分
[00:00:37.400 --> 00:00:42.560]  大概要十月初才能夠離開香港
[00:00:42.560 --> 00:00:47.160]  大概要十月初才能夠辦好離開香港
[00:00:47.160 --> 00:00:48.920]  請大家待到
[00:00:48.920 --> 00:00:50.920]  請大家待到
[00:00:56.160 --> 00:01:00.480]  今天早上我要和大家分享的信息
[00:01:00.480 --> 00:01:02.520]  今天早上我要和大家分享的信息
[00:01:02.520 --> 00:01:07.360]  就是史圖保羅所傳的基本的信息
[00:01:07.360 --> 00:01:10.160]  就是史圖保羅所傳的基本的信息
[00:01:10.160 --> 00:01:15.840]  我們的經文是在哥倫多前書
[00:01:15.840 --> 00:01:20.520]  第十五章
[00:01:20.520 --> 00:01:24.400]  臨前十五章
[00:01:24.400 --> 00:01:27.160]  我們先做一個仰望的禱告
[00:01:27.160 --> 00:01:29.160]  我們先做一個仰望的禱告
[00:01:29.160 --> 00:01:34.000]  天父我們感謝你
[00:01:34.000 --> 00:01:35.160]  因為你的愛
[00:01:35.160 --> 00:01:38.680]  你的恩典永不改變
[00:01:38.680 --> 00:01:42.080]  這個世界上有許多改變的事
[00:01:42.080 --> 00:01:44.480]  但是你不改變
[00:01:44.480 --> 00:01:46.720]  你也沒有改變你嬰兒
[00:01:46.720 --> 00:01:51.640]  昨日今日直到永遠你是一樣的
[00:01:51.640 --> 00:01:53.800]  祝我們在你的面前
[00:01:53.800 --> 00:01:58.800]  也求你保守我們不變的恆切的心
[00:01:58.800 --> 00:02:02.960]  愛你 跟從你 見證你 侍奉你
[00:02:02.960 --> 00:02:05.080]  讓我們歡歡喜喜的
[00:02:05.080 --> 00:02:09.160]  來做天父的兒女 做基督的門徒
[00:02:09.160 --> 00:02:12.280]  我們今天早上在敬拜的時候
[00:02:12.280 --> 00:02:14.560]  一同用預備好的心
[00:02:14.560 --> 00:02:17.480]  科目的心 謙卑的心
[00:02:17.480 --> 00:02:20.200]  來領受主的教導
[00:02:20.200 --> 00:02:22.600]  求聖靈保護師
[00:02:22.600 --> 00:02:26.640]  在我們中間親自的運行工作
[00:02:26.640 --> 00:02:28.720]  讓我們中間沒有一個人
[00:02:28.720 --> 00:02:31.720]  聽不進你的話去
[00:02:31.720 --> 00:02:35.560]  我們中間沒有一個人的心被塞住
[00:02:35.560 --> 00:02:39.240]  以至於聽而無聞
