
[00:00:00.000 --> 00:00:03.400]  很開心能夠在2010年
[00:00:03.400 --> 00:00:04.480]  第一個禮拜日
[00:00:04.480 --> 00:00:06.840]  在女主的面前敬拜
[00:00:06.840 --> 00:00:09.360]  剛才林弟兄也說了
[00:00:09.360 --> 00:00:11.560]  我們這個季
[00:00:11.560 --> 00:00:15.200]  我們特別是想從創世紀來看家庭
[00:00:15.200 --> 00:00:16.200]  很重要
[00:00:16.200 --> 00:00:18.200]  也很好的一個訊息
[00:00:18.200 --> 00:00:19.400]  我們今天
[00:00:19.400 --> 00:00:20.800]  剛才也讀了聖經
[00:00:20.800 --> 00:00:23.120]  我相信很多弟兄姊妹都很熟悉的
[00:00:23.120 --> 00:00:24.360]  創世紀第二章
[00:00:24.360 --> 00:00:25.960]  我們打開創世紀的第二章
[00:00:25.960 --> 00:00:29.320]  我們今天看神設立婚姻
[00:00:30.320 --> 00:00:32.960]  創世紀第二章十八節
[00:00:32.960 --> 00:00:34.960]  我們看到第24節
[00:00:34.960 --> 00:00:39.440]  說創世紀第二章十八至二十四節
[00:00:39.440 --> 00:00:40.720]  是很難說的
[00:00:40.720 --> 00:00:42.720]  因為這章聖經很熟悉
[00:00:42.720 --> 00:00:44.320]  差不多婚禮裡面
[00:00:44.320 --> 00:00:46.720]  有十個,還有七個都是說這段
[00:00:46.720 --> 00:00:50.320]  要說一些沒有人說過的
[00:00:50.320 --> 00:00:51.120]  不是特意的
[00:00:51.120 --> 00:00:53.320]  不過是很難的
[00:00:53.320 --> 00:00:57.920]  今天很想和大家嘗試
[00:00:57.920 --> 00:00:59.920]  有些很熟悉的我們不說
[00:00:59.920 --> 00:01:00.720]  你們也知道
[00:01:00.720 --> 00:01:02.720]  聽慣了聽到也忘記是什麼
[00:01:02.720 --> 00:01:05.520]  我想說一些和大家
[00:01:05.520 --> 00:01:07.720]  可能沒有想過
[00:01:07.720 --> 00:01:10.120]  或者是想過,但是沒有這個角度去看
[00:01:10.120 --> 00:01:10.720]  好不好?
[00:01:10.720 --> 00:01:12.720]  我想和大家分享有四個
[00:01:12.720 --> 00:01:13.920]  在這段聖經裡面
