
[00:00:00.000 --> 00:00:02.440]  在講到之前我想問大家一個問題
[00:00:02.440 --> 00:00:04.200]  一個很簡單的問題
[00:00:04.200 --> 00:00:07.000]  很多人都問你信了主多久?
[00:00:07.000 --> 00:00:09.800]  你一定知道你信了主多少年
[00:00:09.800 --> 00:00:11.400]  或者多少個月
[00:00:11.400 --> 00:00:15.520]  你信了主是十年以內的
[00:00:15.520 --> 00:00:17.000]  你舉舉手看看
[00:00:17.000 --> 00:00:22.600]  以內,即是由一天到十年
[00:00:22.600 --> 00:00:28.000]  好,十年到二十年呢?
[00:00:29.200 --> 00:00:30.800]  都很多
[00:00:30.800 --> 00:00:32.600]  十年到二十年
[00:00:32.600 --> 00:00:34.600]  二十年以上的呢?
[00:00:34.600 --> 00:00:38.000]  好像是最多
[00:00:38.000 --> 00:00:41.800]  日神給我們中間有很多弟兄姊妹
[00:00:41.800 --> 00:00:44.200]  都是信了主一段頗長的時間
[00:00:44.200 --> 00:00:46.600]  我接著再問
[00:00:46.600 --> 00:00:52.200]  你猜你靈性的年紀有多大?
[00:00:52.200 --> 00:00:57.400]  很難回答,自己也可能不太知道
[00:00:57.400 --> 00:00:59.400]  你說我信主一年
[00:00:59.400 --> 00:01:02.200]  應該都是初信,可能很多東西未必很認識
[00:01:02.200 --> 00:01:04.200]  如果你說你信主五年
[00:01:04.200 --> 00:01:06.200]  都有很多基本的認識
[00:01:06.200 --> 00:01:09.200]  十年了,已經很熟悉聖經
[00:01:09.200 --> 00:01:15.200]  那你覺得你自己的靈性的年齡有多大呢?
[00:01:15.200 --> 00:01:20.200]  我不會問大家,不會要你舉手
[00:01:20.200 --> 00:01:23.200]  但只是作為一個反思
[00:01:23.200 --> 00:01:30.200]  你的信主的年日和你靈命的年日有多少差距?
[00:01:30.200 --> 00:01:37.200]  我猜我們的神不是想要我們有甚麼羞辱
[00:01:37.200 --> 00:01:41.200]  而是上上很渴望我們能夠成長
[00:01:41.200 --> 00:01:46.200]  一個小朋友當他第一次開始說話的時候
[00:01:46.200 --> 00:01:50.200]  雖然說得一粒一粒,像爸爸媽媽一樣
[00:01:50.200 --> 00:01:53.200]  但爸爸媽媽很開心
[00:01:53.200 --> 00:01:57.200]  很快樂覺得兒子和女兒長大了
[00:01:57.200 --> 00:02:00.200]  我想當我們成長的時候
[00:02:00.200 --> 00:02:04.200]  我們的天父是很快樂的
[00:02:04.200 --> 00:02:07.200]  因為他很想將豐盛的生命
[00:02:07.200 --> 00:02:12.200]  不單是得救,而是將豐盛的生命賜給我們
[00:02:12.200 --> 00:02:15.200]  各位弟兄姊妹,在一年開始的時候
[00:02:15.200 --> 00:02:17.200]  你勉勵自己的心
[00:02:17.200 --> 00:02:20.200]  不要讓自己的靈性停頓
[00:02:20.200 --> 00:02:25.200]  你求主幫助你能夠成長
[00:02:25.200 --> 00:02:31.200]  可以繼續成長,能夠盡神賜給你的豐盛的生命
[00:02:31.200 --> 00:02:35.200]  這也是神在你生命當中會做的事情
[00:02:35.200 --> 00:02:37.200]  當我們想到成長的時候
[00:02:37.200 --> 00:02:40.200]  就會明白聖經給的後書
[00:02:40.200 --> 00:02:44.200]  為何會不斷勉勵我們要殷勤追求
[00:02:44.200 --> 00:02:46.200]  要努力追求
[00:02:46.200 --> 00:02:48.200]  我們就帶著這樣的態度
[00:02:48.200 --> 00:02:51.200]  一起來看彼得後書
[00:02:51.200 --> 00:02:58.200]  在彼得後書一開始的時候就提到
[00:02:58.200 --> 00:03:01.200]  神經將極大的應許賜給我們
[00:03:01.200 --> 00:03:03.200]  第一章第三節
[00:03:03.200 --> 00:03:05.200]  我們這次讀和合本
[00:03:05.200 --> 00:03:07.200]  聖經這樣說
[00:03:07.200 --> 00:03:10.200]  「神的神能已將一切關乎生命
[00:03:10.200 --> 00:03:13.200]  及虔敬的事賜給我們
[00:03:13.200 --> 00:03:16.200]  皆因我們認識那用自己榮耀和美德
[00:03:16.200 --> 00:03:19.200]  召我們的主」第四節
[00:03:19.200 --> 00:03:24.200]  因此太義將有寶貴又極大的應許賜給我們
[00:03:24.200 --> 00:03:29.200]  叫我們既脫離世上從情欲來的敗壞
[00:03:29.200 --> 00:03:33.200]  就得與神的聖情有份
[00:03:33.200 --> 00:03:37.200]  聖經就提及當我們認識了主耶穌之後
[00:03:37.200 --> 00:03:41.200]  就領受神給我們很特別的呼召
[00:03:41.200 --> 00:03:43.200]  這個呼召聖經說
[00:03:43.200 --> 00:03:48.200]  用祂的美德和榮耀來呼召我們
[00:03:48.200 --> 00:03:51.200]  主耶穌在世上的時候
[00:03:51.200 --> 00:03:55.200]  祂的言語、祂的行為、美善的品格
[00:03:55.200 --> 00:03:57.200]  顯明出來
[00:03:57.200 --> 00:03:59.200]  成為我們生命的榜樣
[00:03:59.200 --> 00:04:02.200]  當祂在地上的時候
[00:04:02.200 --> 00:04:04.200]  祂將顯出祂的榮耀
