
[00:00:00.000 --> 00:00:03.080]  我們今天也會繼續思想《約翰一書》的經文
[00:00:03.080 --> 00:00:05.340]  特別思想到聖經所提及的
[00:00:05.340 --> 00:00:09.340]  如何辨別真理的靈和欺騙的靈
[00:00:09.340 --> 00:00:12.860]  大家都會留意到我們過去一段時間
[00:00:12.860 --> 00:00:14.860]  讀到《約翰一書》的時候
[00:00:14.860 --> 00:00:17.000]  聖經不斷來鼓勵我們
[00:00:17.000 --> 00:00:19.700]  更加知道去感恩
[00:00:19.700 --> 00:00:22.300]  因為神何等愛我們
[00:00:22.300 --> 00:00:24.980]  稱我們為祂的兒女
[00:00:24.980 --> 00:00:28.140]  我們都真實是神的兒女
[00:00:28.140 --> 00:00:31.260]  聖經又不斷鼓勵我們要聽從神的命令
[00:00:31.260 --> 00:00:33.060]  我們彼此的相愛
[00:00:33.060 --> 00:00:36.660]  去實踐真正愛人的生命
[00:00:36.660 --> 00:00:38.060]  當我們讀完這些聖經的時候
[00:00:38.060 --> 00:00:40.500]  你會發覺聖經一直在說愛
[00:00:40.500 --> 00:00:42.900]  但是聖經同時在《約翰一書》裏面
[00:00:42.900 --> 00:00:45.580]  很清楚提出一個方向
[00:00:45.580 --> 00:00:49.300]  就是遵行真理
[00:00:49.300 --> 00:00:51.100]  分辨真理
[00:00:51.100 --> 00:00:53.860]  又行在真理中
[00:00:53.860 --> 00:00:55.700]  你會發覺聖經裏面很清楚
[00:00:55.700 --> 00:01:00.100]  沒有把愛和真理分割開
[00:01:00.100 --> 00:01:04.140]  而且是必定是連合在一起的
[00:01:04.140 --> 00:01:07.220]  如果人不能夠真正認識真理
[00:01:07.220 --> 00:01:10.420]  不能夠尊重耶穌基督的真理
[00:01:10.420 --> 00:01:12.980]  就不會有愛
[00:01:12.980 --> 00:01:13.780]  所以你一定記得
[00:01:13.780 --> 00:01:16.020]  聖經在我們上述提及的
[00:01:16.020 --> 00:01:18.900]  臨前十三章的《愛章》裏面
[00:01:18.900 --> 00:01:20.580]  提到愛的時候
[00:01:20.580 --> 00:01:22.060]  就特別強調
[00:01:22.060 --> 00:01:25.300]  「愛是不喜歡不義」
[00:01:25.300 --> 00:01:29.660]  然後「只喜歡真理」
[00:01:29.660 --> 00:01:33.660]  真正的愛是會在愛和真理裏面
[00:01:33.660 --> 00:01:35.980]  行出來的
[00:01:35.980 --> 00:01:37.820]  當我們讀《約翰一書》的時候
[00:01:37.820 --> 00:01:39.980]  就講述到真理的事情
[00:01:39.980 --> 00:01:41.180]  讀到《易書》
[00:01:41.180 --> 00:01:42.580]  亦都特別提及
[00:01:42.580 --> 00:01:47.140]  我們愛是因為真理的緣故
[00:01:47.140 --> 00:01:48.420]  有些人會覺得
