
[00:00:00.000 --> 00:00:05.000]  今日這段經文記載了耶穌行的另一個神蹟
[00:00:05.000 --> 00:00:12.000]  可以說是緊接耶穌行了五餅二魚的神蹟之後的事件
[00:00:12.000 --> 00:00:15.600]  當耶穌行了五餅二魚神蹟的時候
[00:00:15.600 --> 00:00:20.800]  其實當時有很多人知道這是一個不簡單的人
[00:00:20.800 --> 00:00:25.000]  這是一個有上帝賜給他能力的人
[00:00:25.000 --> 00:00:26.600]  可以行一個這麼大的神蹟
[00:00:26.600 --> 00:00:28.200]  五個餅、兩條魚
[00:00:28.200 --> 00:00:31.600]  可以令這麼多的人吃得飽
[00:00:31.600 --> 00:00:34.800]  所以很多人當時在另一卷的方書就說
[00:00:34.800 --> 00:00:37.400]  當時的人們勇去作王
[00:00:37.400 --> 00:00:39.400]  一班人就說你來作王
[00:00:39.400 --> 00:00:42.800]  你帶領我們重建一個以色列的王國
[00:00:42.800 --> 00:00:44.000]  你有這樣的能力
[00:00:44.000 --> 00:00:48.200]  只要你振臂一呼
[00:00:48.200 --> 00:00:50.000]  我們個個都跟從你
[00:00:50.000 --> 00:00:53.400]  在那個時候耶穌就做了這個行動
[00:00:53.400 --> 00:00:58.400]  祂在那裡催門徒先走
[00:00:58.400 --> 00:01:02.800]  催門徒先走有幾個可能性的原因
[00:01:02.800 --> 00:01:06.600]  就是耶穌想獨自一個人的祈禱
[00:01:06.600 --> 00:01:11.000]  也可能祂想避開群眾和門徒休息一下
[00:01:11.000 --> 00:01:15.600]  因為祂來到不是要作一個政治上的王
[00:01:15.600 --> 00:01:19.200]  祂來到不是要跟隨這班人的期望
[00:01:19.200 --> 00:01:24.200]  這班人的想望而去做任何的事
[00:01:24.200 --> 00:01:26.400]  也可以說
[00:01:26.400 --> 00:01:30.200]  也可能耶穌趕一班門徒走
[00:01:30.200 --> 00:01:32.600]  離開這個場景
[00:01:32.600 --> 00:01:35.400]  免得更加的騷動
[00:01:35.400 --> 00:01:39.800]  讓更多人一起起來捧耶穌作王
[00:01:39.800 --> 00:01:43.200]  耶穌想平息這些想法
[00:01:43.200 --> 00:01:48.200]  平息這種騷亂
[00:01:48.200 --> 00:01:50.800]  經文再記載
[00:01:50.800 --> 00:01:56.200]  耶穌打發一班門徒去過戶之後
[00:01:56.200 --> 00:01:58.800]  祂自己就有一個禱告
[00:01:58.800 --> 00:02:01.800]  聖經沒有記載祂禱告的內容是什麼
[00:02:01.800 --> 00:02:08.400]  不過也可能是因為眾人都想推祂出來做王
[00:02:08.400 --> 00:02:09.800]  這一件事
[00:02:09.800 --> 00:02:13.200]  耶穌更加要在上帝面前有一個禱告
[00:02:13.200 --> 00:02:16.600]  就是要在上帝面前再一次很清楚的知道
[00:02:16.600 --> 00:02:19.000]  自己上帝差拜祂來
[00:02:19.000 --> 00:02:23.400]  在地上的目的不是要作一個政治上的王
[00:02:23.400 --> 00:02:27.400]  而是祂要來到地上完成上帝給祂的使命
[00:02:27.400 --> 00:02:30.600]  為世人的罪釘在十字架上
[00:02:30.600 --> 00:02:33.600]  所以在這裡祂尋求上帝的面
[00:02:33.600 --> 00:02:34.600]  上帝的幫助
[00:02:34.600 --> 00:02:38.800]  讓祂能夠更認清祂在人生裡面
[00:02:38.800 --> 00:02:41.200]  最重要的使命是什麼
[00:02:41.200 --> 00:02:46.600]  在這個時候耶穌打發門徒過戶的時候
[00:02:46.600 --> 00:02:48.800]  耶穌大約在這個時間
[00:02:48.800 --> 00:02:54.600]  在凌晨的三點至到現在大約三點至到六點鐘
