
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹,主佑平安
[00:00:02.000 --> 00:00:05.000]  今年的主題是「我門」
[00:00:05.000 --> 00:00:09.000]  上次分享的主題在同一段經文中
[00:00:09.000 --> 00:00:11.000]  其實很豐富,還未說完
[00:00:11.000 --> 00:00:14.000]  上次說「我門」
[00:00:14.000 --> 00:00:20.000]  在《楊逢陰十章》一至十節
[00:00:20.000 --> 00:00:24.000]  焦點是耶穌說「我是楊的門」
[00:00:24.000 --> 00:00:28.000]  很簡單的重溫
[00:00:28.000 --> 00:00:31.000]  「我就是門」
[00:00:31.000 --> 00:00:37.000]  耶穌說「凡從我進來的,一從就四德」
[00:00:37.000 --> 00:00:40.000]  我們很清楚,他得救,直著耶穌基督
[00:00:40.000 --> 00:00:43.000]  得草,即得滿足
[00:00:43.000 --> 00:00:46.000]  「並且他的英海是豐盛的,得的更豐盛」
[00:00:46.000 --> 00:00:48.000]  「四德也好,三德也好」
[00:00:48.000 --> 00:00:50.000]  其實是神所賜
[00:00:50.000 --> 00:00:54.000]  反過來,我自己的生命分享反思
[00:00:54.000 --> 00:00:56.000]  我們每天都進出很多門
[00:00:56.000 --> 00:00:59.000]  主人養的門,使我們進入豐盛
[00:00:59.000 --> 00:01:03.000]  反過來,有沒有我們不敢或不想打開的門
[00:01:03.000 --> 00:01:05.000]  主要是賜福我們
[00:01:05.000 --> 00:01:07.000]  但我們卻需要主給我們信心
[00:01:07.000 --> 00:01:09.000]  反過來,第三道門
[00:01:09.000 --> 00:01:13.000]  我自己想到,有些反過來
[00:01:13.000 --> 00:01:16.000]  不是進入豐盛,而是盜賊來,要傷害毀壞
[00:01:16.000 --> 00:01:21.000]  這些門可能是得罪主的門,是犯罪的事情
[00:01:21.000 --> 00:01:28.000]  具體上次說的,可能是不恰當的男女關係
[00:01:28.000 --> 00:01:35.000]  或者是工作、做生意,有不正當的手法或建立的關係
[00:01:35.000 --> 00:01:42.000]  這些其實是要傷害破壞你的生命和你與神的關係
[00:01:42.000 --> 00:01:44.000]  使你失去豐盛
[00:01:44.000 --> 00:01:46.000]  今天我們每天都要打開門
[00:01:46.000 --> 00:01:51.000]  但有些門是家裡的門,需要鎖上的
[00:01:51.000 --> 00:01:54.000]  電子鎖也好,用鎖匙開的鎖也好
[00:01:54.000 --> 00:01:57.000]  會有隔萬的鎖
[00:01:57.000 --> 00:02:00.000]  你說我的門鎖還有什麼鎖?
[00:02:00.000 --> 00:02:07.000]  手機要用指紋,人臉識別,或者用密碼,用不同的方法
[00:02:07.000 --> 00:02:11.000]  這些正為現在要解鎖,什麼都要解鎖
[00:02:11.000 --> 00:02:19.000]  今天經文背景,上次提過,在九章也一直發生
[00:02:19.000 --> 00:02:25.000]  大家不清楚,或者否認耶穌基督是真神
[00:02:25.000 --> 00:02:33.000]  甚至在九章,宗教領袖拒絕相信耶穌得醫治的人離開聖殿
[00:02:33.000 --> 00:02:35.000]  這是很可悲的現象
[00:02:35.000 --> 00:02:42.000]  原來耶穌在經文背景,或夜行福音,要幫助人
[00:02:42.000 --> 00:02:48.000]  耶穌基督的兒子就像開門解鎖的密碼
[00:02:48.000 --> 00:02:55.000]  反過來不是阻礙人進入陽門經歷上,主所給予的豐盛
[00:02:55.000 --> 00:02:59.000]  所以,這個鎖是什麼呢?
[00:02:59.000 --> 00:03:06.000]  我們先看看,原來「我是好木人」,給予生命的解鎖
[00:03:06.000 --> 00:03:09.000]  我們先看看好木人的特質
[00:03:09.000 --> 00:03:19.000]  在經文,先看一至十五節,延續著耶穌說「我是陽門」的教導
[00:03:19.000 --> 00:03:21.000]  他在說另一個「我是」
[00:03:21.000 --> 00:03:24.000]  好木人有兩個特質
[00:03:24.000 --> 00:03:31.000]  第一個特質是寫明,十一及十五節都提到
[00:03:31.000 --> 00:03:36.000]  詩篇二十三篇都形容到我們說的「木者」
[00:03:36.000 --> 00:03:41.000]  《耳洗結書》三十四章更加仔細對應一個教導
[00:03:41.000 --> 00:03:46.000]  就是「好的木人是牧羊、洗羊、肥壯、健康的成長」
[00:03:46.000 --> 00:03:51.000]  「不好的就像盜賊或一些人去掠奪、傷害」
[00:03:51.000 --> 00:03:57.000]  「好木人為羊寫明」十七節都說「我將命寫」,但他還未讀到經文
[00:03:57.000 --> 00:04:04.000]  其實耶穌曾經在兩次之前提到他的「待死」
[00:04:04.000 --> 00:04:12.000]  他不是說一般情況,而是特別提到在《讓福音》十字架要替人「受死」
[00:04:12.000 --> 00:04:16.000]  你說「牧羊人死了,羊群豈不是很危險?」
[00:04:16.000 --> 00:04:24.000]  耶穌所帶出的「好木人為羊群寫明」卻帶來羊群的益處
[00:04:24.000 --> 00:04:31.000]  相反,他不顧念羊群的故宮或盜賊
[00:04:31.000 --> 00:04:36.000]  這些故宮不理會,有危險來到就自己走
[00:04:36.000 --> 00:04:40.000]  任由狼去傷害、襲擊牠
[00:04:40.000 --> 00:04:42.000]  這是第一個特點,會寫明
[00:04:42.000 --> 00:04:46.000]  第二個特點是「認識」
[00:04:46.000 --> 00:04:51.000]  羊與牧人彼此認識
[00:04:51.000 --> 00:04:56.000]  認識超越了知識、知性的層面
[00:04:56.000 --> 00:05:01.000]  表示認識的人,你與家人、朋友的關係
[00:05:01.000 --> 00:05:05.000]  由經驗逐漸建立起來的關係
[00:05:05.000 --> 00:05:09.000]  經得起考驗,深入一種愛的關係
[00:05:09.000 --> 00:05:14.000]  這幾年,很多人說不知道生活發生了甚麼事
[00:05:14.000 --> 00:05:20.000]  與人的關係有很多隔離、距離
[00:05:20.000 --> 00:05:23.000]  很多回憶我們製造不到
[00:05:23.000 --> 00:05:27.000]  生日一起去哪裡吃飯、去哪裡旅行
[00:05:27.000 --> 00:05:29.000]  我們很多都做不到
[00:05:29.000 --> 00:05:35.000]  所以大家的感覺這幾年生活好像沒甚麼發生
[00:05:35.000 --> 00:05:38.000]  過了一年,又過了一年
[00:05:38.000 --> 00:05:42.000]  原來要經驗一起建立一種關係
[00:05:42.000 --> 00:05:45.000]  並且這種關係經得起考驗
[00:05:45.000 --> 00:05:47.000]  是一種愛的關係
[00:05:47.000 --> 00:05:50.000]  甚至在耶穌基督寫明就表達
[00:05:50.000 --> 00:05:53.000]  願意為對方益處去到一個地步
[00:05:53.000 --> 00:06:01.000]  你有甚麼是你願意重視到一個地方會寫明
[00:06:01.000 --> 00:06:05.000]  可能你馬上想起你所愛的家人
[00:06:05.000 --> 00:06:10.000]  即使自己的命不緊,也要保住
[00:06:10.000 --> 00:06:13.000]  甚至有些人可能不是人
[00:06:13.000 --> 00:06:19.000]  對某些工作或工作的團體
[00:06:19.000 --> 00:06:22.000]  我很重視那種敲鐘
[00:06:22.000 --> 00:06:26.000]  即使不睡覺也要寫明去做好
[00:06:26.000 --> 00:06:28.000]  有時也會這樣
[00:06:28.000 --> 00:06:32.000]  有些人說教會,我愛這個教會是基督的身體
[00:06:32.000 --> 00:06:34.000]  因為基督也為我寫明
[00:06:34.000 --> 00:06:36.000]  意思是很重視
[00:06:36.000 --> 00:06:38.000]  這種關係不是普通的關係
[00:06:38.000 --> 00:06:42.000]  耶穌所說,祂強調牧人和羊的認識
[00:06:42.000 --> 00:06:47.000]  甚至十四十五節就像父與子的認識關係
[00:06:47.000 --> 00:06:50.000]  父與子是很正面的描述
[00:06:50.000 --> 00:06:53.000]  血濃於水,很親密的關係
[00:06:53.000 --> 00:06:57.000]  願意寫明,願意毫無計較的關係
[00:06:57.000 --> 00:07:01.000]  相反,故宮也是一些不會理會
[00:07:01.000 --> 00:07:05.000]  不認識或不願意的關係
[00:07:05.000 --> 00:07:08.000]  故宮就像不是真正的牧人
[00:07:08.000 --> 00:07:11.000]  我們查經時,也有問過弟兄
[00:07:11.000 --> 00:07:13.000]  會不會有假的羊呢?
[00:07:13.000 --> 00:07:16.000]  當然這不是經文重點
[00:07:16.000 --> 00:07:18.000]  在馬太福音說
