
[00:00:00.000 --> 00:00:06.540]  近來皇后伊麗莎白的去世帶來了很多紀錄片
[00:00:06.540 --> 00:00:10.240]  上星期我看了一小時的紀錄片
[00:00:10.240 --> 00:00:14.080]  說伊麗莎白女王的生平
[00:00:14.080 --> 00:00:16.080]  她1926年出生
[00:00:16.080 --> 00:00:18.720]  當她十歲的時候1936年1月
[00:00:18.720 --> 00:00:22.520]  她祖父喬治五世駕崩
[00:00:22.520 --> 00:00:29.440]  繼位的就是她的伯父42歲的愛德華八世
[00:00:29.440 --> 00:00:35.200]  愛德華八世並不是戀母的王位
[00:00:35.200 --> 00:00:39.360]  他是戀母在美國離婚
[00:00:39.360 --> 00:00:43.000]  並且將會再次離婚的美國婦人
[00:00:43.000 --> 00:00:50.440]  英國聖公會國教的聖公會反對這段婚姻
[00:00:50.440 --> 00:00:57.360]  不讓繼任的愛德華八世行婚禮
[00:00:57.360 --> 00:00:58.880]  叫他做一個決定
[00:00:58.880 --> 00:01:05.480]  究竟他想當皇帝還是離開這個位置
[00:01:05.480 --> 00:01:09.480]  去做自己的事情
[00:01:09.480 --> 00:01:11.480]  愛德華八世作出了一個決定
[00:01:11.480 --> 00:01:13.480]  我愛美人不愛江山
[00:01:13.480 --> 00:01:18.080]  所以他在同年1936年12月上逃
[00:01:18.080 --> 00:01:20.080]  愛德華八世卸任
[00:01:20.080 --> 00:01:22.960]  不再當英國的皇帝
[00:01:22.960 --> 00:01:27.360]  而是由林毅授命的
[00:01:27.360 --> 00:01:29.360]  女王伊麗莎白的父親
[00:01:29.360 --> 00:01:32.560]  喬治六世繼任
[00:01:32.560 --> 00:01:42.160]  所以女王成為了系統中
[00:01:42.160 --> 00:01:45.960]  將會承接皇位的人
[00:01:45.960 --> 00:01:49.560]  當她父親喬治六世成為了皇帝之後
[00:01:49.560 --> 00:01:53.560]  有很多人都勸喬治六世
[00:01:53.560 --> 00:01:54.560]  和媽媽們
[00:01:54.560 --> 00:01:55.560]  你們還年輕
[00:01:55.560 --> 00:01:57.560]  快點生一個男的
[00:01:57.560 --> 00:02:00.560]  因為英國的體系
[00:02:00.560 --> 00:02:07.560]  以尊王為領袖
[00:02:07.560 --> 00:02:11.560]  你們還有機會生一個男的
[00:02:11.560 --> 00:02:13.560]  但喬治六世
[00:02:13.560 --> 00:02:15.560]  伊麗莎白的父親說不需要
[00:02:15.560 --> 00:02:19.560]  因為我們看到伊麗莎白有很多美好的特質
[00:02:19.560 --> 00:02:21.560]  在她成長過程當中
[00:02:21.560 --> 00:02:24.560]  她可以成為一個很好的帶領者
[00:02:24.560 --> 00:02:28.560]  1952年2月6日
[00:02:28.560 --> 00:02:31.560]  當伊麗莎白和她的丈夫
[00:02:31.560 --> 00:02:35.560]  菲林親王在肯尼亞度假的時候
[00:02:35.560 --> 00:02:36.560]  與世隔絕
[00:02:36.560 --> 00:02:38.560]  當時沒有WhatsApp和電話
[00:02:38.560 --> 00:02:41.560]  全世界的人都知道一件事
[00:02:41.560 --> 00:02:43.560]  唯獨他們兩個不知道
[00:02:43.560 --> 00:02:45.560]  後來他們收到訊息
[00:02:45.560 --> 00:02:47.560]  喬治六世
[00:02:47.560 --> 00:02:49.560]  即是她父親的家賓
[00:02:49.560 --> 00:02:51.560]  所以在1952年
[00:02:51.560 --> 00:02:53.560]  正正是伊麗莎白皇后
[00:02:53.560 --> 00:02:55.560]  差不多26歲的時候
[00:02:55.560 --> 00:02:57.560]  成為了女皇
[00:02:57.560 --> 00:02:59.560]  在她一生當中
[00:02:59.560 --> 00:03:01.560]  她有很多事蹟
[00:03:01.560 --> 00:03:03.560]  在遊圖
[00:03:03.560 --> 00:03:05.560]  在她90歲的大壽的時候
[00:03:05.560 --> 00:03:07.560]  在2016年
[00:03:07.560 --> 00:03:08.560]  即是6年前
[00:03:08.560 --> 00:03:10.560]  有兩個人寫了一本書
[00:03:10.560 --> 00:03:12.560]  慶祝她90歲的大壽
[00:03:12.560 --> 00:03:15.560]  做了很多獨家的訪問
[00:03:15.560 --> 00:03:17.560]  成為了這本書
[00:03:17.560 --> 00:03:21.560]  The Servant Queen and the King She Serves
[00:03:21.560 --> 00:03:24.560]  看這個題目就覺得很特別
[00:03:24.560 --> 00:03:28.560]  英女皇當然是一個服務眾人的皇后
[00:03:28.560 --> 00:03:30.560]  但下面那句
[00:03:30.560 --> 00:03:33.560]  And the King She Serves
[00:03:33.560 --> 00:03:35.560]  那個皇她服務的
[00:03:35.560 --> 00:03:36.560]  是誰的皇呢
[00:03:36.560 --> 00:03:37.560]  在這本書當中
[00:03:37.560 --> 00:03:38.560]  一開首
[00:03:38.560 --> 00:03:39.560]  英女皇已經說到
[00:03:39.560 --> 00:03:42.560]  她所服務的就是萬有主宰
[00:03:42.560 --> 00:03:44.560]  獨一的真神
[00:03:44.560 --> 00:03:45.560]  耶和華
[00:03:45.560 --> 00:03:46.560]  耶穌基督
[00:03:46.560 --> 00:03:48.560]  其實在一生當中
[00:03:48.560 --> 00:03:53.560]  英女皇對信仰很重視
[00:03:53.560 --> 00:03:56.560]  很多的生命難關
[00:03:56.560 --> 00:03:57.560]  上一次說過
[00:03:57.560 --> 00:03:58.560]  2012年
[00:03:58.560 --> 00:04:01.560]  當她的妹妹瑪嘉烈和她的媽媽
[00:04:01.560 --> 00:04:03.560]  伊麗莎白去世的時候
[00:04:03.560 --> 00:04:04.560]  在很難的時期
[00:04:04.560 --> 00:04:06.560]  又或者戴安娜遇上車禍
[00:04:06.560 --> 00:04:08.560]  1997年的時候
[00:04:08.560 --> 00:04:10.560]  在很困難的時期
[00:04:10.560 --> 00:04:15.560]  都是信仰帶領她渡過很多生命的困境
[00:04:15.560 --> 00:04:16.560]  在這本書當中
[00:04:16.560 --> 00:04:20.560]  她講述了信仰對她的重要性
[00:04:20.560 --> 00:04:24.560]  一個很傳奇的人物
[00:04:24.560 --> 00:04:26.560]  亦都改變了世界的人物
[00:04:26.560 --> 00:04:30.560]  今天我們也會讀一個很傳奇的人物
[00:04:30.560 --> 00:04:33.560]  改變了歷史的人物
[00:04:33.560 --> 00:04:36.560]  不過不是我們想像中的英女皇
[00:04:36.560 --> 00:04:38.560]  而是一個妓女
[00:04:38.560 --> 00:04:39.560]  拉合
[00:04:39.560 --> 00:04:41.560]  很特別的人物
[00:04:41.560 --> 00:04:44.560]  這個故事
[00:04:44.560 --> 00:04:46.560]  記載在約書亞記第二章
[00:04:46.560 --> 00:04:49.560]  剛剛Jacqueline 幫我們讀出來的經文
[00:04:49.560 --> 00:04:50.560]  約書亞記第二章
[00:04:50.560 --> 00:04:53.560]  亦都是摩西五經之後
[00:04:53.560 --> 00:04:56.560]  講到摩西
