
[00:00:00.000 --> 00:00:09.000]  很感謝神的恩典,也很感謝洪恩唐的目者邀請我來這裡講道
[00:00:09.000 --> 00:00:20.000]  有一次我聽到的時候,那個講員提及在2015年的時候有一套美國的電影,就不是現在是2015年
[00:00:20.000 --> 00:00:27.000]  那套電影的名字叫做The Big Shot,在台灣就被翻譯成為大賣兇
[00:00:27.000 --> 00:00:32.000]  在香港就被翻譯成為孤主一擇
[00:00:32.000 --> 00:00:43.000]  這套電影就拿到第88屆奧斯卡金像獎的最佳影片,最佳導演等等五個獎項的提名
[00:00:43.000 --> 00:00:47.000]  就贏得最佳改編劇本獎
[00:00:47.000 --> 00:00:50.000]  這個故事其實是真人真事
[00:00:50.000 --> 00:01:07.000]  就敘述在2007到2008年環球金融危機的時候,在美國有四位專業人士就用一些專業的手法來操控金融投資進行孤主一擇
[00:01:07.000 --> 00:01:11.000]  從這件事裡面他們獲得了利益
[00:01:11.000 --> 00:01:21.000]  在美國還沒有暴露次按危機的時候,有一個基金經理叫Michael就通過大量的數據去分析
[00:01:21.000 --> 00:01:29.000]  就發覺地產市場由於過度的借貸,隨時會出現爆破的危機
[00:01:29.000 --> 00:01:43.000]  由於他覺得這件事是他覺得是對的,他就不顧金主的反對,他就孤主一擇向多間的投資銀行作出了信貸違約的對賭
[00:01:43.000 --> 00:01:48.000]  結果銀行家都說你真是傻子
[00:01:48.000 --> 00:01:59.000]  有一個銀行家叫Jared,他知道這個消息之後,有時候別人都說不要執輸,我想分一杯羹,但是他又很想減低風險
[00:01:59.000 --> 00:02:07.000]  就在機緣巧合之下,他就找到一個避險基金的經理叫Mark來一起合作
[00:02:07.000 --> 00:02:21.000]  另外還有兩個用車房來做投資的青年人叫Charlie和Jamie原本是想去華爾街尋求更大的投資機會
[00:02:21.000 --> 00:02:32.000]  但是在處處碰壁之下,他們意外的發現了一份文件,內容就是說地產泡沫的事情
[00:02:32.000 --> 00:02:43.000]  他們兩個就覺得大有可為,就找了一個舊的鄰居,就是退休的銀行家叫Ben來試一下以小博大
[00:02:43.000 --> 00:02:48.000]  這套電影就是在描述美國普羅大眾的投資心態
[00:02:48.000 --> 00:02:56.000]  很具體的用比喻來顯出不同的人都是很貪婪和群眾是很愚昧的
[00:02:56.000 --> 00:03:05.000]  上至銀行家,下到證券評級分析員和審批貸款的人都是向錢去看的
[00:03:05.000 --> 00:03:10.000]  大家是合力的炮製了那一次的金融危機
[00:03:10.000 --> 00:03:22.000]  影片反映當年借貸氾濫的情況和政界商界的人合作打造一種賺緊沒虧的那種假象
[00:03:22.000 --> 00:03:28.000]  讓那些人民漸漸失去了危機感
[00:03:28.000 --> 00:03:34.000]  我們香港人都會說,哪裡有這麼大的蟑螂隨街跳
[00:03:34.000 --> 00:03:39.000]  但是當人是沒有了危機意識的時候,就不會這樣想的
[00:03:39.000 --> 00:03:45.000]  銀行家和廣大的投資者他們是想了一件事,樓市不會倒的
[00:03:45.000 --> 00:03:49.000]  實際上他們是在想什麼呢?誰不會去供樓呢?
[00:03:49.000 --> 00:03:53.000]  這個是假設來的,在香港就是,在美國不一定
[00:03:53.000 --> 00:03:58.000]  其實他沒有實際的客觀分析,只是他想是這樣的
[00:03:58.000 --> 00:04:04.000]  Mark和他的團隊聽到樓市快要倒的預言,他也是半信半疑的
[00:04:04.000 --> 00:04:09.000]  他只是有一個這樣的想法,為什麼沒有人發現這件事
[00:04:09.000 --> 00:04:14.000]  這麼重要的事情沒有人發現,他就是在這裡做懷疑
[00:04:14.000 --> 00:04:23.000]  不過他懷疑歸懷疑,他和他的團隊就去走訪各地的住客查詢
[00:04:23.000 --> 00:04:30.000]  問問借貸人,或者那些證券評級員等等,或者投資經紀等等
[00:04:30.000 --> 00:04:36.000]  他不斷去問,他經過小心的求證,就相信樓市是會有爆破
[00:04:36.000 --> 00:04:45.000]  他就決定了買入了信貸違約的調期,從中來獲得利益
[00:04:45.000 --> 00:04:51.000]  我不是跟你說經濟的事情,而是想透過這套電影說出一件事
[00:04:51.000 --> 00:04:59.000]  當眾人以為一切如常的時候,只有少數人才發現有危機存在
[00:04:59.000 --> 00:05:03.000]  這個是歷史來的,你去到哪裡你都會看到是這樣的
[00:05:03.000 --> 00:05:09.000]  那些能夠早一點發現有危機的人,就一定是早著先機
[00:05:09.000 --> 00:05:17.000]  現在我說這些都是馬後炮,但是有電影出來,真人真事的事情
[00:05:17.000 --> 00:05:20.000]  是可以令我們想很多事情的
[00:05:20.000 --> 00:05:27.000]  我就用這個例子幫我們進入馬太福音第25章第一到第十三節
[00:05:27.000 --> 00:05:33.000]  我們有些經文在這裡就可以了,這個故事裡面有十個同類
[00:05:33.000 --> 00:05:38.000]  我將題目就沒那麼一般,好像屬靈化那樣
[00:05:38.000 --> 00:05:44.000]  變成要有危機意識,又要認清問題的核心,第三要行動起來
[00:05:44.000 --> 00:05:51.000]  我講到都是分這三個部分的,希望大家可以活化這段經文
[00:05:51.000 --> 00:05:55.000]  有危機意識我們看看馬太福音第25章的第三節
[00:05:55.000 --> 00:06:03.000]  第三節講到那些有五個的同類,經文就說他愚蠢
[00:06:03.000 --> 00:06:09.000]  他怎樣愚蠢呢?愚蠢的拿著燈卻沒有帶油
[00:06:09.000 --> 00:06:12.000]  你想一下這句其實是在講什麼?
[00:06:12.000 --> 00:06:20.000]  理論上他們拿著的燈是有油的,燈沒有油的
[00:06:20.000 --> 00:06:28.000]  不過他沒有帶油是什麼含義呢?是他沒有另外找個容器載定油
[00:06:28.000 --> 00:06:37.000]  為什麼說他愚蠢呢?因為他現在去迎接一個新郎,就是從別的地方來的
[00:06:37.000 --> 00:06:45.000]  去接人,接人你可能就想一下我們香港的處境,去接人是很簡單的
[00:06:45.000 --> 00:06:54.000]  但是原來在中東的時候,耶穌的時代去接人和我們今天接人是兩碼事來的
[00:06:54.000 --> 00:07:01.000]  為什麼?就算你知道對方什麼時候出發,你怎麼知道他什麼時候到?哪天到?
[00:07:01.000 --> 00:07:09.000]  你不像我們現在,我在中環搭東涌線,在南昌轉西鐵就來了
[00:07:09.000 --> 00:07:16.000]  你大概知道什麼時候有班車,什麼時候到,但是那時候其實是沒有辦法計算的
[00:07:16.000 --> 00:07:21.000]  沒有辦法計算的時候,所以那些同類去迎接新郎
[00:07:21.000 --> 00:07:26.000]  其實他不是拿著自己的燈就一定等到他的,對不對?
[00:07:26.000 --> 00:07:33.000]  道理就是這麼簡單,只不過那五個同類就覺得我拿著我手上的燈就可以了
[00:07:33.000 --> 00:07:37.000]  另外那五個同類就不是這樣
[00:07:37.000 --> 00:07:44.000]  好了,正經就沒有講到為什麼他們愚蠢,就只是用愚蠢這個字
[00:07:44.000 --> 00:07:48.000]  只是說這五個同類愚蠢,就沒有講為什麼他們愚蠢
[00:07:48.000 --> 00:07:53.000]  我可以試一下將背景講給大家聽,其實是這樣
[00:07:53.000 --> 00:07:57.000]  好了,到了第四節,聰明的是怎樣?
[00:07:57.000 --> 00:08:03.000]  聰明的就拿著燈,又預備遊載器命裡
[00:08:03.000 --> 00:08:08.000]  就是說他跟那些愚蠢的一樣,拿著燈,燈裡面一定有油的
[00:08:08.000 --> 00:08:14.000]  但是他們就另外找個容器塞住油,這樣就叫聰明一點
[00:08:14.000 --> 00:08:19.000]  愚蠢的就沒有這樣做,為什麼他們聰明呢?
[00:08:19.000 --> 00:08:23.000]  正經又沒有講為什麼聰明,但是原因,我這樣講給大家聽
[00:08:23.000 --> 00:08:29.000]  他去接人的時候,那個新郎,其實大家猜他今天來
[00:08:29.000 --> 00:08:36.000]  但是不知道他幾點鐘到,所以聰明的就拿著那盞燈
[00:08:36.000 --> 00:08:41.000]  以及帶備額外的油在手,就是這樣
[00:08:41.000 --> 00:08:48.000]  好了,聰明的同類就帶著另外的油,目的是什麼?
[00:08:48.000 --> 00:08:54.000]  以防對方遲到,所謂遲不遲到都很相對的
[00:08:54.000 --> 00:09:00.000]  那個時候我大概,那時候就真的可以,你看到我就看到,看不到就看不到
[00:09:00.000 --> 00:09:06.000]  這句話在耶穌時代是講得通的,在今天我們這樣講,你明白嗎?
[00:09:06.000 --> 00:09:10.000]  你的朋友就說你真是來不來的,我們今天是不會的
[00:09:10.000 --> 00:09:14.000]  我們今天有手機,你什麼時候到?你在什麼位置?
[00:09:14.000 --> 00:09:18.000]  你明白嗎?在地鐵上經常都有的,你在哪個位置?
[00:09:18.000 --> 00:09:23.000]  我們不會想到那個問題在哪裡,但是當我們回到耶穌的時代
[00:09:23.000 --> 00:09:27.000]  你發覺原來這個故事真是有背景的
[00:09:27.000 --> 00:09:33.000]  原來這班所謂愚拙的同類,他們是沒有一個意識
[00:09:33.000 --> 00:09:39.000]  對方可能會遲來的,簡直是沒有這個想法,沒有這個概念
[00:09:39.000 --> 00:09:45.000]  所以他們沒有心理準備,沒有想過要帶多另外的油出去
[00:09:45.000 --> 00:09:53.000]  你想一下,所以我就說,看完這段經文,再想一下這五個聖經說他愚拙的同類
[00:09:53.000 --> 00:09:59.000]  很明顯是沒有危機意識,或者你再可以講得盡一點
[00:09:59.000 --> 00:10:04.000]  根本你沒有你的常理都沒有,你那時候人人都知道
[00:10:04.000 --> 00:10:11.000]  騎著驢驅也好,駱駝也好,你都不知道他什麼時候到的
[00:10:11.000 --> 00:10:18.000]  晚上到也有,半夜到也有可能,那你去接人,你不是帶定你的油
[00:10:18.000 --> 00:10:23.000]  其實你想都想不到,沒有人會這麼傻的
[00:10:23.000 --> 00:10:28.000]  所以如果你這樣看的時候,這五個同類基本上是沒有危機意識
[00:10:28.000 --> 00:10:36.000]  又是沒有,我們中文就說他沒有腦,英文就說他沒有sense
[00:10:36.000 --> 00:10:44.000]  你根本不是做事的,為什麼聖經說這五個同類有五個聰明呢?
[00:10:44.000 --> 00:10:49.000]  就因為他有心理準備,如果事情有變的時候
[00:10:49.000 --> 00:10:53.000]  他都有得走盡,有個應變計劃
[00:10:53.000 --> 00:10:59.000]  在一個如果一切如常的時代,很多人都不會覺得有問題
[00:10:59.000 --> 00:11:05.000]  那你們記不記得在舊約聖經就講過一個時代,那些人都是差不多的
[00:11:05.000 --> 00:11:12.000]  在香港有個羅亞方舟,羅亞的時代都是這樣的
[00:11:12.000 --> 00:11:21.000]  那些人怎麼會覺得有事呢?是唯獨羅亞與眾不同,他去蓋方舟,還叫家人去蓋
[00:11:21.000 --> 00:11:24.000]  你想一下周圍的人會跟他說什麼呢?
[00:11:24.000 --> 00:11:30.000]  你都傻的,這麼空閒不做事,蓋方舟做什麼呢?
[00:11:30.000 --> 00:11:34.000]  你蓋一間屋就說而已,所以很正常的
[00:11:34.000 --> 00:11:40.000]  很多時候很多人是沒有了危機意識
[00:11:40.000 --> 00:11:47.000]  只是非常少數的人,他覺得不是這樣的
[00:11:47.000 --> 00:11:51.000]  所以如果你是有一種這樣的思維
[00:11:51.000 --> 00:11:57.000]  你可能都會懷疑自己是不是想多了
[00:11:57.000 --> 00:12:04.000]  這幾年的變化,就令到我們大家本來都不是很有危機意識
[00:12:04.000 --> 00:12:07.000]  現在都增加了危機意識
[00:12:07.000 --> 00:12:12.000]  你剛才都見到我,我戴著口罩進來
[00:12:12.000 --> 00:12:17.000]  為什麼呢?就因為我坐船,現在我兩元雞
[00:12:17.000 --> 00:12:21.000]  我當然是坐快船,快船八個字
[00:12:21.000 --> 00:12:25.000]  快船是密封的,不透風的
[00:12:25.000 --> 00:12:29.000]  旁邊那個人夾著夾著,你都沒有他扶著
[00:12:29.000 --> 00:12:33.000]  所以我一下船,我就戴著口罩
[00:12:33.000 --> 00:12:37.000]  還有坐地鐵,你們有沒有今天有坐地鐵來?
[00:12:37.000 --> 00:12:41.000]  你沒有吧?今天特別多人
[00:12:41.000 --> 00:12:46.000]  真的多人到不得了,我在中環上東涌線去南昌
[00:12:46.000 --> 00:12:49.000]  這麼多,上映多人,在南昌又這麼多人
[00:12:49.000 --> 00:12:53.000]  還有很多人是說普通話的
[00:12:53.000 --> 00:12:58.000]  今天可能有六十萬人來我們香港消費
[00:12:58.000 --> 00:13:03.000]  即是說你戴著口罩其實沒有壞的
[00:13:03.000 --> 00:13:06.000]  我就是這樣想,這是危機意識
[00:13:06.000 --> 00:13:11.000]  我們經過這幾年,我們經常都有心理準備
[00:13:11.000 --> 00:13:16.000]  可能事情會變差,我們都會這樣想
[00:13:16.000 --> 00:13:22.000]  英文又叫worst scenario,即是一個更壞的情況出現的時候
[00:13:22.000 --> 00:13:26.000]  我們就會自然問有沒有plan B?
[00:13:26.000 --> 00:13:30.000]  有沒有兩手準備?經常這樣說
[00:13:30.000 --> 00:13:34.000]  搞聚會也是,如果疫情封了的時候
[00:13:34.000 --> 00:13:38.000]  還有下一個你做不做?譬如學校的畢業禮又怎樣?
[00:13:38.000 --> 00:13:42.000]  你會發覺原來我們已經被迫要這樣想
[00:13:42.000 --> 00:13:46.000]  在外在環境沒辦法控制的時候,我們會怎樣做?
[00:13:46.000 --> 00:13:51.000]  我們是擺一個防守陣容,總之就是保本止蝕
[00:13:51.000 --> 00:13:55.000]  這是首要任務,總之就是做到最穩陣的事
[00:13:55.000 --> 00:13:59.000]  其實我們很感謝神,其實香港的情況不算好
[00:13:59.000 --> 00:14:04.000]  不過很多地方的情況是更加差,這是事實
[00:14:04.000 --> 00:14:09.000]  值得我們去想的問題就是究竟我們有沒有心理準備
[00:14:09.000 --> 00:14:13.000]  我們如果想的事情不能夠實現的時候
[00:14:13.000 --> 00:14:18.000]  或者我們根本想的事情是建立在一個錯誤的基礎上的時候
[00:14:18.000 --> 00:14:24.000]  我們應該怎樣呢?我想我們中國人有四個字很有意思
[00:14:24.000 --> 00:14:27.000]  居安思危,我們要想這些東西
[00:14:27.000 --> 00:14:32.000]  同樣的在黑暗裡面去預備黎明的出現
[00:14:32.000 --> 00:14:37.000]  經過這幾年之後你會發覺有一個道理
[00:14:37.000 --> 00:14:41.000]  就是說停擺這個名字是很普遍的
[00:14:41.000 --> 00:14:45.000]  但是如果在疫情的時候我們真的停擺
[00:14:45.000 --> 00:14:48.000]  那結果你是一定會起動慢過人的
[00:14:48.000 --> 00:14:53.000]  如果你在疫情裡面你盡量維持前進
[00:14:53.000 --> 00:14:55.000]  你是還可以走得動的
[00:14:55.000 --> 00:14:58.000]  好了,到了疫情尾的時候
[00:14:58.000 --> 00:15:04.000]  其實就應該大家去想部署了有變化的時候你會怎樣
[00:15:04.000 --> 00:15:06.000]  是不是這樣?一定是這樣的
[00:15:06.000 --> 00:15:09.000]  如果他在疫情尾都是沒有想頭的話
[00:15:09.000 --> 00:15:13.000]  那他們一定是走得慢過人的
[00:15:13.000 --> 00:15:16.000]  到了現在就已經不是說疫情了
[00:15:16.000 --> 00:15:18.000]  除非有大變化
[00:15:18.000 --> 00:15:22.000]  其實是說不是起動,是反彈
[00:15:22.000 --> 00:15:24.000]  你有沒有聽過做生意的人
