
[00:00:00.000 --> 00:00:04.000]  我們親愛的天父上帝 願祢得著當德的榮耀
[00:00:04.000 --> 00:00:07.000]  願祢的聖靈臨到我們的心裏面
[00:00:07.000 --> 00:00:09.000]  開啟我們屬靈的眼睛
[00:00:09.000 --> 00:00:12.000]  明白你聖經裏面華語的寶貴
[00:00:12.000 --> 00:00:16.000]  也賜給我們能力 給我們勇氣和信心
[00:00:16.000 --> 00:00:19.000]  我們行在祢的旨意當中
[00:00:19.000 --> 00:00:21.000]  這樣祈禱奉耶穌基督的名 阿們
[00:00:22.000 --> 00:00:26.000]  感謝神恩典讓我和弟兄姊妹分享聖經的信息
[00:00:26.000 --> 00:00:33.000]  我今年以《以賽亞書》第一到十二章為講道的重點
[00:00:33.000 --> 00:00:36.000]  有可能今年也講不完
[00:00:36.000 --> 00:00:41.000]  今天的經文是《以賽亞書》第六章
[00:00:41.000 --> 00:00:46.000]  我想很多弟兄姊妹對這段經文都有印象或者熟悉
[00:00:46.000 --> 00:00:52.000]  我自己就按照經文的結構分了三個部分
[00:00:52.000 --> 00:00:56.000]  第一個部分就是領受異象
[00:00:56.000 --> 00:01:00.000]  第二個部分就是被潔淨 被差遣
[00:01:00.000 --> 00:01:05.000]  第三個部分也是我覺得這段經文最特別的部分
[00:01:05.000 --> 00:01:10.000]  就是一個沒有掌聲的使命
[00:01:10.000 --> 00:01:14.000]  我們看看第一個部分就是領受異象
[00:01:14.000 --> 00:01:19.000]  經文第一第六章第一節提到烏西亞王
[00:01:19.000 --> 00:01:24.000]  我自己也會參考聖經的著色書
[00:01:24.000 --> 00:01:25.000]  這個烏西亞王
[00:01:25.000 --> 00:01:28.000]  他說烏西亞王崩那一年是甚麼時候
[00:01:28.000 --> 00:01:35.000]  烏西亞王是在主前的七百九十二到七百四十年之間做皇帝
[00:01:35.000 --> 00:01:39.000]  當時我們叫做主前的八世紀
[00:01:39.000 --> 00:01:41.000]  在南邊猶大國的時間
[00:01:41.000 --> 00:01:46.000]  甚至在北邊也是他們國勢很鼎盛的時候
[00:01:46.000 --> 00:01:48.000]  在大衛所羅門之後
[00:01:48.000 --> 00:01:52.000]  這個時候主前八世紀是他們國勢最好的
[00:01:52.000 --> 00:01:55.000]  各個地方的貿易都通過他們
[00:01:55.000 --> 00:01:58.000]  收了很多稅 出產也不錯
[00:01:58.000 --> 00:02:02.000]  但是烏西亞王晚年的時候就心高氣傲
[00:02:02.000 --> 00:02:05.000]  在聖殿裡面燒香拜偶像
[00:02:05.000 --> 00:02:08.000]  上帝令到他生大麻風
[00:02:08.000 --> 00:02:11.000]  他被迫退居幕後
[00:02:11.000 --> 00:02:15.000]  由他的兒子約譚和他共同執政了十二年
[00:02:15.000 --> 00:02:18.000]  這些背景經文是沒有交代的
[00:02:18.000 --> 00:02:22.000]  但是我們可以在聖經著色書裡面可以看到
[00:02:22.000 --> 00:02:26.000]  雖然猶大國的國勢很興盛
[00:02:26.000 --> 00:02:31.000]  但是在政治 社會 道德和宗教上面
[00:02:31.000 --> 00:02:32.000]  是充滿罪惡的
[00:02:32.000 --> 00:02:34.000]  這些我們可以看回
[00:02:34.000 --> 00:02:36.000]  以蔡夏書第五章二十節
[00:02:36.000 --> 00:02:41.000]  其實在一到五章是交代了當時猶大國的人
[00:02:41.000 --> 00:02:45.000]  他們的生活和他們的淑齡景況
[00:02:45.000 --> 00:02:47.000]  我鼓勵大家一邊聽講道理
[00:02:47.000 --> 00:02:51.000]  一邊打開聖經 以蔡夏書第六章
[00:02:51.000 --> 00:02:53.000]  因為我一節一節地講
[00:02:53.000 --> 00:02:56.000]  變成你可能會有得益也說不定
[00:02:56.000 --> 00:02:59.000]  好了 舊約聖經裡面有好幾類重要的人物
[00:02:59.000 --> 00:03:01.000]  你也聽過的
[00:03:01.000 --> 00:03:07.000]  君王 先知 祭司 和智威人
[00:03:07.000 --> 00:03:13.000]  在舊約聖經是很多經卷都以這四種人物為中心
[00:03:13.000 --> 00:03:15.000]  祭司有什麼特別呢
[00:03:15.000 --> 00:03:19.000]  他通常和皇帝有緊密的合作
[00:03:19.000 --> 00:03:21.000]  因為有聖殿的時候才有祭司
[00:03:21.000 --> 00:03:25.000]  變成了 當然摩西的時候也有
[00:03:25.000 --> 00:03:27.000]  但是問題是當他到了王國
[00:03:27.000 --> 00:03:29.000]  正式建立了聖殿的時候
[00:03:29.000 --> 00:03:33.000]  聖殿祭司和皇帝一定是很密切的
[00:03:33.000 --> 00:03:35.000]  而先知有分兩類的
[00:03:35.000 --> 00:03:37.000]  一類叫做宮廷的先知
[00:03:37.000 --> 00:03:40.000]  就是在皇帝的皇宮裡面做先知
[00:03:40.000 --> 00:03:42.000]  有一類是平民先知
[00:03:42.000 --> 00:03:46.000]  譬如阿摩斯你可以說他是平民的先知
[00:03:46.000 --> 00:03:51.000]  而宮廷的先知也通常和皇帝有很密切的合作關係
[00:03:51.000 --> 00:03:54.000]  而平民的先知通常會對社會不公義
[00:03:54.000 --> 00:03:57.000]  作出一些嚴厲的批判
[00:03:57.000 --> 00:04:00.000]  所以要講的重點就是宮廷裡面的先知
[00:04:00.000 --> 00:04:03.000]  也可以是祭司
[00:04:03.000 --> 00:04:07.000]  我講這些是和以賽雅的身份有關係的
[00:04:07.000 --> 00:04:12.000]  以賽雅原來和烏西亞王有親戚的關係
[00:04:12.000 --> 00:04:14.000]  這裡是經文沒有交代的
[00:04:14.000 --> 00:04:16.000]  既然有親戚關係的時候
[00:04:16.000 --> 00:04:21.000]  她的身份在皇宮裡面就應該是被信任的
[00:04:21.000 --> 00:04:24.000]  可以說她是皇室或者叫宮廷的先知
[00:04:24.000 --> 00:04:26.000]  如果是祭司的時候
[00:04:26.000 --> 00:04:30.000]  很明顯是很受皇帝烏西亞王信任的祭司
[00:04:30.000 --> 00:04:34.000]  所以你大概猜到以賽雅是一個什麼樣的人
[00:04:34.000 --> 00:04:35.000]  她是什麼樣的身份
[00:04:35.000 --> 00:04:37.000]  她的侍奉是怎麼樣的
[00:04:37.000 --> 00:04:39.000]  如果她是一個祭司
[00:04:39.000 --> 00:04:43.000]  我想她是舊時候有人穿著祭司袍
[00:04:43.000 --> 00:04:47.000]  你就會相信她是一個很虔誠的宗教人士
