
[00:00:00.000 --> 00:00:07.000]  在同慶期間我們也講及很多在教會歷史當中的前輩
[00:00:07.000 --> 00:00:09.000]  一些先賢
[00:00:09.000 --> 00:00:11.000]  講述到他們的見證的時候
[00:00:11.000 --> 00:00:13.000]  給我們很多很多的感動
[00:00:13.000 --> 00:00:15.000]  很多的激勵
[00:00:15.000 --> 00:00:18.000]  這些先賢他們在主的裡面
[00:00:18.000 --> 00:00:21.000]  很投入很委身地侍奉
[00:00:21.000 --> 00:00:24.000]  帶給我們今天的祝福
[00:00:24.000 --> 00:00:27.000]  有些時候看回他們的經歷
[00:00:27.000 --> 00:00:31.000]  體會他們各人的日子又長又短
[00:00:31.000 --> 00:00:33.000]  有些長壽一點
[00:00:33.000 --> 00:00:36.000]  有些很年輕的時候離開
[00:00:36.000 --> 00:00:38.000]  但看回這些見證人的時候
[00:00:38.000 --> 00:00:40.000]  也有一個特點
[00:00:40.000 --> 00:00:42.000]  就是他們由始到終
[00:00:42.000 --> 00:00:45.000]  無論人生發生什麼事情
[00:00:45.000 --> 00:00:47.000]  經歷什麼難處
[00:00:47.000 --> 00:00:51.000]  他們都是持久地順靠主
[00:00:51.000 --> 00:00:55.000]  一直走直到他們離開世界
[00:00:55.000 --> 00:00:57.000]  用我們英文常常講的幾句話
[00:00:57.000 --> 00:01:00.000]  他們finish well
[00:01:00.000 --> 00:01:04.000]  他們有一種生命的善終
[00:01:04.000 --> 00:01:09.000]  能夠在神的面前一直走完他們要走的路
[00:01:09.000 --> 00:01:12.000]  希伯來書第十二章提及
[00:01:12.000 --> 00:01:16.000]  人生是一條賽道或者說跑道
[00:01:16.000 --> 00:01:21.000]  在這條跑道上一直跑
[00:01:21.000 --> 00:01:25.000]  重要的不是單單某一段時間跑得快
[00:01:25.000 --> 00:01:30.000]  而是一生能夠持續地跟隨主
[00:01:30.000 --> 00:01:33.000]  能夠完成主對我們的心意
[00:01:33.000 --> 00:01:37.000]  跑完我們當跑的路
[00:01:37.000 --> 00:01:40.000]  在這條路上有些人先跑
[00:01:40.000 --> 00:01:42.000]  有些人跑後
[00:01:42.000 --> 00:01:47.000]  但跑完的人好像馬拉松賽跑
[00:01:47.000 --> 00:01:49.000]  跑完之後他們休息一會
[00:01:49.000 --> 00:01:53.000]  他們跑到旁邊跟其他人打氣
[00:01:53.000 --> 00:01:55.000]  繼續跑放心
[00:01:55.000 --> 00:01:59.000]  跑得完的我們跑完了你們繼續努力
[00:01:59.000 --> 00:02:02.000]  就是這樣來鼓勵我們
[00:02:02.000 --> 00:02:04.000]  希伯來書第十二章第一節
[00:02:04.000 --> 00:02:06.000]  也是我們曾經讀過的金句
[00:02:06.000 --> 00:02:08.000]  就這樣說
[00:02:08.000 --> 00:02:12.000]  所以我們既然有這麼多的見證人
[00:02:12.000 --> 00:02:15.000]  將雲彩圍繞著我們
[00:02:15.000 --> 00:02:19.000]  我們就應該第一脫下各樣的拖累
[00:02:19.000 --> 00:02:23.000]  第二和那些容易纏著我們的罪
[00:02:23.000 --> 00:02:30.000]  第三以堅忍的心奔跑那擺在我們面前的賽程
[00:02:30.000 --> 00:02:35.000]  正如雲彩描寫有很多的見證人
[00:02:35.000 --> 00:02:40.000]  這裡所說的見證人含有一種是觀察員的含義
[00:02:40.000 --> 00:02:43.000]  不是要監察著我們
[00:02:43.000 --> 00:02:46.000]  而是在旁邊為我們打氣
[00:02:46.000 --> 00:02:48.000]  放心吧
[00:02:48.000 --> 00:02:50.000]  神帶領我們走完這段路程
[00:02:50.000 --> 00:02:54.000]  祂也可以帶領你們走完你們的路程
[00:02:54.000 --> 00:02:56.000]  見到他們的榜樣
[00:02:56.000 --> 00:02:58.000]  見到他們雖然有軟弱
[00:02:58.000 --> 00:03:00.000]  甚至有些曾經跌倒
[00:03:00.000 --> 00:03:04.000]  但神仍然在當中一路保守帶領
[00:03:04.000 --> 00:03:08.000]  讓他們走完人生的路
[00:03:08.000 --> 00:03:12.000]  有些時候當我們走到人生的路的時候
[00:03:12.000 --> 00:03:16.000]  就會想起自己那麼多軟弱
[00:03:16.000 --> 00:03:18.000]  我那麼多困難
[00:03:18.000 --> 00:03:20.000]  我怎麼走得完呢?
[00:03:20.000 --> 00:03:23.000]  將來怎麼都不敢說
[00:03:23.000 --> 00:03:25.000]  但聖經很清楚地說一件事情
[00:03:25.000 --> 00:03:28.000]  聖經說「神是信實的」
[00:03:28.000 --> 00:03:31.000]  我們雖然失信
[00:03:31.000 --> 00:03:34.000]  他仍是可信的
[00:03:34.000 --> 00:03:37.000]  因為他不能背負自己
[00:03:37.000 --> 00:03:39.000]  如果我們看自己的時候
[00:03:39.000 --> 00:03:41.000]  很多時候都會灰心
[00:03:41.000 --> 00:03:44.000]  但當我們眼目集中向主的時候
