
[00:00:00.000 --> 00:00:04.240]  馬達福音第五章十七至第二十六節
[00:00:04.240 --> 00:00:06.840]  很多弟兄姊妹都很熟悉這段聖經
[00:00:06.840 --> 00:00:09.000]  起碼都讀過幾次
[00:00:09.000 --> 00:00:11.600]  但我再去詳細研究
[00:00:11.600 --> 00:00:13.120]  預備今天的講道的時候
[00:00:13.120 --> 00:00:16.640]  我發覺每一節都很難
[00:00:16.640 --> 00:00:19.880]  你不相信我告訴你
[00:00:19.880 --> 00:00:21.160]  花了很多時間
[00:00:21.160 --> 00:00:25.000]  因為每一節都引起我想起這個問題
[00:00:25.000 --> 00:00:26.640]  都沒辦法回答的
[00:00:26.640 --> 00:00:28.720]  當然今天我們時間很有限
[00:00:28.720 --> 00:00:32.480]  沒辦法詳細跟大家逐點去研究
[00:00:32.480 --> 00:00:36.080]  但我希望將這段這麼困難的經文
[00:00:36.080 --> 00:00:37.520]  不單止去解說
[00:00:37.520 --> 00:00:41.000]  還能夠用在我們的屬靈生命上
[00:00:41.000 --> 00:00:43.960]  讓主的說話幫助我們怎樣做一個門徒
[00:00:43.960 --> 00:00:44.520]  好嗎?
[00:00:44.520 --> 00:00:47.480]  好,我們現在開始
[00:00:47.480 --> 00:00:48.600]  為什麼這麼難呢?
[00:00:48.600 --> 00:00:52.640]  第十七節到十九節
[00:00:52.640 --> 00:00:54.200]  我不再重複再讀了
[00:00:54.200 --> 00:00:55.480]  大家都很熟悉了
[00:00:55.480 --> 00:00:59.480]  耶穌說我們要完成或承傳律法
[00:00:59.480 --> 00:01:01.240]  我不是要來廢掉律法
[00:01:01.240 --> 00:01:03.920]  而且律法一點一滑都不可以廢去
[00:01:03.920 --> 00:01:04.960]  天地都要廢去
[00:01:04.960 --> 00:01:07.080]  但律法一點都不可以廢去
[00:01:07.080 --> 00:01:08.760]  耶穌說得很清楚
[00:01:08.760 --> 00:01:12.040]  有人如果不遵守律法
[00:01:12.040 --> 00:01:13.600]  教人遵守的
[00:01:13.600 --> 00:01:15.160]  他是最小的在天國裡面
[00:01:15.160 --> 00:01:17.960]  有人如果教人遵守的時候
[00:01:17.960 --> 00:01:20.400]  他自己又遵守的話
[00:01:20.400 --> 00:01:21.880]  他是天國裡面最大的
[00:01:21.880 --> 00:01:22.600]  很清楚
[00:01:22.600 --> 00:01:25.720]  耶穌這三句話的目標很清楚
[00:01:25.720 --> 00:01:26.920]  意思很清楚
[00:01:26.920 --> 00:01:28.560]  這個一點都不會懷疑的
[00:01:28.560 --> 00:01:31.520]  就是律法是不可以廢掉的
[00:01:31.520 --> 00:01:33.360]  律法是要遵守的
[00:01:33.360 --> 00:01:35.360]  並且遵守得最仔細
[00:01:35.360 --> 00:01:38.800]  而且是要承傳的
[00:01:38.800 --> 00:01:41.200]  那有什麼困難呢?
[00:01:41.200 --> 00:01:42.680]  難啊
[00:01:42.680 --> 00:01:45.280]  因為接著我就想起三個問題
[00:01:45.280 --> 00:01:46.160]  第一
[00:01:46.160 --> 00:01:48.680]  耶穌剛剛說完這段話
[00:01:49.120 --> 00:01:52.760]  接著在《馬達福音》記載了耶穌用了六個例子
[00:01:52.760 --> 00:01:54.240]  去挑戰律法
[00:01:54.240 --> 00:01:56.080]  耶穌說要來
[00:01:56.080 --> 00:01:57.120]  要守律法的
[00:01:57.120 --> 00:01:58.000]  教我們要守律法
[00:01:58.000 --> 00:01:59.120]  接著就說
[00:01:59.120 --> 00:02:00.120]  你看到吧
[00:02:00.120 --> 00:02:02.320]  接著就用六個不同的情況
[00:02:02.320 --> 00:02:03.200]  他說
[00:02:03.200 --> 00:02:04.960]  有吩咐古人的話
[00:02:04.960 --> 00:02:05.520]  很清楚
[00:02:05.520 --> 00:02:06.680]  這個就是說
[00:02:06.680 --> 00:02:08.920]  以前舊約的時候的律法
[00:02:08.920 --> 00:02:10.360]  摩西的律法
[00:02:10.360 --> 00:02:12.000]  這樣這樣
[00:02:12.000 --> 00:02:12.680]  不可殺人
[00:02:12.680 --> 00:02:13.960]  待會我們會看那一段
[00:02:13.960 --> 00:02:16.720]  接著耶穌就會同一個說法
[00:02:16.720 --> 00:02:18.480]  "可視我告訴你們"
[00:02:18.480 --> 00:02:19.320]  就是挑戰它
[00:02:19.320 --> 00:02:20.920]  不是這樣的
[00:02:20.920 --> 00:02:22.800]  接著又說
