
[00:00:00.000 --> 00:00:05.440]  今天我們要看「聖過罪惡」
[00:00:05.440 --> 00:00:12.320]  下一個週日我們看「聖過世界」
[00:00:12.320 --> 00:00:22.280]  「自我、罪惡、世界」是基督徒的三大敵人
[00:00:22.280 --> 00:00:26.360]  我們靠著主來得勝
[00:00:26.360 --> 00:00:30.800]  好像我們的金句一樣
[00:00:30.800 --> 00:00:36.280]  我們靠著主來得勝
[00:00:36.280 --> 00:00:40.720]  主帶領我們跨勝
[00:00:40.720 --> 00:00:45.040]  我們要看一看在約翰一書裡看
[00:00:45.040 --> 00:00:52.960]  請大家翻到約翰一書
[00:00:52.960 --> 00:01:00.120]  這是使徒約翰寫給當時的基督徒的
[00:01:00.120 --> 00:01:08.000]  在這尊書裡提到如何得勝罪惡
[00:01:08.000 --> 00:01:15.680]  我們要看得勝罪惡的幾個重要的因素
[00:01:15.680 --> 00:01:18.200]  第一個因素
[00:01:18.200 --> 00:01:24.240]  是愛神的心使我們得勝
[00:01:24.240 --> 00:01:34.080]  請大家翻到約翰一書第四章十八節
[00:01:34.080 --> 00:01:38.600]  四章十八節
[00:01:38.600 --> 00:01:40.480]  愛女沒有懼怕
[00:01:40.480 --> 00:01:44.480]  愛忌完全就把懼怕除去
[00:01:44.480 --> 00:01:46.880]  因為懼怕女含著刑罰
[00:01:46.880 --> 00:01:50.960]  懼怕的人在愛裡未得完全
[00:01:50.960 --> 00:01:53.200]  愛完全的時候
[00:01:53.200 --> 00:01:56.320]  我們心裡就坦然無懼
[00:01:56.320 --> 00:01:57.920]  愛得完全的時候
[00:01:57.920 --> 00:02:00.520]  我們的心裡就會坦然無懼
[00:02:00.520 --> 00:02:05.120]  沒有懼怕、不安
[00:02:05.120 --> 00:02:12.240]  因為懼怕裡面有一個隱藏的意識
[00:02:12.240 --> 00:02:16.000]  就是有罪過
[00:02:16.000 --> 00:02:19.520]  一個人做了神不喜悅的事
[00:02:19.520 --> 00:02:20.560]  他就怕
[00:02:20.560 --> 00:02:23.040]  一個人如果做了神不喜悅的事
[00:02:23.040 --> 00:02:24.320]  他就會懼怕
[00:02:24.320 --> 00:02:28.280]  就失去了平安
[00:02:28.280 --> 00:02:36.320]  當神的愛在我們裡面更強更強的時候
[00:02:36.320 --> 00:02:42.400]  當我們愛主的心也增強的時候
[00:02:42.400 --> 00:02:49.040]  我們就得到力量來勝過罪惡
[00:02:49.040 --> 00:02:55.840]  神的愛在我們裡面漸漸完全
[00:02:55.840 --> 00:03:03.840]  我們對神的愛的回應也漸漸的完全
[00:03:03.840 --> 00:03:05.040]  弟兄姊妹
