
[00:00:00.000 --> 00:00:07.880]  我們繼續地領授聖經新約裏面希伯來蘇的寶貴的信息
[00:00:07.880 --> 00:00:12.800]  這是希伯來蘇信息的第七講
[00:00:12.800 --> 00:00:20.300]  我們過去已經看過了這個世上一切的事物如何地常常有改變
[00:00:20.300 --> 00:00:25.500]  然後我們看見我們的主耶穌基督永不改變
[00:00:25.500 --> 00:00:40.400]  祂的全能永不改變,祂的公義永不改變,祂的應許永不改變,祂的愛永不改變,祂的大祭司的職任永不改變
[00:00:40.400 --> 00:00:46.400]  今天我們在第七講裏面要看另外一方面的信息
[00:00:46.400 --> 00:00:53.800]  就是希伯來蘇告訴我們耶穌基督是更美的基督
[00:00:53.800 --> 00:00:58.400]  祂比一切的一切更美
[00:00:58.400 --> 00:01:06.400]  那麼我們要在希伯來蘇裏面看一看,到底耶穌基督比什麼更美呢?
[00:01:06.400 --> 00:01:09.100]  祂超越了什麼呢?
[00:01:09.100 --> 00:01:17.100]  第一,耶穌基督比天使的名更美,比天使更尊貴
[00:01:17.100 --> 00:01:20.800]  這是第一章第四節所說的
[00:01:20.800 --> 00:01:26.200]  我讀給大家聽,第一章第四節
[00:01:26.200 --> 00:01:34.600]  祂所承受的名,即比天使的名更尊貴,就遠超過天使
[00:01:34.600 --> 00:01:43.200]  我們的主耶穌基督的名,比天使的名更尊貴,遠遠的超過天使
[00:01:43.200 --> 00:01:44.900]  爲什麼呢?
[00:01:44.900 --> 00:01:49.900]  第一個原因,天使是被造的
[00:01:49.900 --> 00:01:56.800]  而基督是神在永恆之中所生的
[00:01:56.800 --> 00:02:00.800]  一個是被造,一個是被生
[00:02:00.800 --> 00:02:04.600]  這兩者之間有很大的分別
[00:02:04.600 --> 00:02:08.400]  在第一章第五節這樣說
[00:02:08.400 --> 00:02:11.600]  第一章第五節這樣說
[00:02:11.600 --> 00:02:16.200]  所有的天使,神從來對哪一個說過
[00:02:16.200 --> 00:02:19.800]  你是我的兒子,我今日生你呢?
