
[00:00:00.000 --> 00:00:04.400]  如果大家還記得,在今年年初的第一個主日
[00:00:04.400 --> 00:00:07.000]  我們都是用全道書開始
[00:00:07.000 --> 00:00:10.200]  即是全道書的第一章,一至十八節
[00:00:10.200 --> 00:00:15.000]  今天是2023年最後一個主日,亦是最後一天
[00:00:15.000 --> 00:00:20.000]  所以我都希望用全道書最後一段經文
[00:00:20.000 --> 00:00:21.600]  去跟大家總結一下
[00:00:21.600 --> 00:00:25.200]  究竟全道者在整個十二章的經文裏面
[00:00:25.200 --> 00:00:29.400]  對我們在哪方面有一個很重要的提醒呢?
[00:00:29.400 --> 00:00:31.600]  在第十二章的第八節
[00:00:31.600 --> 00:00:36.600]  在這裏說:全道者說虛空的虛空,凡事都是虛空
[00:00:36.600 --> 00:00:41.800]  這裏基本上在一章第二節都有同一句說話
[00:00:41.800 --> 00:00:45.800]  可以作為整個全道書前後的呼應
[00:00:45.800 --> 00:00:49.800]  但很多時候我們都誤解了全道者的意思
[00:00:49.800 --> 00:00:54.600]  全道者在這裏說,如果我們在有限的人生裏面
[00:00:54.600 --> 00:00:56.800]  我們幾十年很快就過去了
[00:00:56.800 --> 00:00:59.800]  如果我們沒有去敬畏上帝
[00:00:59.800 --> 00:01:04.200]  享受上帝給我們這幾十年的人生的福分
[00:01:04.200 --> 00:01:06.600]  你的生命就會很空虛
[00:01:06.600 --> 00:01:10.800]  其實全道者是想說這個道理給我們知道
[00:01:10.800 --> 00:01:13.400]  在第九至十一節他這樣說
[00:01:13.400 --> 00:01:18.000]  再者,全道者因有智慧仍將知識教訓眾人
[00:01:18.000 --> 00:01:22.000]  又默想又考察,又陳述許多真言
[00:01:22.000 --> 00:01:25.600]  全道者專心尋求可喜悅的言語
[00:01:25.600 --> 00:01:28.000]  是憑正直寫的誠實話
[00:01:28.000 --> 00:01:30.400]  智慧人的言語好像詞群
[00:01:30.400 --> 00:01:34.000]  回中之詩的言語,猶像釘魂的釘子
[00:01:34.000 --> 00:01:36.600]  都是一個目者所持的
[00:01:36.600 --> 00:01:40.200]  全道者在這裏說,他自己是一個智者
[00:01:40.200 --> 00:01:42.400]  他前人都有很多的智者
[00:01:42.400 --> 00:01:45.000]  他不是否定這個世界只有我一個智慧人,不是
[00:01:45.000 --> 00:01:47.800]  我前人都有很多有智慧的人
[00:01:47.800 --> 00:01:50.400]  我亦都是一個智者
[00:01:50.400 --> 00:01:55.400]  很強調他自己在這方面的身份
[00:01:55.400 --> 00:01:57.400]  不過當然,他說這個智慧
[00:01:57.400 --> 00:02:00.400]  不是只是一個頭腦上認識很多的知識
[00:02:00.400 --> 00:02:04.800]  而是他在說,我知道在一個有限的人生裏
[00:02:04.800 --> 00:02:07.600]  我怎樣過一個有福的人生
[00:02:07.600 --> 00:02:09.600]  所以我是一個智者
[00:02:09.600 --> 00:02:13.000]  在這裏他可以說,他第一次提及
[00:02:13.000 --> 00:02:15.000]  他自己的工作是甚麼
[00:02:15.000 --> 00:02:17.800]  他要將他自己所認識的
[00:02:17.800 --> 00:02:21.200]  去教導眾人
[00:02:21.200 --> 00:02:23.600]  他提出了三方面的努力
[00:02:23.600 --> 00:02:29.000]  第一,他搜集了前人很多智者的一些真言
[00:02:29.000 --> 00:02:34.400]  他看過很多,然後他作一個天寫,可以默想
[00:02:34.400 --> 00:02:39.400]  亦都說,全道者不單止是一個只想教導人的人
[00:02:39.400 --> 00:02:42.000]  他自己都去聆聽別人
[00:02:42.000 --> 00:02:46.400]  其他智者的一些言語,自己有所學習
[00:02:46.400 --> 00:02:52.200]  然後他知道其他智者的一些言語
[00:02:52.200 --> 00:02:55.200]  他就去考察,考察這些內容
[00:02:55.200 --> 00:02:58.000]  這個考察可以是一個知識上的考察
[00:02:58.000 --> 00:03:00.400]  亦都可以是一個生命上的體驗
[00:03:00.400 --> 00:03:02.400]  所以全道者在這裏說
[00:03:02.400 --> 00:03:06.000]  我講的內容,我是體驗過的
[00:03:06.000 --> 00:03:10.400]  我是在生命上體驗過,才跟大家分享
[00:03:10.400 --> 00:03:13.800]  到最後,他就去陳述這些道理
[00:03:13.800 --> 00:03:17.400]  就是去編寫或排列這些內容
[00:03:17.400 --> 00:03:22.000]  去寫出全道書,這一個十二章的經文
[00:03:22.000 --> 00:03:26.600]  全道者在這裏說,前人的言語是一些喜悅的言語
[00:03:26.600 --> 00:03:32.600]  是指到這些言語很優美,很適當,很適合人去聽
[00:03:32.600 --> 00:03:36.400]  你真的去遵守的話,你的生命就有福了
[00:03:36.400 --> 00:03:41.200]  全道者在這裏說,不單止前人所講的智者有這樣的內容
[00:03:41.200 --> 00:03:46.600]  我講的最後的一個編輯,或者一些表達
[00:03:46.600 --> 00:03:49.800]  同樣是很真實,是很正統的
[00:03:49.800 --> 00:03:53.800]  所以在這裏,十一節他就去講了
[00:03:53.800 --> 00:03:57.800]  回中之師和智慧人其實是同一組人
[00:03:57.800 --> 00:04:01.200]  即是講什麼人呢?就是智者,就是有智慧的人
[00:04:01.200 --> 00:04:05.800]  他在這裏說,有智慧的人的言語就好像持棍
[00:04:05.800 --> 00:04:08.400]  亦都好像釘穩的釘子
[00:04:08.400 --> 00:04:12.000]  在這裏有兩個理解,可以說
[00:04:12.000 --> 00:04:15.800]  智者的言論是可以刺激人的思考的
[00:04:15.800 --> 00:04:18.800]  我們沒有思考得這麼仔細,這麼深入
[00:04:18.800 --> 00:04:22.400]  但當講出來的時候,幫助人刺激他的思考
[00:04:22.400 --> 00:04:25.800]  以致引導改變你的行為
[00:04:25.800 --> 00:04:29.200]  以致你可以過一個有福的人生
[00:04:29.200 --> 00:04:32.600]  釘子亦都可以說很穩固
[00:04:32.600 --> 00:04:38.600]  意思即是智者的言語是使人的生命可以得到真正的穩固
[00:04:38.600 --> 00:04:42.400]  因為你在一個很穩固的基礎上
[00:04:42.400 --> 00:04:44.800]  去享受上帝所給你的福分
[00:04:44.800 --> 00:04:50.800]  但另一方面,同時智者的言語亦都會帶給人傷痛
[00:04:50.800 --> 00:04:53.800]  即是釘穩的釘子,釘下去有些痛楚
[00:04:53.800 --> 00:04:57.400]  但這些痛楚其實有建設性的
[00:04:57.400 --> 00:04:59.400]  是可以幫助你去成長的
[00:04:59.400 --> 00:05:03.400]  正所謂我們中國人所講忠言逆耳
[00:05:03.400 --> 00:05:09.400]  而且傳道者去講,智者的言語都是由一個目者所持
[00:05:09.400 --> 00:05:11.800]  這個目者應該是指著上帝
[00:05:11.800 --> 00:05:19.800]  所以傳道者去講,我的說話他知道最終的來源是來自於上帝自己
[00:05:19.800 --> 00:05:26.200]  接著傳道者在這裡,他給出最後的一個勸勉
[00:05:26.200 --> 00:05:28.800]  在第十二至第十四節那裡這樣說
[00:05:28.800 --> 00:05:31.800]  我而還有一層,你當受勸誡
[00:05:31.800 --> 00:05:33.800]  著書多,沒有窮盡
[00:05:33.800 --> 00:05:35.800]  讀書多,身體疲倦
[00:05:35.800 --> 00:05:40.400]  這些事都已聽見了,總以就是敬畏神
[00:05:40.400 --> 00:05:44.600]  謹守他的誡命,這是人所當盡的本分
[00:05:44.600 --> 00:05:47.600]  因為人所做的事,連一切隱藏的事
[00:05:47.600 --> 00:05:51.600]  無論是善是惡,上帝都必審問
[00:05:51.600 --> 00:05:55.600]  我而,又開始講,是指老師和學生的關係
[00:05:55.600 --> 00:05:58.600]  他又再對眾人有一個這樣的勸告
[00:05:58.600 --> 00:06:03.600]  在這裡表面上好像叫人不要讀過多的書
[00:06:03.600 --> 00:06:05.600]  不要用功過度
[00:06:05.600 --> 00:06:07.600]  所以在這裡說著書多,沒有窮盡
[00:06:07.600 --> 00:06:09.600]  讀書多,身體疲倦
[00:06:09.600 --> 00:06:12.600]  這句話的含義對讀書人來說
[00:06:12.600 --> 00:06:14.600]  都真的很能夠體會
[00:06:14.600 --> 00:06:17.600]  書到用時,慌恨少
[00:06:17.600 --> 00:06:20.600]  書到搬時,慌恨多
[00:06:20.600 --> 00:06:22.600]  我都體會過很多次這樣的情況
[00:06:22.600 --> 00:06:25.600]  一搬書,就說書怎麼搞
[00:06:25.600 --> 00:06:27.600]  但是其實傳道者在這裡說
[00:06:27.600 --> 00:06:30.600]  是不是叫人不要讀書呢?不是
[00:06:30.600 --> 00:06:35.600]  其實他的意思是叫我們不要將焦點放在知識那裡
[00:06:35.600 --> 00:06:39.600]  焦點不是在知識,多一點知識,少一點知識
[00:06:39.600 --> 00:06:42.600]  而是最重要,我們所知的那些知識
[00:06:42.600 --> 00:06:45.600]  有沒有幫助我們敬畏上帝
[00:06:45.600 --> 00:06:48.600]  焦點是敬畏上帝,不是那些知識
[00:06:48.600 --> 00:06:52.600]  這個才是傳道者一個很重要的重心
[00:06:52.600 --> 00:06:55.600]  接著他就去說,給出兩句的命令
[00:06:55.600 --> 00:06:58.600]  敬畏上帝和謹守他的誡命
[00:06:58.600 --> 00:07:01.600]  在傳道書整體的經文去說
[00:07:01.600 --> 00:07:07.600]  傳道者沒有明確地將敬畏上帝和謹守他的誡命放在一起
[00:07:07.600 --> 00:07:10.600]  但是在這裡可以說是第一次
[00:07:10.600 --> 00:07:13.600]  將這兩樣放在一起
[00:07:13.600 --> 00:07:16.600]  在傳道書裡面,很多時候都說敬畏上帝
[00:07:16.600 --> 00:07:19.600]  但是沒有將謹守他的誡命連在一起
[00:07:19.600 --> 00:07:22.600]  在這裡,傳道者將兩樣東西
[00:07:22.600 --> 00:07:24.600]  當我們要敬畏上帝的時候
[00:07:24.600 --> 00:07:27.600]  就要謹守他的誡命和吩咐
[00:07:27.600 --> 00:07:30.600]  至於敬畏上帝和謹守他的誡命
[00:07:30.600 --> 00:07:33.600]  為什麼呢?原因是什麼呢?
[00:07:33.600 --> 00:07:35.600]  傳道者給了兩個理由
[00:07:35.600 --> 00:07:39.600]  第一,這是人所當盡的本分
[00:07:39.600 --> 00:07:41.600]  敬畏上帝,遵守他的誡命
[00:07:41.600 --> 00:07:44.600]  你的人生才會得到真正的福氣
[00:07:44.600 --> 00:07:51.600]  第二個原因就是因為上帝會對人施行審判
[00:07:51.600 --> 00:07:54.600]  因為人所作的事,連一切隱藏的事
[00:07:54.600 --> 00:07:58.600]  無論是善是惡,上帝都必審問
[00:07:58.600 --> 00:08:00.600]  沒有任何事可以瞞得過上帝
[00:08:00.600 --> 00:08:03.600]  終有一日,他的審判會臨到每一個人
[00:08:03.600 --> 00:08:05.600]  每一個人無可避免
[00:08:05.600 --> 00:08:07.600]  在這裡,上帝必審問
[00:08:07.600 --> 00:08:11.600]  其實在第十一章第九節也有說
[00:08:11.600 --> 00:08:16.600]  不過那裡是說人所作的事,上帝必審問
[00:08:16.600 --> 00:08:22.600]  然後在這裡提及上帝審判人的準則
[00:08:22.600 --> 00:08:25.600]  是基於人有沒有遵行上帝的吩咐
[00:08:25.600 --> 00:08:28.600]  遵行他的誡命
[00:08:28.600 --> 00:08:31.600]  在這裡,無論是善是惡
[00:08:31.600 --> 00:08:33.600]  上帝都必審問
[00:08:33.600 --> 00:08:37.600]  其實有兩種不同的理解
[00:08:37.600 --> 00:08:40.600]  第一種就是,什麼叫善惡
[00:08:40.600 --> 00:08:44.600]  善惡有兩個含義,有兩個可能的意思
[00:08:44.600 --> 00:08:50.600]  第一就是,善惡是沒有一個道德價值的判斷在裡面
[00:08:50.600 --> 00:08:55.600]  只是說好和不好,信和逆
[00:08:55.600 --> 00:08:57.600]  沒有一個道德價值的判斷的含義
[00:08:57.600 --> 00:09:01.600]  第二個可能的意思就是,有道德判斷的
[00:09:01.600 --> 00:09:05.600]  對或不對,這件事是對的還是不對
[00:09:05.600 --> 00:09:07.600]  是有道德判斷在裡面的
[00:09:07.600 --> 00:09:10.600]  是有善有惡的表達
[00:09:10.600 --> 00:09:14.600]  究竟傳道者是想表達哪個意思呢
[00:09:14.600 --> 00:09:17.600]  我們要看審問的意思
[00:09:17.600 --> 00:09:22.600]  審問也有兩個可能的意義在裡面
[00:09:22.600 --> 00:09:26.600]  第一就是,審問有管理和施政的意思
