
[00:00:00.000 --> 00:00:01.600]  當我們說到聖靈的時候
[00:00:01.600 --> 00:00:04.160]  其實很多弟兄姊妹都或多或少
[00:00:04.160 --> 00:00:07.240]  去經歷到聖靈在我們生命中的工作
[00:00:07.240 --> 00:00:09.920]  我過去這麼多年聽聽
[00:00:09.920 --> 00:00:12.840]  有很多弟兄姊妹講述他們這方面的經歷
[00:00:12.840 --> 00:00:15.440]  有位姊妹我記得她說到
[00:00:15.440 --> 00:00:18.080]  她自己是很怕很怕看醫生
[00:00:18.080 --> 00:00:20.600]  但有一次要做手術
[00:00:20.600 --> 00:00:22.640]  因此很驚慌
[00:00:22.640 --> 00:00:25.040]  一邊祈禱又請人為她祈禱
[00:00:25.040 --> 00:00:28.280]  當日做手術進入醫院也很害怕
[00:00:28.920 --> 00:00:32.840]  但很奇妙她說當我躺在一張床上
[00:00:32.840 --> 00:00:35.640]  護士將我推入手術室的時候
[00:00:35.640 --> 00:00:38.280]  突然一種很特別的
[00:00:38.280 --> 00:00:42.040]  難以解釋的平安充滿著她的內心
[00:00:42.040 --> 00:00:44.920]  她也不知道自己為何會不害怕
[00:00:44.920 --> 00:00:47.800]  就是這樣一路推入手術室
[00:00:47.800 --> 00:00:49.960]  很平安接受手術
[00:00:49.960 --> 00:00:51.680]  手術很成功
[00:00:51.680 --> 00:00:53.080]  出來之後
[00:00:53.080 --> 00:00:55.640]  她也很驚訝自己會不害怕
[00:00:57.000 --> 00:01:00.280]  她說很明顯是聖靈的工作
[00:01:00.280 --> 00:01:03.960]  給我一種難以解釋的平安
[00:01:03.960 --> 00:01:05.720]  她感謝神
[00:01:05.720 --> 00:01:09.240]  另一位弟兄我想到的就是
[00:01:09.240 --> 00:01:11.600]  當他講述到他的上司
[00:01:11.600 --> 00:01:12.520]  他的老闆
[00:01:12.520 --> 00:01:16.640]  要他做一些他清楚知道是違背信仰的事情
[00:01:16.640 --> 00:01:18.680]  他心裡很掙扎
[00:01:18.680 --> 00:01:20.360]  不知道答應不答應
[00:01:20.360 --> 00:01:23.280]  如果不答應可能失去工作
[00:01:23.280 --> 00:01:25.080]  裏面很大的掙扎
[00:01:25.800 --> 00:01:27.240]  但後來有一天早上
[00:01:27.240 --> 00:01:28.680]  不知從何而來的勇氣
[00:01:28.680 --> 00:01:30.800]  進入老闆的辦公室
[00:01:30.800 --> 00:01:32.640]  很清楚地跟老闆說
[00:01:32.640 --> 00:01:35.400]  老闆我對不起
[00:01:35.400 --> 00:01:36.800]  我是教徒
[00:01:36.800 --> 00:01:39.160]  我不想做這些事情
[00:01:39.160 --> 00:01:43.400]  她也很驚訝自己能夠說出這些話
[00:01:43.400 --> 00:01:45.240]  但感謝神
[00:01:45.240 --> 00:01:46.840]  她知道不是自己
