
[00:00:00.000 --> 00:00:05.400]  上一次我和大家說到在真言裏面人生的智慧
[00:00:05.400 --> 00:00:09.880]  如果有智慧基本上是有兩個部分的
[00:00:09.880 --> 00:00:12.000]  所謂智慧第一
[00:00:12.000 --> 00:00:14.000]  你有一個的洞悉力
[00:00:14.000 --> 00:00:16.480]  有一種的領悟力
[00:00:16.480 --> 00:00:20.160]  領悟力裏面本身是有一個闊度
[00:00:20.160 --> 00:00:22.160]  有一個深度
[00:00:22.160 --> 00:00:27.280]  然後你還要有一個有創意的將有的資料
[00:00:27.280 --> 00:00:30.120]  作出一個很準確的綜合
[00:00:30.120 --> 00:00:33.040]  產生一個判斷來解決一個問題
[00:00:33.040 --> 00:00:35.120]  在真言裏面
[00:00:35.120 --> 00:00:38.600]  較多的篇章其實是講前面的部分
[00:00:38.600 --> 00:00:41.840]  所以上一堂我們將大部分的時間
[00:00:41.840 --> 00:00:43.680]  講到我們看的事物
[00:00:43.680 --> 00:00:48.640]  真言教我們如何可以擴展多些不同的角度來看
[00:00:48.640 --> 00:00:50.960]  然後如何可以越過表面
[00:00:50.960 --> 00:00:54.240]  來看到更加深入的層次
[00:00:54.240 --> 00:00:58.760]  上一堂有位同學留了一條問題
[00:00:58.760 --> 00:01:01.480]  是提交給我來問的
[00:01:01.480 --> 00:01:02.800]  有關這方面的
[00:01:02.800 --> 00:01:09.000]  他說用全面和多角度來看一件事物是很好的
[00:01:09.000 --> 00:01:12.680]  但是問題是有沒有一些標準
[00:01:12.680 --> 00:01:15.640]  有些準則來判斷呢?
[00:01:15.640 --> 00:01:17.400]  因為這麼多的角度裏面
[00:01:17.400 --> 00:01:18.960]  哪個才是對的角度
[00:01:18.960 --> 00:01:20.960]  哪個才是錯的角度呢?
[00:01:20.960 --> 00:01:22.240]  哪些角度是可取的
[00:01:22.240 --> 00:01:24.200]  哪些角度是要扔的呢?
[00:01:24.200 --> 00:01:27.080]  正如你在參考書的時候
[00:01:27.080 --> 00:01:29.080]  那些介紹的參考書
[00:01:29.080 --> 00:01:32.320]  進入你的參考書的行列
[00:01:32.320 --> 00:01:34.200]  必須是有意義的
[00:01:34.200 --> 00:01:36.520]  不是甚麼參考書都看完
[00:01:36.520 --> 00:01:40.080]  又正如你當初分析的時候所講過的
[00:01:40.080 --> 00:01:43.160]  所謂現在的資訊時代
[00:01:43.160 --> 00:01:46.280]  就是很多垃圾的資料
[00:01:46.280 --> 00:01:49.320]  即是說不是所有的資訊我們都要
[00:01:49.320 --> 00:01:52.320]  那麼多東西要扔進垃圾桶的
