
[00:00:00.000 --> 00:00:07.680]  今天我想和大家延續上一次教會提議我們所講的主題
[00:00:07.680 --> 00:00:10.960]  叫做「再遇耶穌」
[00:00:10.960 --> 00:00:15.040]  在這一講我們轉向另外一段聖經
[00:00:15.040 --> 00:00:18.480]  大家如果心裏還有記憶
[00:00:18.480 --> 00:00:20.240]  或者上一次有來的時候
[00:00:20.240 --> 00:00:21.520]  有聽的時候
[00:00:21.520 --> 00:00:23.600]  你會記得我們看到
[00:00:23.600 --> 00:00:30.800]  就是在《路加福音》二媽五師路上的兩位門徒的經歷
[00:00:30.800 --> 00:00:32.560]  他們遇見耶穌
[00:00:32.560 --> 00:00:35.680]  今天我們看另外一個人遇見耶穌
[00:00:35.680 --> 00:00:38.800]  這個人對大家來說熟悉很多
[00:00:38.800 --> 00:00:40.880]  這個叫做彼得
[00:00:40.880 --> 00:00:44.000]  這位大使徒彼得
[00:00:44.000 --> 00:00:45.120]  我給了一個題目
[00:00:45.120 --> 00:00:54.400]  今天的經歷叫做「我還有勇氣向前闖嗎?」
[00:00:54.400 --> 00:00:57.920]  這個都是一個不容易走的路
[00:00:57.920 --> 00:01:00.320]  今天我們同樣的去試一下
[00:01:00.320 --> 00:01:04.800]  首先追隨彼得的心路歷程
[00:01:04.800 --> 00:01:07.200]  然後我們又看看彼得
[00:01:07.200 --> 00:01:09.760]  當他碰見耶穌的時候
[00:01:09.760 --> 00:01:13.680]  又是他沒有想過的
[00:01:13.680 --> 00:01:15.200]  都沒有預料的
[00:01:15.200 --> 00:01:19.120]  耶穌就出現在他生命一個最關鍵的時刻
[00:01:19.120 --> 00:01:22.480]  就好像會在你的生命關鍵的時刻
[00:01:22.480 --> 00:01:24.640]  他突然間出現
[00:01:24.640 --> 00:01:26.160]  因為他記得你
[00:01:26.160 --> 00:01:28.800]  大家記得我上一次和大家分享過
[00:01:28.800 --> 00:01:31.040]  我們的神真的很好
[00:01:31.040 --> 00:01:32.480]  我想告訴你
