
[00:00:00.000 --> 00:00:26.320]  各位主內的弟兄姊妹
[00:00:26.320 --> 00:00:31.560]  我們今天的主題是認識聖靈
[00:00:31.560 --> 00:00:35.400]  我們要用十次來講這個信息
[00:00:35.400 --> 00:00:36.960]  在聖經裡面
[00:00:36.960 --> 00:00:38.960]  舊約中和新約中
[00:00:38.960 --> 00:00:46.040]  都有很豐富的關於聖靈信息的供應
[00:00:46.040 --> 00:00:48.760]  好像在舊約裡面有一期解說
[00:00:48.760 --> 00:00:51.360]  在新約裡面有八卷
[00:00:51.360 --> 00:00:57.200]  那就是《約翰福音》、《詩圖行傳》、《羅馬書》、
[00:00:57.200 --> 00:01:00.040]  《格林多前書》、《加勒太書》、
[00:01:00.040 --> 00:01:04.680]  《伊夫所書》、《約翰遺書》、還有《契斯路》
[00:01:04.680 --> 00:01:08.160]  在這新舊約的九卷之中
[00:01:08.160 --> 00:01:12.760]  我們一同來分析、來領受
[00:01:12.760 --> 00:01:15.040]  現在是第一講
[00:01:15.040 --> 00:01:21.440]  就是耶穌基督自己對聖靈施工的介紹
[00:01:21.440 --> 00:01:29.280]  請大家翻到《約翰福音》第十四章、十五章、十六章這三章
[00:01:29.280 --> 00:01:32.120]  大家要知道這三章
[00:01:32.120 --> 00:01:35.800]  就是說為耶穌基督臨別的教導
[00:01:35.800 --> 00:01:38.040]  就是祂要升天之前
[00:01:38.040 --> 00:01:44.200]  最後把祂心中重要的信息向門徒來講說
[00:01:44.200 --> 00:01:48.600]  而這個臨別教導的主題就是聖靈
[00:01:48.600 --> 00:01:53.400]  可見我們的主耶穌自己是如何的重視聖靈
[00:01:53.400 --> 00:01:57.040]  主所重視的我們也應該重視
[00:01:57.040 --> 00:01:59.040]  在這三章經文裡面
[00:01:59.040 --> 00:02:03.800]  主耶穌基督從十二方面來親自的介紹聖靈
[00:02:03.800 --> 00:02:07.360]  與我們的關係和祂的工作
[00:02:07.360 --> 00:02:13.520]  我們第一講是講頭六方面主耶穌對聖靈的介紹
[00:02:13.520 --> 00:02:19.160]  然後第二講是看後六方面的介紹
[00:02:19.160 --> 00:02:20.800]  第一方面的介紹
[00:02:20.800 --> 00:02:26.000]  耶穌基督說聖靈是能力的聖靈
[00:02:26.000 --> 00:02:33.080]  請大家注意第十四章十二節
[00:02:33.080 --> 00:02:34.320]  主耶穌說
[00:02:34.320 --> 00:02:36.840]  我實實在在的告訴你們
[00:02:36.840 --> 00:02:40.440]  我所做的事信我的人也要做
[00:02:40.440 --> 00:02:44.080]  並且要做比這更大的事
[00:02:44.080 --> 00:02:47.800]  因為我往父那裡去
[00:02:47.800 --> 00:02:49.240]  主耶穌的這句話
[00:02:49.240 --> 00:02:54.040]  當時對於門徒來說是很難了解和領受的
[00:02:54.040 --> 00:02:55.920]  主耶穌竟然說
[00:02:55.920 --> 00:02:59.960]  他說做的事信他的人不但要做
[00:02:59.960 --> 00:03:04.080]  而且要做比主在世說做更大的事
[00:03:04.080 --> 00:03:08.720]  門徒怎麼可能了解和接受這樣的話呢?
[00:03:08.720 --> 00:03:12.720]  但是事實上主耶穌就是這樣說的
[00:03:12.720 --> 00:03:14.920]  他說的是真理
[00:03:14.920 --> 00:03:16.360]  感謝主
[00:03:16.360 --> 00:03:18.920]  在聖靈的幫助之下
[00:03:18.920 --> 00:03:23.960]  屬神的人可以做到這樣的事
[00:03:23.960 --> 00:03:25.320]  在這裡主說
[00:03:25.320 --> 00:03:27.760]  你們所以能夠做這樣大的事
[00:03:27.760 --> 00:03:30.440]  因為我往父那裡去
[00:03:30.440 --> 00:03:31.840]  主往父那裡去
[00:03:31.840 --> 00:03:33.080]  聖靈就降臨
[00:03:33.080 --> 00:03:35.680]  藉著聖靈的能力
[00:03:35.680 --> 00:03:38.440]  屬主的人可以做大事
[00:03:38.440 --> 00:03:41.160]  整個教會兩千年的歷史
[00:03:41.160 --> 00:03:44.240]  都是證明這件事實
[00:03:44.240 --> 00:03:47.960]  我們就最近的情況來看吧
[00:03:47.960 --> 00:03:50.080]  有兩件事
[00:03:50.080 --> 00:03:53.360]  有兩個報導我要提一提
[00:03:53.360 --> 00:03:55.280]  第一個報導就是去年
[00:03:55.280 --> 00:03:59.280]  在一次很重要的華人開傳會議裡面
[00:03:59.280 --> 00:04:01.680]  一位主要的講員之一提到
[00:04:01.680 --> 00:04:03.240]  在印尼
[00:04:03.240 --> 00:04:08.680]  基督徒的人數已經到達了四千萬的數目
[00:04:08.680 --> 00:04:11.040]  我聽見這個消息以後
[00:04:11.040 --> 00:04:14.280]  我就有機會問另外一位
[00:04:14.280 --> 00:04:16.280]  從印尼來的統工
[00:04:16.280 --> 00:04:18.320]  也是大會主要講員之一
[00:04:18.320 --> 00:04:19.560]  我問他說
[00:04:19.560 --> 00:04:22.720]  在印尼有四千萬的基督徒嗎?
[00:04:22.720 --> 00:04:25.520]  他說大概是如此
[00:04:25.520 --> 00:04:26.720]  那就是說
[00:04:26.720 --> 00:04:31.360]  印尼整個人口的五分之一
[00:04:31.360 --> 00:04:33.240]  已經信了主
[00:04:33.240 --> 00:04:36.840]  這樣的事很難令人信得下去
[00:04:36.840 --> 00:04:40.040]  但是事實竟然是如此
[00:04:40.040 --> 00:04:42.440]  為什麼能夠成就這樣的事
[00:04:42.440 --> 00:04:44.440]  是藉著聖靈的工作
[00:04:44.440 --> 00:04:46.440]  最近聽見消息
[00:04:46.440 --> 00:04:49.880]  回教徒因為信主的人數太多了
[00:04:49.880 --> 00:04:52.040]  他們就開始迫害教會
[00:04:52.040 --> 00:04:54.560]  燒掉了二十幾間禮拜堂
[00:04:54.560 --> 00:04:57.560]  其中有一個牧師被燒死
[00:04:57.560 --> 00:04:59.800]  我們從另外一個報導
[00:04:59.800 --> 00:05:05.240]  今年上半年在《時代週刊》
[00:05:05.240 --> 00:05:10.040]  Newsweek在這個刊物裡面
[00:05:10.040 --> 00:05:13.680]  也提到一個數字的報導
[00:05:13.680 --> 00:05:17.120]  當教宗 天主教的教宗
[00:05:17.120 --> 00:05:20.080]  要到中南美洲去的時候
[00:05:20.080 --> 00:05:23.160]  他面對一個問題
[00:05:23.160 --> 00:05:25.280]  這個記者這樣報導
[00:05:25.280 --> 00:05:27.880]  在中南美洲基督徒的人數
[00:05:27.880 --> 00:05:31.400]  是在四千萬和六千萬之間
[00:05:31.400 --> 00:05:33.560]  我記得五十年前
[00:05:33.560 --> 00:05:37.160]  聽到和讀到關於中南美洲
[00:05:37.160 --> 00:05:38.960]  基督徒的人數的時候
[00:05:38.960 --> 00:05:42.560]  那個時候報導的數字是二十多萬
[00:05:42.560 --> 00:05:45.160]  在五十年之後的今天
[00:05:45.160 --> 00:05:48.320]  已經增長到四千萬到六千萬
[00:05:48.320 --> 00:05:52.760]  那是二百倍 三百倍之間的增長率
[00:05:52.760 --> 00:05:55.200]  這是驚人的
[00:05:55.200 --> 00:05:56.720]  怎麼可能的呢
[00:05:56.720 --> 00:05:59.080]  是因為聖靈的工作
[00:05:59.080 --> 00:06:02.400]  所以主耶穌對聖靈的介紹
[00:06:02.400 --> 00:06:04.600]  是完全正確的
[00:06:04.600 --> 00:06:07.320]  聖靈是能力的聖靈
[00:06:07.320 --> 00:06:10.440]  主的這句話讓我們大有信心
[00:06:10.440 --> 00:06:15.000]  讓我們可以相信神做大事
[00:06:15.000 --> 00:06:17.840]  也嘗試為神做大事
[00:06:17.840 --> 00:06:20.560]  這是William Carey的著名的話
[00:06:20.560 --> 00:06:23.320]  也是因為信心才講出來的
[00:06:23.320 --> 00:06:25.120]  期待神做大事
[00:06:25.120 --> 00:06:26.320]  這是信心
[00:06:26.320 --> 00:06:28.240]  嘗試為神做大事
[00:06:28.240 --> 00:06:29.520]  這是信心
[00:06:29.520 --> 00:06:30.880]  哪裡有信心
[00:06:30.880 --> 00:06:33.400]  哪裡就有對神做大功的期待
[00:06:33.400 --> 00:06:34.760]  哪裡有信心
[00:06:34.760 --> 00:06:38.040]  哪裡就有為神做功的嘗試
[00:06:38.040 --> 00:06:40.880]  求神把這樣的信心
[00:06:40.880 --> 00:06:41.720]  加給我們
[00:06:41.720 --> 00:06:43.320]  覺得聖靈的工作
[00:06:43.320 --> 00:06:45.160]  讓我們記得
[00:06:45.160 --> 00:06:46.680]  主自己的話說
[00:06:46.680 --> 00:06:49.120]  聖靈降臨在你們身上
[00:06:49.120 --> 00:06:50.920]  你們就必得的能力
[00:06:50.920 --> 00:06:53.520]  不要在耶路撒冷和猶太全地
[00:06:53.520 --> 00:06:56.400]  像是撒瑪利亞直到地極
[00:06:56.400 --> 00:06:58.960]  做我的見證
[00:06:58.960 --> 00:07:02.640]  主耶穌基督對聖靈第二方面的介紹
[00:07:02.640 --> 00:07:08.360]  就是聖靈是像主耶穌一樣的寶貴
[00:07:08.360 --> 00:07:11.080]  在十四章十六節
[00:07:11.080 --> 00:07:12.680]  主耶穌這樣說
[00:07:12.680 --> 00:07:14.160]  我要求父
[00:07:14.160 --> 00:07:18.040]  父就另外賜給你們一位寶貴士
[00:07:18.040 --> 00:07:20.440]  在這裡主用另外兩個字
[00:07:20.440 --> 00:07:22.400]  另外一位寶貴士
[00:07:22.400 --> 00:07:25.040]  另外一位一定原來有一位
[00:07:25.040 --> 00:07:27.520]  原來的那一位就是主耶穌基督
[00:07:27.520 --> 00:07:29.680]  主耶穌基督自己是寶貴士
[00:07:29.680 --> 00:07:32.400]  聖靈是另外一位寶貴士
[00:07:32.400 --> 00:07:34.200]  耶穌基督在世的時候
[00:07:34.200 --> 00:07:36.680]  對門徒是何等的寶貴
[00:07:36.680 --> 00:07:37.560]  照樣
[00:07:37.560 --> 00:07:42.080]  聖靈對門徒也是照樣的寶貴
[00:07:42.080 --> 00:07:45.040]  第三方面主耶穌對聖靈的介紹
[00:07:45.040 --> 00:07:49.560]  就是聖靈是一位帶求的聖靈
[00:07:49.560 --> 00:07:54.120]  為屬主的人帶禱帶求
[00:07:54.120 --> 00:07:58.640]  寶貴士這個名稱的原文裡面的意義之一
[00:07:58.640 --> 00:08:00.920]  就是帶求者
[00:08:00.920 --> 00:08:03.440]  聖靈為我們帶求
[00:08:03.440 --> 00:08:06.960]  祂的帶求是如何的帶求呢?
[00:08:06.960 --> 00:08:09.840]  在羅馬書八章二十六節
[00:08:09.840 --> 00:08:13.120]  況且我們的軟弱有聖靈幫助
[00:08:13.120 --> 00:08:16.120]  我們本不曉得當怎樣禱告
[00:08:16.120 --> 00:08:21.720]  可是聖靈親自用說不出來的嘆息替我們禱告
[00:08:21.720 --> 00:08:27.120]  在這裡說聖靈為我們用說不出來的嘆息禱告
[00:08:27.120 --> 00:08:29.280]  嘆息就是聲音
[00:08:29.280 --> 00:08:32.520]  說不出來的一種愛的負擔
[00:08:32.520 --> 00:08:33.560]  祂因為愛我們
