
[00:00:00.000 --> 00:00:03.360]  今天跟大家思想「捨己愛主」
[00:00:03.360 --> 00:00:06.880]  這四個字大家在教堂上常常都聽到
[00:00:06.880 --> 00:00:10.200]  但如何能夠真實地實行出來
[00:00:10.200 --> 00:00:13.440]  是我們需要大家上上彼此的勉勵提醒
[00:00:13.440 --> 00:00:17.440]  如何真正地捨己愛主
[00:00:17.440 --> 00:00:21.200]  大家會常常想到捨己是一種犧牲
[00:00:21.200 --> 00:00:23.360]  放下自己個人的利益
[00:00:23.360 --> 00:00:27.040]  為別人著想、付代價
[00:00:27.040 --> 00:00:30.960]  但在中國捨己再深層一點去看
[00:00:30.960 --> 00:00:33.440]  很清楚地說出一件事情
[00:00:33.440 --> 00:00:36.320]  就是將個人的意願放下
[00:00:36.320 --> 00:00:40.160]  只是全心遵行神的旨意
[00:00:40.160 --> 00:00:43.840]  在過程當中不依靠自己的力量
[00:00:43.840 --> 00:00:50.240]  只是很深刻地靠著神去愛人、去服侍人
[00:00:50.240 --> 00:00:52.640]  所以當主耶穌提到
[00:00:52.640 --> 00:00:57.760]  若有人要跟從我 就當捨己
[00:00:57.760 --> 00:00:59.760]  當我們看到捨己的時候
[00:00:59.760 --> 00:01:02.080]  有些人以為我們沒有了自己
[00:01:02.080 --> 00:01:04.160]  沒有了自我
[00:01:04.160 --> 00:01:06.160]  但再深刻看的時候
[00:01:06.160 --> 00:01:08.000]  原來發覺是神鼓勵我們
[00:01:08.000 --> 00:01:13.760]  放下我們一些自我、個人的偏見、我們的思見
[00:01:13.760 --> 00:01:16.160]  而全心遵行神的道
[00:01:16.160 --> 00:01:19.120]  依靠祂的能力來生活
[00:01:19.120 --> 00:01:24.880]  在當中得到神給我們真正的豐盛的生命
[00:01:24.880 --> 00:01:26.560]  所以當我們提到捨己的時候
[00:01:26.560 --> 00:01:29.600]  我們今天試試去思想幾方面
[00:01:29.600 --> 00:01:31.040]  首先我們思想一下
[00:01:31.040 --> 00:01:37.040]  如何從捨己進入耶穌基督裡面
[00:01:37.040 --> 00:01:39.600]  當我們看聖經的時候
[00:01:39.600 --> 00:01:41.360]  或者我們先欣賞一下
[00:01:41.360 --> 00:01:43.440]  其實當大家信耶穌的時候
[00:01:43.440 --> 00:01:45.760]  你也發覺先從捨己
[00:01:45.760 --> 00:01:48.400]  你才會信耶穌
[00:01:48.400 --> 00:01:49.600]  不知道大家有沒有聽過
[00:01:49.600 --> 00:01:51.680]  有時候跟一些未信的朋友聊天
[00:01:51.680 --> 00:01:53.360]  想幫助他們信耶穌
[00:01:53.360 --> 00:01:55.360]  問他有沒有宗教信仰
[00:01:55.360 --> 00:01:57.840]  有沒有信任什麼宗教
[00:01:57.840 --> 00:02:01.520]  有些朋友就會笑笑口地說
[00:02:01.520 --> 00:02:05.280]  宗教?我什麼教都不信的
[00:02:05.280 --> 00:02:08.160]  接著他會說什麼?
[00:02:08.160 --> 00:02:10.480]  我信睡覺的
[00:02:10.480 --> 00:02:12.160]  我信我自己的
[00:02:12.160 --> 00:02:14.400]  你不用跟我說的
[00:02:14.400 --> 00:02:15.920]  很多朋友都會這樣說
[00:02:15.920 --> 00:02:18.080]  我信自己的
[00:02:18.080 --> 00:02:19.520]  有些人會告訴你
[00:02:19.520 --> 00:02:21.280]  我不想靠別人的
