
[00:00:00.000 --> 00:00:05.320]  看到一堆家人在墓碑面前祈禱
[00:00:05.320 --> 00:00:07.480]  葬在基督教墳場的人
[00:00:07.480 --> 00:00:09.360]  都是相信耶穌的人
[00:00:09.360 --> 00:00:14.360]  都是相信我們有一個永生的生命
[00:00:14.360 --> 00:00:17.440]  亦相信每一個願意接受
[00:00:17.440 --> 00:00:18.880]  耶穌為我們救主的人
[00:00:18.880 --> 00:00:21.720]  我們都得著上帝賜給我們永恆的福分
[00:00:21.720 --> 00:00:23.400]  每一個願意相信耶穌的人
[00:00:23.400 --> 00:00:26.080]  將來都在天家裏可以做一次相聚
[00:00:26.080 --> 00:00:29.800]  這是上帝給我們的應許和盼望
[00:00:29.800 --> 00:00:31.880]  我想和大家思想
[00:00:31.880 --> 00:00:34.480]  在初期教會一班門徒
[00:00:34.480 --> 00:00:37.440]  他們傳講復活的真理的時候
[00:00:37.440 --> 00:00:39.520]  或者他們向人傳
[00:00:39.520 --> 00:00:43.000]  我們見過復活的耶穌的事實的時候
[00:00:43.000 --> 00:00:44.720]  究竟他們有什麼遭遇呢?
[00:00:44.720 --> 00:00:47.720]  和他們有什麼反應呢?
[00:00:47.720 --> 00:00:49.480]  在我們剛才所讀的一段經文
[00:00:49.480 --> 00:00:53.440]  在《少林寺傳》第四章一至十二節
[00:00:53.440 --> 00:00:57.400]  其實是延續第三章一個很重要的事
[00:00:57.400 --> 00:00:59.640]  就是一個與生俱來
[00:00:59.640 --> 00:01:01.360]  是一個腿殘的人
[00:01:01.360 --> 00:01:02.440]  走不了路
[00:01:02.440 --> 00:01:03.640]  四十多歲了
[00:01:03.640 --> 00:01:06.840]  試圖在他身上行一個神蹟
[00:01:06.840 --> 00:01:09.560]  就是他馬上能夠康復
[00:01:09.560 --> 00:01:11.680]  他的身體得到醫治
[00:01:11.680 --> 00:01:12.320]  給了他
[00:01:12.320 --> 00:01:14.200]  然後就傳送一個訊息
[00:01:14.200 --> 00:01:16.800]  就是這個人得到醫治
[00:01:16.800 --> 00:01:19.080]  這個人四十多歲了
[00:01:19.080 --> 00:01:21.160]  能夠起來行走
[00:01:21.160 --> 00:01:24.720]  是因為耶穌基督的能力
[00:01:24.720 --> 00:01:27.640]  讓這個人能夠行走
[00:01:27.640 --> 00:01:31.400]  是耶穌在他身上行了神蹟
[00:01:31.400 --> 00:01:37.200]  這些訊息激怒了當時猶太人宗教的領袖
[00:01:37.200 --> 00:01:39.000]  將他們逮捕了
[00:01:39.000 --> 00:01:40.640]  他們在公會面前
[00:01:40.640 --> 00:01:44.800]  即當時猶太人領袖的一些組織
[00:01:44.800 --> 00:01:49.040]  去審查他們或審判他們
[00:01:49.040 --> 00:01:49.760]  可以這樣說
[00:01:49.760 --> 00:01:52.040]  在我們所見到的教會
[00:01:52.040 --> 00:01:57.160]  第一次正式被審訊或審問
[00:01:57.160 --> 00:01:59.400]  接著彼得就很簡單地說
[00:01:59.400 --> 00:02:00.120]  福術
[00:02:00.120 --> 00:02:02.280]  這個人得到醫治
[00:02:02.280 --> 00:02:07.320]  是因為耶穌已經從死裡復活
[00:02:07.320 --> 00:02:08.440]  耶穌已經復活了
[00:02:08.440 --> 00:02:11.800]  所以祂給我們有能力
