
[00:00:00.000 --> 00:00:03.000]  當我們讀到這一章的愛章的時候
[00:00:03.000 --> 00:00:08.000]  亦都是想到歷代很多不同的教徒
[00:00:08.000 --> 00:00:09.000]  很多的聖徒
[00:00:09.000 --> 00:00:13.000]  他們常常去重讀這一章的聖經
[00:00:13.000 --> 00:00:17.000]  去領受神給我們的免禮
[00:00:17.000 --> 00:00:18.000]  知道祂的愛
[00:00:18.000 --> 00:00:20.000]  亦都知道祂愛別人
[00:00:20.000 --> 00:00:23.000]  每當想到聖誕節期間的時候
[00:00:23.000 --> 00:00:26.000]  我們常常講到主耶穌基督的降生
[00:00:26.000 --> 00:00:28.000]  亦都會想到聖經裏面
[00:00:28.000 --> 00:00:30.000]  很多經文都會提到
[00:00:30.000 --> 00:00:33.000]  神對我們有何等大的慈愛
[00:00:33.000 --> 00:00:35.000]  約翰一書第三章提及
[00:00:35.000 --> 00:00:39.000]  「你恨父賜給我們何等的慈愛
[00:00:39.000 --> 00:00:44.000]  使我們能夠被稱為神的兒女」
[00:00:44.000 --> 00:00:46.000]  神的大慈愛臨到我們
[00:00:46.000 --> 00:00:48.000]  拯救我們
[00:00:48.000 --> 00:00:51.000]  讓我們被稱為神的兒女
[00:00:51.000 --> 00:00:53.000]  成為祂愛的對象
[00:00:53.000 --> 00:00:55.000]  是屬於祂
[00:00:55.000 --> 00:00:57.000]  祂都屬於我們
[00:00:57.000 --> 00:00:59.000]  一種生命的改變
[00:00:59.000 --> 00:01:01.000]  一種生命的更新
[00:01:01.000 --> 00:01:03.000]  當我們講到神的愛的時候
[00:01:03.000 --> 00:01:06.000]  會想起神的愛有很重要的兩方面
[00:01:06.000 --> 00:01:07.000]  第一方面
[00:01:07.000 --> 00:01:10.000]  神的愛是無條件的
[00:01:10.000 --> 00:01:12.000]  不是要交換
[00:01:12.000 --> 00:01:14.000]  要我們給祂甚麼
[00:01:14.000 --> 00:01:16.000]  祂先將慈愛賜給我們
[00:01:16.000 --> 00:01:17.000]  是白白地
[00:01:17.000 --> 00:01:20.000]  神將祂的愛賜給我們
[00:01:20.000 --> 00:01:22.000]  無論我們的狀況
[00:01:22.000 --> 00:01:24.000]  我們是好還是壞
[00:01:24.000 --> 00:01:27.000]  神表達祂愛我們
[00:01:27.000 --> 00:01:30.000]  是願意無條件地賜給我們
[00:01:30.000 --> 00:01:33.000]  祂的愛都是帶著犧牲的愛
[00:01:33.000 --> 00:01:35.000]  不是一種廉價
[00:01:35.000 --> 00:01:38.000]  口裡說我愛你
[00:01:38.000 --> 00:01:39.000]  而是很真實地
[00:01:39.000 --> 00:01:41.000]  祂要犧牲自己
[00:01:41.000 --> 00:01:43.000]  付出代價
[00:01:43.000 --> 00:01:46.000]  以至叫我們得到好處
[00:01:46.000 --> 00:01:48.000]  神的愛是帶著犧牲
[00:01:48.000 --> 00:01:51.000]  臨到我們的身上
[00:01:51.000 --> 00:01:53.000]  所以每當我們講到愛張
[00:01:53.000 --> 00:01:56.000]  愛人的道理的時候
[00:01:56.000 --> 00:01:58.000]  我們知道不單單是一些理念
[00:01:58.000 --> 00:02:00.000]  一些道理
[00:02:00.000 --> 00:02:03.000]  而是屬神的人經歷過神的愛
[00:02:03.000 --> 00:02:06.000]  因此裡面有一種心裡面的力量
[00:02:06.000 --> 00:02:08.000]  可以去愛
[00:02:08.000 --> 00:02:11.000]  如果我們只是一直讀這些道理的時候
[00:02:11.000 --> 00:02:14.000]  可能我們會有很多很多的內疚感
[00:02:14.000 --> 00:02:16.000]  覺得自己做不到
[00:02:16.000 --> 00:02:19.000]  但何時想到聖經所說的愛
[00:02:19.000 --> 00:02:24.000]  是必定是以神的愛作基礎
[00:02:24.000 --> 00:02:27.000]  我們愛因為神先愛我們
[00:02:27.000 --> 00:02:29.000]  因為祂愛我們
[00:02:29.000 --> 00:02:31.000]  所以我們能夠有恩典有力量
[00:02:31.000 --> 00:02:33.000]  可以去愛
[00:02:33.000 --> 00:02:35.000]  而這些真理的教導
[00:02:35.000 --> 00:02:38.000]  就不再是一些好像叫我們內疚的東西
[00:02:38.000 --> 00:02:40.000]  而是叫我們更深知道
[00:02:40.000 --> 00:02:43.000]  怎樣順著神給我們的恩惠和愛
[00:02:43.000 --> 00:02:45.000]  可以去愛
[00:02:45.000 --> 00:02:48.000]  所以當我們讀到張經文的時候
[00:02:48.000 --> 00:02:52.000]  求神也讓我們心裡面不斷想到祂的慈愛
[00:02:52.000 --> 00:02:58.000]  而我們也在當中學習主的生命的榜樣去愛
[00:02:58.000 --> 00:03:00.000]  我想開始的時候說一件事情
[00:03:00.000 --> 00:03:03.000]  因為最近也被一個見證感動
[00:03:03.000 --> 00:03:05.000]  就是最近有一位的姐妹
[00:03:05.000 --> 00:03:07.000]  公開講述她的見證
[00:03:07.000 --> 00:03:09.000]  相信大家都會知道是哪一個
[00:03:09.000 --> 00:03:13.000]  是易小玲姐妹
[00:03:13.000 --> 00:03:15.000]  在四年之前
[00:03:15.000 --> 00:03:20.000]  在馬尼拉人質事件被槍傷的那位女士
[00:03:20.000 --> 00:03:22.000]  她最近公開講見證
[00:03:22.000 --> 00:03:24.000]  講述她自己的情況
[00:03:24.000 --> 00:03:25.000]  她說沒錯
[00:03:25.000 --> 00:03:28.000]  她自己過去人生是混亂的
[00:03:28.000 --> 00:03:31.000]  她曾經因為遇到感情的挫折
[00:03:31.000 --> 00:03:33.000]  因此放縱自己
[00:03:33.000 --> 00:03:36.000]  隨便地來跟人交往
[00:03:36.000 --> 00:03:38.000]  自己也染上毒癮
[00:03:38.000 --> 00:03:42.000]  也後來跟一位男士同居了一段時間
[00:03:42.000 --> 00:03:44.000]  在她想不到的時間
[00:03:44.000 --> 00:03:46.000]  她發現自己在旅遊巴士
[00:03:46.000 --> 00:03:49.000]  完全無助的情況
[00:03:49.000 --> 00:03:52.000]  她不知道要求救
[00:03:52.000 --> 00:03:54.000]  向哪位神靈求救
[00:03:54.000 --> 00:03:56.000]  她拜過很多神靈
[00:03:56.000 --> 00:03:59.000]  但在那一刻她記得她媽媽是基督徒
[00:03:59.000 --> 00:04:02.000]  帶她小時候回教會
[00:04:02.000 --> 00:04:06.000]  所以那時候她就向耶穌祈禱
