
[00:00:00.000 --> 00:00:02.920]  今天早上我們在崇拜當中
[00:00:02.920 --> 00:00:05.760]  我們繼續去講鐵閘羅尼加前書
[00:00:05.760 --> 00:00:08.840]  第二章第9至16章這段經文
[00:00:08.840 --> 00:00:12.000]  鐵閘羅尼加前書第一章可以說
[00:00:12.000 --> 00:00:18.000]  講到保羅為自己的侍奉一個很大的辯護
[00:00:18.000 --> 00:00:21.320]  因為當時有很多人去質疑保羅
[00:00:21.320 --> 00:00:25.640]  他的侍奉的動機是一個存在的貪心
[00:00:25.640 --> 00:00:27.560]  他真的為了自己的利益
[00:00:27.560 --> 00:00:29.240]  為了自己個人的聲譽
[00:00:29.240 --> 00:00:31.640]  而去傳揚這個救恩
[00:00:31.640 --> 00:00:34.720]  所以保羅在第二章第9至16節
[00:00:34.720 --> 00:00:39.480]  他再進一步的去為這個侍奉
[00:00:39.480 --> 00:00:42.040]  他的傳呼音這個心態
[00:00:42.040 --> 00:00:44.320]  或者這個心智他的工作
[00:00:44.320 --> 00:00:46.840]  一個很強的辯護
[00:00:46.840 --> 00:00:49.840]  告訴別人知道其實他不是為自己
[00:00:49.840 --> 00:00:53.000]  也不是因為他自己的貪心貪念
[00:00:53.000 --> 00:00:55.600]  而去做這個工作
[00:00:55.600 --> 00:00:59.280]  在第二章第9至第10節保羅這樣說
[00:00:59.280 --> 00:01:04.320]  弟兄們你們紀念我們的辛苦勞碌
[00:01:04.320 --> 00:01:05.680]  晝夜作供
[00:01:05.680 --> 00:01:07.320]  全神的福音給你們
[00:01:07.320 --> 00:01:09.520]  免得叫你們一人受累
[00:01:09.520 --> 00:01:11.520]  我們向你們信主的人
[00:01:11.520 --> 00:01:14.680]  是何等的聖義公義無可指責
[00:01:14.680 --> 00:01:18.200]  有你們作見證也有神作見證
[00:01:18.200 --> 00:01:23.160]  在這裡保羅說他自己在鐵閘羅尼加信徒當中
[00:01:23.160 --> 00:01:27.160]  他怎樣去辛勤的勞苦晝夜的作供
[00:01:27.160 --> 00:01:29.920]  可以說這裡是在回應之前保羅所說
[00:01:29.920 --> 00:01:33.240]  他說他願意為鐵閘羅尼加的信徒
[00:01:33.240 --> 00:01:35.840]  去分享自己所有的
[00:01:35.840 --> 00:01:40.760]  他將他自己所有的去給一幫鐵閘羅尼加的信徒
[00:01:40.760 --> 00:01:43.840]  接著保羅在這裡更加具體的去說
[00:01:43.840 --> 00:01:46.840]  我在你們當中怎樣去分享自己呢
[00:01:46.840 --> 00:01:50.840]  我怎樣在你們當中辛勤辛苦的勞碌
[00:01:50.840 --> 00:01:52.480]  晝夜的作供
[00:01:52.480 --> 00:01:56.080]  這個可以說是保羅去分享自己
[00:01:56.080 --> 00:01:59.000]  那個生命的其中一方面
[00:01:59.000 --> 00:02:02.600]  這裡也可以去回應正如剛才所說
[00:02:02.600 --> 00:02:04.000]  在第一章的
[00:02:04.000 --> 00:02:06.480]  在前面第五節那裡
[00:02:06.480 --> 00:02:09.480]  就是說有人去說保羅
[00:02:09.480 --> 00:02:13.720]  去存著藏著貪心這個指控
[00:02:13.720 --> 00:02:14.880]  保羅在這裡說
[00:02:14.880 --> 00:02:17.200]  我怎樣在你們當中的工作
[00:02:17.200 --> 00:02:19.720]  其實你們是紀念的
[00:02:19.720 --> 00:02:21.720]  你們應該記得
[00:02:21.720 --> 00:02:24.360]  相信你們仍然現在還記得
[00:02:24.360 --> 00:02:27.680]  我當時怎樣在你們當中的工作
[00:02:27.680 --> 00:02:29.800]  保羅在這裡去說
[00:02:29.800 --> 00:02:31.720]  我和我的同工
[00:02:31.720 --> 00:02:36.480]  不單止不會成為你們任何一個人的負累
[00:02:36.480 --> 00:02:40.600]  也不會加重你們當中的經濟負擔
[00:02:40.600 --> 00:02:41.800]  保羅在這裡說
[00:02:41.800 --> 00:02:43.920]  我怎樣晝夜的作供
[00:02:43.920 --> 00:02:46.200]  自己去供養自己的生活
[00:02:46.200 --> 00:02:49.080]  在這裡也同樣在回應
[00:02:49.080 --> 00:02:52.480]  前面人對他一份的指控
[00:02:52.480 --> 00:02:54.720]  他藏著一份的貪心
[00:02:54.720 --> 00:02:56.240]  為了自己的利益
[00:02:56.240 --> 00:03:00.360]  這些都是一些對當時的人對的指控的
[00:03:00.360 --> 00:03:02.960]  一個很大的一個具體的回應
[00:03:02.960 --> 00:03:04.280]  接著在第十節那裡說
