
[00:00:00.000 --> 00:00:07.600]  今晚我們再一次一起思想靈性的佛心
[00:00:07.600 --> 00:00:15.600]  佛心是我們很羨慕的一種素靈的狀態
[00:00:15.600 --> 00:00:20.600]  我們嚮往、我們追求
[00:00:20.600 --> 00:00:26.600]  我們希望可以時時留在其中
[00:00:26.600 --> 00:00:31.600]  來享受豐富的素靈的因典
[00:00:31.600 --> 00:00:37.600]  在詩篇裏面有很多很美麗的圖畫
[00:00:37.600 --> 00:00:43.600]  將佛心的情況描寫出來
[00:00:43.600 --> 00:00:46.600]  很美麗又很寶貴
[00:00:46.600 --> 00:00:52.600]  我們一起看幾幅圖畫
[00:00:52.600 --> 00:00:56.600]  將佛心的意義告訴我們
[00:00:56.600 --> 00:01:00.600]  我們看第一句經文
[00:01:00.600 --> 00:01:08.600]  詩篇103篇第五字
[00:01:08.600 --> 00:01:16.600]  它用美物是你所願的得已知足
[00:01:16.600 --> 00:01:21.600]  以致你如應返老還童
[00:01:21.600 --> 00:01:24.600]  應年老的時候
[00:01:24.600 --> 00:01:30.600]  它全身的羽毛會再出一次
[00:01:30.600 --> 00:01:33.600]  再豐滿一次
[00:01:33.600 --> 00:01:37.600]  所以說如應返老還童
[00:01:37.600 --> 00:01:40.600]  從這個比喻
[00:01:40.600 --> 00:01:44.600]  這幅圖畫我們可以看見
[00:01:44.600 --> 00:01:47.600]  因為神的豐富的因典
[00:01:47.600 --> 00:01:52.600]  我們可以受得起時間的考驗
[00:01:52.600 --> 00:01:57.600]  我們跟從主、侍奉主、愛主
[00:01:57.600 --> 00:02:01.600]  經過相當長一段時間之後
[00:02:01.600 --> 00:02:08.600]  仍然可以保持與主的美好的關係
[00:02:08.600 --> 00:02:12.600]  受得起時間的考驗
[00:02:12.600 --> 00:02:16.600]  有人受不住時間的考驗
[00:02:16.600 --> 00:02:19.600]  開始的時候是很好
[00:02:19.600 --> 00:02:25.600]  但在時光之中慢慢退後
[00:02:25.600 --> 00:02:28.600]  離開了主緣
[00:02:28.600 --> 00:02:31.600]  在這樣的時間的考驗中
[00:02:31.600 --> 00:02:35.600]  我們願意重新起來
[00:02:35.600 --> 00:02:39.600]  好像摩西所見的異象
[00:02:39.600 --> 00:02:41.600]  就是經濟的火
[00:02:41.600 --> 00:02:44.600]  經濟被火燃燒
[00:02:44.600 --> 00:02:47.600]  但沒有燒毀
[00:02:47.600 --> 00:02:56.600]  摩西在120年世上
[00:02:56.600 --> 00:03:00.600]  侍奉主40年
[00:03:00.600 --> 00:03:05.600]  他的工作很勞苦、很艱鉅
[00:03:05.600 --> 00:03:11.600]  但他真的好像他所見的異象一樣
[00:03:11.600 --> 00:03:15.600]  他為主燻燒
[00:03:15.600 --> 00:03:19.600]  而不燒毀他
