
[00:00:00.000 --> 00:00:04.400]  在前幾天我有機會留心到一些圖片
[00:00:04.400 --> 00:00:06.680]  我看到兩幅圖片
[00:00:06.680 --> 00:00:14.680]  一幅圖片是繪畫了主耶穌被釘受傷的右手
[00:00:14.680 --> 00:00:21.400]  這幅圖畫同時畫了一支很長很粗的釘
[00:00:21.400 --> 00:00:23.640]  釘在耶穌的手上
[00:00:23.640 --> 00:00:27.080]  而手的形態很特別
[00:00:27.360 --> 00:00:30.240]  因為手張開
[00:00:30.240 --> 00:00:32.680]  而且僵硬了
[00:00:32.680 --> 00:00:34.680]  拉緊了一種情形
[00:00:34.680 --> 00:00:38.880]  一看的時候就會感受到那種悲傷
[00:00:38.880 --> 00:00:43.040]  而且立即感覺到那種痛楚
[00:00:43.040 --> 00:00:44.720]  看了一段時間後
[00:00:44.720 --> 00:00:47.920]  心裏面也有一種沉重的感覺
[00:00:47.920 --> 00:00:52.440]  但另一幅圖畫也是在說主耶穌被釘
[00:00:52.440 --> 00:00:54.360]  但是沒有釘在上面
[00:00:54.360 --> 00:00:56.640]  只是釘痕在上面
[00:00:57.640 --> 00:00:59.040]  但在看這幅圖畫的時候
[00:00:59.040 --> 00:01:00.600]  我就想回到聖經講述
[00:01:00.600 --> 00:01:02.600]  當主耶穌復活的時候
[00:01:02.600 --> 00:01:04.440]  祂向門徒顯現
[00:01:04.440 --> 00:01:06.160]  大家記得聖經所提及
[00:01:06.160 --> 00:01:07.720]  門徒當時很恐懼
[00:01:07.720 --> 00:01:10.760]  他們害怕猶太人會捉拿他們
[00:01:10.760 --> 00:01:12.760]  所以門都關上
[00:01:12.760 --> 00:01:14.760]  耶穌向他們顯現的時候
[00:01:14.760 --> 00:01:16.760]  第一句說話說
[00:01:16.760 --> 00:01:18.760]  「願你們平安」
[00:01:18.760 --> 00:01:24.760]  然後主耶穌向他們展示祂釘痕的手
[00:01:25.360 --> 00:01:27.360]  祂槍傷的肋骨
[00:01:27.360 --> 00:01:29.160]  在那個時候
[00:01:29.160 --> 00:01:31.160]  門徒看到主耶穌的手的時候
[00:01:31.160 --> 00:01:34.480]  他們整個人的情緒有很大的轉變
[00:01:34.480 --> 00:01:35.880]  聖經就講述到
[00:01:35.880 --> 00:01:37.480]  他們就喜樂了
[00:01:37.480 --> 00:01:40.960]  本來是恐懼、害怕、擔憂
[00:01:40.960 --> 00:01:43.480]  這個時候心裏面喜樂了
[00:01:43.480 --> 00:01:46.480]  這隻釘痕的手
[00:01:46.480 --> 00:01:51.280]  正是證明主耶穌已經勝過了死亡
[00:01:51.280 --> 00:01:55.080]  勝過了罪惡的權勢
[00:01:55.800 --> 00:01:57.200]  我們進一步說
[00:01:57.200 --> 00:01:59.200]  這隻釘痕的手
[00:01:59.200 --> 00:02:04.000]  正是顯明主耶穌已經勝過了
[00:02:04.000 --> 00:02:08.200]  在地上政治的權勢、暴力
[00:02:08.200 --> 00:02:12.600]  也同時勝過了當時的猶太人
[00:02:12.600 --> 00:02:15.400]  對他們那種不義的審訊
[00:02:15.400 --> 00:02:17.400]  對他們的嫉妒
[00:02:17.400 --> 00:02:19.400]  對他們的傷害
[00:02:19.400 --> 00:02:20.400]  這些一切
[00:02:20.400 --> 00:02:23.400]  在主耶穌的釘痕的手裏面
[00:02:23.400 --> 00:02:25.400]  去表明出來
[00:02:25.400 --> 00:02:27.400]  這位復活的主
[00:02:27.400 --> 00:02:30.400]  祂不單止表明出
[00:02:30.400 --> 00:02:32.400]  祂勝過了死亡
[00:02:32.400 --> 00:02:36.400]  祂刻意保留著這個釘痕
[00:02:36.400 --> 00:02:37.400]  讓我們知道
[00:02:37.400 --> 00:02:39.400]  祂因為愛我們的緣故
[00:02:39.400 --> 00:02:42.400]  祂為我們承受這一切
[00:02:42.400 --> 00:02:45.400]  永遠永遠在祂的身上
[00:02:45.400 --> 00:02:47.400]  保留這個證據
[00:02:47.400 --> 00:02:49.400]  證明祂愛我們
[00:02:50.400 --> 00:02:52.400]  也證明祂已經得勝一切
[00:02:52.400 --> 00:02:54.400]  一切的權勢
[00:02:54.400 --> 00:02:56.400]  而主耶穌在這個時候
[00:02:56.400 --> 00:02:58.400]  再次說了一句話
[00:02:58.400 --> 00:03:00.400]  祂說「願你們平安」
[00:03:00.400 --> 00:03:02.400]  再次這樣說
[00:03:02.400 --> 00:03:04.400]  當祂這樣說的時候
[00:03:04.400 --> 00:03:05.400]  大家都知道
[00:03:05.400 --> 00:03:07.400]  祂是一個復活的主
[00:03:07.400 --> 00:03:09.400]  不是一個死的人說的說話
[00:03:09.400 --> 00:03:12.400]  而是復活的上帝告訴我們
[00:03:12.400 --> 00:03:14.400]  沒有任何的惡勢力
[00:03:14.400 --> 00:03:18.400]  能夠奪去祂賜給我們的平安
[00:03:18.400 --> 00:03:21.400]  也沒有任何人能夠賜給我們
[00:03:21.400 --> 00:03:23.400]  這種屬主的平安
[00:03:23.400 --> 00:03:24.400]  弟兄姊妹
[00:03:24.400 --> 00:03:26.400]  當我們想起這些事情的時候
[00:03:26.400 --> 00:03:27.400]  你要常常記得
[00:03:27.400 --> 00:03:30.400]  上帝已經將這種平安
[00:03:30.400 --> 00:03:32.400]  賜在你的生命中
[00:03:32.400 --> 00:03:36.400]  在你裡面有一種不能夠被阻礙
[00:03:36.400 --> 00:03:38.400]  被奪去的平安
[00:03:38.400 --> 00:03:42.400]  是復活的主已經賜在你的裡面
[00:03:42.400 --> 00:03:46.400]  今天當我們一起來思想聖經的時候
[00:03:46.400 --> 00:03:49.400]  讓我們心裡常常都會想起
[00:03:49.400 --> 00:03:52.400]  復活節不單止是歷史的事實
[00:03:52.400 --> 00:03:55.400]  更加是我們今天每天經歷到的
[00:03:55.400 --> 00:03:57.400]  那種平安和能力
[00:03:57.400 --> 00:04:00.400]  在我們生命裡面
[00:04:00.400 --> 00:04:01.400]  今天當我們讀到聖經
[00:04:01.400 --> 00:04:03.400]  哥林多後書第四章的時候
