
[00:00:00.000 --> 00:00:02.520]  剛才黃帝兄介紹我的時候
[00:00:02.520 --> 00:00:04.440]  介紹漏了一樣東西
[00:00:04.440 --> 00:00:06.120]  很重要的
[00:00:06.120 --> 00:00:10.880]  我是17年的北宣的會友
[00:00:10.880 --> 00:00:14.680]  1972年到1989年離開香港之前
[00:00:14.680 --> 00:00:18.320]  我一直在北角塘聚會
[00:00:18.320 --> 00:00:21.880]  能夠回來北宣家港道
[00:00:21.880 --> 00:00:25.000]  站在這個港台是我一直的心願
[00:00:25.000 --> 00:00:27.560]  我離開了香港
[00:00:27.560 --> 00:00:30.200]  北宣才搬來這裡
[00:00:30.200 --> 00:00:34.680]  所以我今天是第一次站在這個港台周圍看
[00:00:34.680 --> 00:00:38.680]  感覺很親切亦很陌生
[00:00:38.680 --> 00:00:41.480]  不過這幾晚很希望和大家
[00:00:41.480 --> 00:00:43.840]  不單單是懷舊
[00:00:43.840 --> 00:00:47.040]  很想和大家一起思想
[00:00:47.040 --> 00:00:51.080]  神給我們要聽的訊息
[00:00:51.080 --> 00:00:53.360]  我這幾晚的主題
[00:00:53.360 --> 00:00:57.000]  有個題目叫做十家的燭印
[00:00:57.000 --> 00:01:00.960]  踏著他們曾經走過的日子
[00:01:00.960 --> 00:01:03.880]  我本來最初在一年前
[00:01:03.880 --> 00:01:07.240]  預備講這個題目的時候
[00:01:07.240 --> 00:01:09.440]  不是講這個題目的
[00:01:09.440 --> 00:01:12.880]  我是想著講約伯記的
[00:01:12.880 --> 00:01:16.240]  因為我花了一年的時間研究約伯記
[00:01:16.240 --> 00:01:19.280]  希望從約伯記裏面重新來看一下
[00:01:19.280 --> 00:01:22.920]  人生的濟意和苦難
[00:01:22.920 --> 00:01:29.760]  後來多次和北宣家的同工討論
[00:01:29.760 --> 00:01:33.400]  發覺這幾晚的時間實在太短了
[00:01:33.400 --> 00:01:37.440]  不可能將我這四個本來預備的題目
[00:01:37.440 --> 00:01:41.040]  用這麼短的時間可以講完
[00:01:41.040 --> 00:01:45.840]  所以或者留待八月我再回香港的時間
[00:01:45.840 --> 00:01:52.320]  另外和大家專門開一個專題來講約伯記
[00:01:52.320 --> 00:01:56.480]  今晚就奏著這個陪靈會
[00:01:56.480 --> 00:01:58.760]  尤其是紀念我們的主耶穌
[00:01:58.760 --> 00:02:03.000]  釘十字架受苦和復活這幾天
[00:02:03.000 --> 00:02:06.040]  我想和大家在這四晚
[00:02:06.040 --> 00:02:07.880]  三晚一日
[00:02:07.880 --> 00:02:11.520]  今晚星期四、星期五、星期六晚和星期日
[00:02:11.520 --> 00:02:14.080]  我們試一下去看回昔日
[00:02:14.080 --> 00:02:18.160]  耶穌曾經經驗過的日子
[00:02:18.160 --> 00:02:20.920]  在這幾天裏面所發生過的事
[00:02:20.920 --> 00:02:22.320]  我想大家都很熟悉
[00:02:22.320 --> 00:02:25.280]  我也不會和大家重複講這些歷史
[00:02:25.280 --> 00:02:27.080]  但是我在每一晚
[00:02:27.080 --> 00:02:30.120]  抽一個當時所發生的事情
[00:02:30.120 --> 00:02:34.800]  連帶起今天你和我能夠
[00:02:34.800 --> 00:02:38.560]  默想和思想的題目
[00:02:38.560 --> 00:02:42.680]  昔日星期四晚、星期五晚、星期六晚
[00:02:42.680 --> 00:02:44.400]  和星期日早上
[00:02:44.400 --> 00:02:48.800]  門徒和耶穌都走過他們所走的路
[00:02:48.800 --> 00:02:53.120]  究竟今天你和我再走這幾天的路的時候
