
[00:00:00.000 --> 00:00:08.000]  走過2020年,我們經歷過一年翻天覆地變化的一年
[00:00:08.000 --> 00:00:14.000]  我相信一年前我們沒有人會想到今年發生這麼多事
[00:00:14.000 --> 00:00:17.000]  插不透,沒有辦法能夠掌握
[00:00:17.000 --> 00:00:22.000]  而且這個影響是遍佈每一個角落的
[00:00:22.000 --> 00:00:26.000]  每個國家,每一個人的生活
[00:00:26.000 --> 00:00:31.000]  你多窮,多有錢,多高職位,多低
[00:00:31.000 --> 00:00:34.000]  每一個人都被影響
[00:00:34.000 --> 00:00:36.000]  這些生活處境的轉變
[00:00:36.000 --> 00:00:42.000]  其實是讓我們可以更多體會人性的有限
[00:00:42.000 --> 00:00:47.000]  我們可以落在很無助,很無望的光景
[00:00:47.000 --> 00:00:51.000]  不過,又可以讓我們能夠堅定地相信
[00:00:51.000 --> 00:00:54.000]  上帝才是那位萬有的主
[00:00:54.000 --> 00:00:59.000]  祂在這裡超越世間一切的權勢和掌控
[00:00:59.000 --> 00:01:02.000]  人軟弱,沒辦法掌握
[00:01:02.000 --> 00:01:05.000]  所以我們的盼望在祂那裡
[00:01:05.000 --> 00:01:08.000]  延續著去年的主題
[00:01:08.000 --> 00:01:13.000]  我們學祂操練謙卑,操練對主的信靠
[00:01:13.000 --> 00:01:16.000]  剛才Larry同學提到,今年的主題是
[00:01:16.000 --> 00:01:21.000]  操練敬虔、切實相愛、堅守主導
[00:01:21.000 --> 00:01:26.000]  這個主題其實是門徒生命核心的根基
[00:01:26.000 --> 00:01:31.000]  敬虔是認定上帝是我們的主,是我們的王
[00:01:31.000 --> 00:01:36.000]  沒有任何事物可以跟祂相比
[00:01:36.000 --> 00:01:40.000]  祂是我們的主,祂是萬事的主
[00:01:40.000 --> 00:01:46.000]  貫穿在我們整個生活、行事為人的每一個部分
[00:01:46.000 --> 00:01:51.000]  敬虔其實是考驗著我們是否真的在凡事上
[00:01:51.000 --> 00:01:54.000]  倚靠祂、尊祂偉大
[00:01:54.000 --> 00:01:59.000]  彼此相愛,我們很熟悉,是耶穌對門徒的命令
[00:01:59.000 --> 00:02:02.000]  沒錯,上帝尊重我們每一個人的獨特
[00:02:02.000 --> 00:02:04.000]  因為上帝是這樣做我們
[00:02:04.000 --> 00:02:07.000]  但是作為耶穌基督的門徒
[00:02:07.000 --> 00:02:09.000]  就不能夠作獨行俠
[00:02:09.000 --> 00:02:14.000]  肢體關係是上帝的定義
[00:02:14.000 --> 00:02:19.000]  我們是神家裡的人,就要走在一起
[00:02:19.000 --> 00:02:25.000]  所以教會的「治」本身就是相聚、群體的意思
[00:02:25.000 --> 00:02:30.000]  彼此相愛的命令是要付上代價的
[00:02:30.000 --> 00:02:34.000]  是我們每一個人因為經歷主敬愛
[00:02:34.000 --> 00:02:37.000]  以致能夠相愛
[00:02:37.000 --> 00:02:44.000]  這是教會最奇妙的見證
[00:02:44.000 --> 00:02:49.000]  所以是否我們每一個人願意多走一步
[00:02:49.000 --> 00:02:51.000]  切實地去進行
[00:02:51.000 --> 00:02:55.000]  以神的愛去愛我們的弟兄姊妹呢?
[00:02:55.000 --> 00:03:02.000]  堅守主道是承傳著從起初領受的使命
[00:03:02.000 --> 00:03:05.000]  耶穌吩咐我們使人作門徒
[00:03:05.000 --> 00:03:07.000]  我們要進入群體
[00:03:07.000 --> 00:03:11.000]  以上帝的真道去建立生命
[00:03:11.000 --> 00:03:14.000]  我們去活出耶穌基督的樣式
[00:03:14.000 --> 00:03:17.000]  我們要在這個彎曲薄茂的世代
[00:03:17.000 --> 00:03:19.000]  做上帝無瑕疵的兒女
[00:03:19.000 --> 00:03:22.000]  保羅在菲勒比書中提到
[00:03:22.000 --> 00:03:23.000]  怎麼做呢?
[00:03:23.000 --> 00:03:26.000]  就是顯出我們的光
[00:03:26.000 --> 00:03:29.000]  將生命的道表明出來
[00:03:29.000 --> 00:03:33.000]  而且要願意為此付上代價
[00:03:33.000 --> 00:03:37.000]  這些其實是很耳熟能詳的道理
[00:03:37.000 --> 00:03:41.000]  但我們不只是懂得說懂得讀
[00:03:41.000 --> 00:03:43.000]  我們願意活現出來
[00:03:43.000 --> 00:03:45.000]  實踐出來
[00:03:45.000 --> 00:03:48.000]  所以今年這個年提都派望
