
[00:00:00.000 --> 00:00:03.340]  今天我們是要講主耶穌的寶血
[00:00:03.340 --> 00:00:06.200]  今天我們要講到主耶穌的寶血
[00:00:06.200 --> 00:00:09.940]  我們在自己的靈性上
[00:00:09.940 --> 00:00:13.100]  或者是在讀經上
[00:00:13.100 --> 00:00:16.640]  我們要認清楚神看什麼為寶貴
[00:00:16.640 --> 00:00:23.100]  很多人講《聖經》
[00:00:23.100 --> 00:00:30.140]  還是以自己的學說來解釋《聖經》
[00:00:30.140 --> 00:00:37.100]  那麼我們今天查考寶血的事情
[00:00:37.100 --> 00:00:41.180]  只要智腦在舊約裏面
[00:00:41.180 --> 00:00:44.380]  它們也有一個回眸
[00:00:44.380 --> 00:00:46.620]  也有想記
[00:00:46.620 --> 00:00:48.660]  也有流血
[00:00:48.660 --> 00:00:52.660]  如果你看《尼腓記》、《明書記》、《神明記》
[00:00:52.660 --> 00:00:56.100]  很多的儀式
[00:00:56.100 --> 00:00:59.140]  有些信徒就不來煩,不願意看那些
[00:00:59.140 --> 00:01:02.500]  但是你還要查看
[00:01:02.500 --> 00:01:05.900]  但是你還要查看
[00:01:05.900 --> 00:01:08.700]  你要知道這都是象徵預表主耶穌的事情
[00:01:08.700 --> 00:01:12.900]  你要知道這都是象徵預表主耶穌的事情
[00:01:12.900 --> 00:01:16.500]  當神要啟示摩西的時候
[00:01:16.500 --> 00:01:19.660]  當神要啟示摩西的時候
[00:01:19.660 --> 00:01:24.260]  當神要啟示摩西的時候
[00:01:24.260 --> 00:01:27.860]  祂讓摩西去到西奈山上去
[00:01:27.860 --> 00:01:34.260]  神就親自把天上的這個回眸的真體啟示給他
[00:01:34.260 --> 00:01:38.460]  神就將這個天上的回眸的真體來啟示給他
[00:01:38.460 --> 00:01:42.260]  祂說我要你找一個回眸
[00:01:42.260 --> 00:01:45.460]  這個回眸不過是一個影像
[00:01:45.460 --> 00:01:47.660]  這個回眸不過是一個影像
[00:01:47.660 --> 00:01:49.660]  是一個小模型
[00:01:49.660 --> 00:01:51.460]  是一個小模型
[00:01:51.460 --> 00:01:53.260]  這個真的還是在天上
[00:01:53.260 --> 00:01:54.860]  真的那個是在天上
[00:01:54.860 --> 00:02:00.460]  這是暫時的一個臨時的預表的東西
[00:02:00.460 --> 00:02:03.860]  這是暫時的一個臨時的預表的東西
[00:02:03.860 --> 00:02:06.060]  作為工程師
[00:02:06.060 --> 00:02:07.460]  各位一個工程師
[00:02:07.460 --> 00:02:10.660]  在香港要找這些高樓
[00:02:10.660 --> 00:02:14.260]  在香港譬如說要建築這些高樓大廈
[00:02:14.260 --> 00:02:20.660]  他的方法就是先找一個小模型
[00:02:20.660 --> 00:02:24.660]  他看見這個小模型
[00:02:24.660 --> 00:02:29.460]  大家就可以知道將來這個實在的房子是怎麼樣
[00:02:29.460 --> 00:02:33.860]  他做了一個小模型就知道將來這個實在的房子是怎樣的
[00:02:33.860 --> 00:02:38.060]  但是這個模型
[00:02:38.060 --> 00:02:40.260]  但是這個小模型
[00:02:40.260 --> 00:02:44.660]  不能來使用
[00:02:44.660 --> 00:02:47.260]  就是來做一個小樣子
[00:02:47.260 --> 00:02:51.860]  叫這個建築的人可以切切地顧開
[00:02:51.860 --> 00:02:54.660]  可以看見將來這個房子是怎麼樣
[00:02:54.660 --> 00:02:59.060]  就叫這些建築的人或者將來的那些買客等等
[00:02:59.060 --> 00:03:01.060]  可以知道這個房子是怎樣的
[00:03:01.060 --> 00:03:06.060]  這一層在聖與摩西離這個約的時候
